configuration,groupe,fidelite_plancher,exactitude,fuite_top1,hasard_top1
B0 tirage,statistique,-0.0013986341665557,0.4430448539960201,0.0009475218658892129,0.00048590864917395527
B1 argmax,statistique,0.1014412331519869,0.5183115252903883,0.003061224489795918,0.00048590864917395527
B2 argmax,statistique,0.1164003251034407,0.530454035355639,0.0007774538386783285,0.00048590864917395527
PMM k=10,statistique,0.1363163318506647,0.4909913114905826,0.002186588921282799,0.00048590864917395527
Demographics Only - GPT4.1-mini,LLM,0.5560455260191556,0.4995875561108797,0.021258503401360544,0.00048590864917395527
Text Persona (Default Temperature) - GPT4.1-mini,LLM,0.6135322940164373,0.5477558540422972,0.05580660835762876,0.00048590864917395527
Text Persona - GPT4.1-mini,LLM,0.6234878347298128,0.5529706950807534,0.055272108843537414,0.00048590864917395527
Text Persona (Repeating Questions) - GPT4.1-mini,LLM,0.6365415881019224,0.5488601392938127,0.07354227405247814,0.00048590864917395527
Text Persona (Reasoning) - GPT4.1-mini,LLM,0.6554242375063742,0.5435061779813966,0.09341593780369291,0.00048590864917395527
JSON Persona - GPT4.1-mini,LLM,0.6754925865815253,0.5438595238095238,0.12255,0.00048590864917395527
Text Persona - Gemini-Flash2.5,LLM,0.6976434594998515,0.550473182470267,0.13117103984450923,0.00048590864917395527
JSON Persona - GPT4.1,LLM,0.7076865295873568,0.5738199361377204,0.2068027210884354,0.00048590864917395527
humains vagues 1-3 (retest),humain,1.0001737530262738,0.7118506756444075,0.816156462585034,0.00048590864917395527
