generateur,n,n_pool,n_rep,exactitude,exactitude_bas,exactitude_haut,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,auc_ouvert,tpr_fpr_0_1pct,tpr_fpr_1pct,jeu,table,eps,candidat,passe,baseline_top1,llm,llm_top1,llm_top1_bas,llm_top1_haut,llm_tpr_1pct,llm_exactitude,meilleur_classique,meilleur_classique_top1,meilleur_classique_top1_bas,meilleur_classique_top1_haut,meilleur_classique_ouvert,meilleur_classique_tpr_1pct,seuil_non_specifique_top1,verdict_monde_ferme,verdict_monde_ouvert,eps_etoile_fuite,eps_etoile_exactitude,lecture_memorisation
G0 marginales independantes,2058.0,2058.0,5.0,0.4313249109167476,0.4297440071266601,0.4329512471655328,0.0004081632653061,0.0001166180758017,0.0007968901846452,0.0051506316812439,0.0038678328474246,0.006491739552964,1021.86,0.0004859086491739,0.0002238768615873,0.0,0.0,Twin,generateurs,,,,,,,,,,,,,,,,,,,,,,
G1 marginales par segment,2058.0,2058.0,5.0,0.4441334629089731,0.4424860706187237,0.4457743359248461,0.0015354713313896,0.00089407191448,0.0022546161321671,0.0102818270165208,0.0084936831875607,0.0121865889212828,898.22,0.0004859086491739,0.0007612332729843,9.718172983479104e-05,9.718172983479104e-05,Twin,generateurs,,,,,,,,,,,,,,,,,,,,,,
G2 Chow-Liu global,2058.0,2058.0,5.0,0.4167751862649822,0.4151795837382572,0.4185196388079041,0.0004859086491739,0.0001554907677356,0.00089407191448,0.0052866861030126,0.0039844509232264,0.0066083576287657,1029.12,0.0004859086491739,0.000206452149095,0.0,0.0,Twin,generateurs,,,,,,,,,,,,,,,,,,,,,,
G3 Chow-Liu par segment,2058.0,2058.0,5.0,0.3226303854875283,0.3196254859086491,0.3257456268221574,0.000913508260447,0.000427599611273,0.0014771622934888,0.0066666666666666,0.0051506316812439,0.0082220602526724,986.1,0.0004859086491739,0.0005599046504621,0.0,0.0,Twin,generateurs,,,,,,,,,,,,,,,,,,,,,,
LLM : JSON Persona - GPT4.1,2058.0,2058.0,1.0,0.5903871072238419,0.5861837949465502,0.5944203514739228,0.2073858114674441,0.1898931000971817,0.2246841593780369,0.4259475218658892,0.4054421768707483,0.4474271137026239,19.8,0.0004859086491739,0.1489029042131915,0.0092886297376093,0.0304081632653061,Twin,generateurs,,,,,,,,,,,,,,,,,,,,,,
Plafond humain (retest),2058.0,2058.0,1.0,0.7446631033365727,0.7405409782960803,0.7485989633948819,0.8139941690962098,0.7965986394557824,0.8307094266277939,0.916326530612245,0.9043731778425655,0.9275024295432458,1.0,0.0004859086491739,0.7657219072551968,0.3685869776482021,0.5448858114674441,Twin,generateurs,,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.00,2058.0,2058.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004859086491739,0.9995176329590562,1.0,1.0,Twin,echelle_memorisation,0.0,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.05,2058.0,2058.0,2.0,0.9715379008746354,0.9709061183997408,0.972198028020732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004859086491739,0.9996359817007464,0.8438872691933916,1.0,Twin,echelle_memorisation,0.05,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.10,2058.0,2058.0,2.0,0.942622287010042,0.9417070578231292,0.9435010730482668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004859086491739,0.9999855974598642,0.9985634110787172,1.0,Twin,echelle_memorisation,0.1,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.15,2058.0,2058.0,2.0,0.914662293488824,0.9135528020732102,0.9157474894719791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004859086491739,0.9999406190353416,0.9957019760285066,0.9990656670831598,Twin,echelle_memorisation,0.15,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.20,2058.0,2058.0,2.0,0.8860139293812762,0.8847382167152575,0.8873097870100423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004859086491739,0.999838856825529,0.99162342079689,0.9985953870392644,Twin,echelle_memorisation,0.2,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.25,2058.0,2058.0,2.0,0.8572359896339488,0.8558670432458698,0.8586209305150633,0.9996598639455784,0.9990767735665694,1.0,1.0,1.0,1.0,1.0,0.0004859086491739,0.9986576124271728,0.9700927275672172,0.990348468521689,Twin,echelle_memorisation,0.25,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.30,2058.0,2058.0,2.0,0.8291302235179787,0.8275510204081633,0.8306042476514415,0.9991253644314868,0.9982993197278912,0.999757045675413,1.0,1.0,1.0,1.0,0.0004859086491739,0.9949614129977966,0.8967583414318108,0.9645601201519568,Twin,echelle_memorisation,0.3,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.35,2058.0,2058.0,2.0,0.8015751538710724,0.7999269112406868,0.8031020205701328,0.99421768707483,0.9919327016520896,0.9962099125364432,1.0,1.0,1.0,1.0,0.0004859086491739,0.9823101981317308,0.7346186831875607,0.8859778911564626,Twin,echelle_memorisation,0.35,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.40,2058.0,2058.0,2.0,0.7709912536443148,0.769322967282151,0.7726597424684158,0.9776967930029156,0.973469387755102,0.9819254130223516,0.9989310009718172,0.9980077745383868,0.9997084548104954,1.0,0.0004859086491739,0.9519664661644196,0.6278531341107871,0.7987145482617011,Twin,echelle_memorisation,0.4,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.45,2058.0,2058.0,2.0,0.7437601230968578,0.7419298671849693,0.7454329648526077,0.9338678328474248,0.9269193391642372,0.9410592808551992,0.9931972789115646,0.9907677356656948,0.99533527696793,1.0,0.0004859086491739,0.8810702574796404,0.413951166180758,0.6185282996120038,Twin,echelle_memorisation,0.45,,,,,,,,,,,,,,,,,,,,,
G4 copie perturbee eps=0.50,2058.0,2058.0,2.0,0.7153790087463557,0.7136047335600907,0.717169278425656,0.8562682215743439,0.8461115160349854,0.8659390184645287,0.9728862973760932,0.9682701652089408,0.9772120991253646,1.0,0.0004859086491739,0.774250867221802,0.1977503644314868,0.4672381333485775,Twin,echelle_memorisation,0.5,,,,,,,,,,,,,,,,,,,,,
