condition,n_attaques,n_pool,n_items,exactitude,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,top1_intra_segment,top1_intra_segment_bas,top1_intra_segment_haut,rang_intra_segment_median,hasard_intra_segment,auc_intra_segment,auc_intra_segment_bas,auc_intra_segment_haut,n_avec_rival,taille_segment_mediane,bloc_items,segmentation,n_questions_demographiques,n_cellules_demographiques_distinctes,partage_demographique_median,part_vecteurs_distincts,hamming_moyen_meme_segment,hamming_moyen_autre_segment,part_personne_echelle_taux,part_segment_echelle_taux,part_population_echelle_taux,bits_total,bits_segment,bits_personne,part_personne_echelle_bits,part_segment_echelle_bits,niveau_segment_utilise,controle_statut,controle_detail
N1a marginales independantes de population,2058.0,2058.0,60.0,0.4314625850340136,0.0,0.0,0.0,0.005612244897959184,0.0028911564625850343,0.008675291545189494,1020.3,0.00048590864917395527,0.01910549343704424,0.014146815751093826,0.024696159455517744,45.0,0.018959649975692754,0.5002569930651735,0.4875264337697629,0.511958934613748,2057.0,124.0,tous,S_gra,,,,,,,,,,,,,,,,,
N1b vecteur humain reel d'une autre personne (population),2058.0,2058.0,60.0,0.4312115322319404,0.0,0.0,0.0,0.005903790087463556,0.0029154518950437317,0.009402332361516035,1048.375,0.00048590864917395527,0.017525522605736508,0.012565629557608168,0.022995260087506075,44.95,0.018959649975692754,0.4995120494399658,0.4868180406467599,0.5124416856404026,2057.0,124.0,tous,S_gra,,,,,,,,,,,,,,,,,
N2a vecteur humain reel d'une autre personne du meme segment,2058.0,2058.0,60.0,0.43510689990281826,0.0014577259475218659,0.0,0.003401360544217687,0.004980563654033042,0.002551020408163265,0.008091593780369282,1006.425,0.00048590864917395527,0.0009722897423432182,0.0,0.0024307243558580457,45.7,0.018959649975692754,0.4846531936328348,0.4719043901162662,0.49666906980175146,2057.0,124.0,tous,S_gra,,,,,,,,,,,,,,,,,
N2b jumeau Demographics Only (segment seul),2058.0,2058.0,60.0,0.4942095885973437,0.021525753158406217,0.01584001457725948,0.02779397473275024,0.09509232264334305,0.08306304664723031,0.10675595238095237,299.525,0.00048590864917395527,0.13986387943607198,0.1251762275157997,0.1541109625668449,12.9,0.018959649975692754,0.7509321961899005,0.7395848636879269,0.7627864503775252,2057.0,124.0,tous,S_gra,,,,,,,,,,,,,,,,,
N3 jumeau JSON Persona - GPT4.1 (persona individuelle),2058.0,2058.0,60.0,0.5903871072238419,0.2066812439261419,0.19045068027210885,0.22376154033041787,0.4265063168124393,0.4067280126336249,0.44761965500485906,20.375,0.00048590864917395527,0.45578512396694215,0.4353640009722897,0.4773255955274672,2.0,0.018959649975692754,0.9075673816013782,0.8989612282066924,0.9150155416240062,2057.0,124.0,tous,S_gra,,,,,,,,,,,,,,,,,
plafond : retest humain vagues 1-3,2058.0,2058.0,60.0,0.7446631033365727,0.8163022351797862,0.7991247570456754,0.8323615160349854,0.9164237123420796,0.9043239795918367,0.9280144557823129,1.0,0.00048590864917395527,0.9150947982498784,0.9038071220223627,0.9265210257656782,1.0,0.018959649975692754,0.9916567056419582,0.9892411536773493,0.9937935108660523,2057.0,124.0,tous,S_gra,,,,,,,,,,,,,,,,,
N1a marginales independantes de population,2058.0,2058.0,40.0,0.5062074829931973,0.0001457725947521866,0.0,0.0004373177842565597,0.004421768707482993,0.0021137026239067057,0.007264334305150631,1041.875,0.00048590864917395527,0.017938745746232377,0.012834224598930482,0.02304508993680116,45.05,0.018959649975692754,0.49699110212282777,0.4845530540447386,0.509316523346104,2057.0,124.0,items d'achat,S_gra,,,,,,,,,,,,,,,,,
N1b vecteur humain reel d'une autre personne (population),2058.0,2058.0,40.0,0.5063896987366375,0.0,0.0,0.0,0.005442176870748299,0.0028911564625850343,0.00874696307094266,1033.75,0.00048590864917395527,0.017282450170150704,0.012031477880408361,0.022414316966455985,45.05,0.018959649975692754,0.500591070004796,0.488391663267966,0.5127990801664136,2057.0,124.0,items d'achat,S_gra,,,,,,,,,,,,,,,,,
N2a vecteur humain reel d'une autre personne du meme segment,2058.0,2058.0,40.0,0.5102526724975704,0.0014577259475218659,0.0,0.003401360544217687,0.006438289601554907,0.003498542274052478,0.009693877551020408,1020.6500000000001,0.00048590864917395527,0.0009722897423432182,0.0,0.0024307243558580457,45.45,0.018959649975692754,0.4880987486029533,0.4757884263705636,0.5006020604892426,2057.0,124.0,items d'achat,S_gra,,,,,,,,,,,,,,,,,
N2b jumeau Demographics Only (segment seul),2058.0,2058.0,40.0,0.5883746355685131,0.05962099125364432,0.04965986394557824,0.06970541788143828,0.15194363459669585,0.1373171768707483,0.16722667638483962,219.825,0.00048590864917395527,0.19693728731161889,0.18048067574137092,0.21315143412736995,10.25,0.018959649975692754,0.7697753717038287,0.7581344162179439,0.780955186958558,2057.0,124.0,items d'achat,S_gra,,,,,,,,,,,,,,,,,
N3 jumeau JSON Persona - GPT4.1 (persona individuelle),2058.0,2058.0,40.0,0.7165816326530612,0.33163265306122447,0.3124362244897959,0.35138605442176873,0.5512633624878522,0.5303419582118561,0.5710191933916423,6.1,0.00048590864917395527,0.5756441419543024,0.5553949927078269,0.5972295819154109,1.0,0.018959649975692754,0.9181282888738398,0.9097472117280119,0.9259375233539799,2057.0,124.0,items d'achat,S_gra,,,,,,,,,,,,,,,,,
plafond : retest humain vagues 1-3,2058.0,2058.0,40.0,0.8389091350826045,0.7472303206997084,0.7296859815354713,0.7654045189504373,0.8652332361516035,0.8510198007774539,0.8796902332361517,1.0,0.00048590864917395527,0.8693242586290715,0.8544239183276616,0.8833987603305786,1.0,0.018959649975692754,0.9836026140722804,0.9798395972320767,0.9869820926774729,2057.0,124.0,items d'achat,S_gra,,,,,,,,,,,,,,,,,
N1a marginales independantes de population,2058.0,2058.0,20.0,0.28197278911564627,0.00048590864917395527,0.0,0.0014577259475218659,0.0016520894071914481,0.0004373177842565598,0.0032069970845481047,993.6,0.00048590864917395527,0.01577540106951872,0.01125425376762275,0.020758385999027712,42.65,0.018959649975692754,0.5066348175512052,0.49461790207756745,0.5191270249815947,2057.0,124.0,items hors achat,S_gra,,,,,,,,,,,,,,,,,
