defense,reglage,risque_top1,top1_bas,top1_haut,perte_utilite_points
aucune,jumeau non protege,0.20670553935860056,0.19037900874635572,0.22414965986394556,0.0
D1_agregation,k=2,0.034086491739552964,0.02711248785228377,0.04191022837706511,9.647372284845085
D1_agregation,k=5,0.0057823129251700685,0.003060009718172983,0.009062196307094265,4.754816497490899
D1_agregation,k=10,0.005490767735665696,0.0028911564625850343,0.008674076773566566,3.76548720401639
D1_agregation,k=25,0.0023809523809523807,0.0007531584062196307,0.004494655004859086,12.107952766124292
D2_bruit,p=5%,0.18442662779397473,0.16931365403304183,0.20046647230320697,0.6097836585179136
D2_bruit,p=10%,0.1501943634596696,0.13612609329446063,0.16608479105928084,0.7946238569664246
D2_bruit,p=25%,0.07784256559766763,0.06722485422740525,0.08936224489795916,1.5846627555638362
D2_bruit,p=50%,0.019071914480077744,0.013459062196307095,0.02483053935860058,2.0966785004681756
D3_retrait,bloc entier supprime,0.0026239067055393588,0.0008989310009718172,0.004981171039844506,100.0
D3_retrait,5/40 items gardes,0.0055393586005830905,0.0027690719144800773,0.008624878522837706,10.970549789037397
D3_retrait,10/40 items gardes,0.010714285714285713,0.006850097181729835,0.015015184645286684,5.729007044282042
D3_retrait,20/40 items gardes,0.04436345966958211,0.03646744412050535,0.05264941690962099,2.9102934831658307
D4_melange,permutation intra-segment,0.0012633624878522838,0.00012147716229348882,0.0028437803692905666,1.4666529969259292
