predicteur,n,part_ecarts,part_ecarts_bas,part_ecarts_haut,justesse_ecarts,justesse_bas,justesse_haut,taux_deviation_humaine_ref,taux_deviation_humaine_bas,taux_deviation_humaine_haut,diversite
humains vagues 1-3 (retest),2058,0.4958778749595076,0.49058936669906056,0.5011343942338841,0.6845508224034197,0.6797585458774305,0.6892855187632161,0.5009880142533204,0.49578777939747326,0.5061477567217362,0.568239220127248
Demographics Only - GPT4.1-mini,2058,0.6695011337868482,0.6643828960155491,0.6744009151279559,0.4328973695234544,0.4266556158455481,0.4389039912230779,0.5009880142533204,0.4958130871396178,0.506082361516035,0.4051957185865295
JSON Persona - GPT4.1,2058,0.473607061872368,0.4695252267573696,0.47741375121477164,0.5026011745197855,0.49594677626460365,0.5088590595830217,0.5009880142533204,0.4956104227405248,0.5064949789439585,0.4882468138770659
JSON Persona - GPT4.1-mini,994,0.6036887994634473,0.59602615694165,0.6111179577464789,0.4703729589286623,0.4620049943414438,0.47896136959788704,0.5031522468142187,0.4957562038900067,0.5108995640509725,0.4803981998739668
Text Persona (Default Temperature) - GPT4.1-mini,2058,0.41616456106252026,0.4130302478134111,0.41930697278911566,0.44733749226816266,0.44189481262591473,0.4525601692558351,0.5009880142533204,0.4957074020084224,0.506195537738905,0.47250610594493603
Text Persona (Reasoning) - GPT4.1-mini,2058,0.5898283122772919,0.5854304340783932,0.594315273728539,0.46585013643863554,0.45991062497608237,0.47180097105517593,0.5009880142533204,0.4959993521218011,0.5065842646582441,0.5176115467832155
Text Persona (Repeating Questions) - GPT4.1-mini,2058,0.4643181081956592,0.46072157434402333,0.46762248947197926,0.45924087656565094,0.4535409196384656,0.46425579721703697,0.5009880142533204,0.495779680919987,0.5066330579850988,0.48339268804727714
Text Persona - GPT4.1-mini,2058,0.417233560090703,0.4142691124068675,0.4203113864593457,0.45634998410051736,0.45086767146926937,0.4619780224539995,0.5009880142533204,0.49558572238419174,0.5065844671201815,0.4470370359871615
Text Persona - Gemini-Flash2.5,2058,0.6068108195659215,0.6028421606737934,0.6105280207321023,0.4740795319838061,0.4683038602141514,0.47986424281924167,0.5009880142533204,0.49561022027858764,0.5062115322319404,0.5174640891382134
B0 mode,2058,0.0,0.0,0.0,,,,0.5009880142533204,0.49567521056041464,0.5063899011985746,0.0
B0 tirage,2058,0.5016925817946226,0.4989540816326531,0.5044470764496275,0.34327031669526537,0.33792954739716236,0.348751014747736,0.5009880142533204,0.4958450761256884,0.5064141966310334,0.5690535797160265
B1 argmax,2058,0.35659216067379335,0.34884900388726914,0.3646752510528021,0.39763236627020365,0.3912613346502003,0.4040693010700914,0.5009880142533204,0.4959669582118562,0.5061313573048267,0.4786262399489508
B2 argmax,2058,0.26681243926141884,0.26014536767087787,0.27322704081632654,0.40295476268177816,0.3953554473438074,0.4101023293950616,0.5009880142533204,0.49551324101069,0.5060258746355685,0.3826614234832067
PMM k=10,2058,0.49676060900550695,0.4923625283446712,0.5012878603822482,0.39137593623846,0.3857036253176614,0.3972245254705636,0.5009880142533204,0.495861475542598,0.5062044460641401,0.5595954792778977
