defense,reglage,risque_top1,top1_bas,top1_haut,perte_utilite_points,statut,fait_foi,motif_retractation
aucune,jumeau non protege,0.2067055393586005,0.1903790087463557,0.2241496598639455,0.0,retracte,resultats/audit-comparaison-dp-2026-09-13.md,"mesure jumeau-contre-jumeau, exacte dans son propre fichier (resultats/c7-defense-courbe.csv) mais placee ici sur la MEME colonne que des lignes DP mesurees contre une autre reference : toute figure tiree de ce fichier compare deux grandeurs differentes. Lire c7-defense-courbe.csv, jamais ce fichier."
D1_agregation,k=2,0.0340864917395529,0.0271124878522837,0.0419102283770651,9.647372284845083,retracte,resultats/audit-comparaison-dp-2026-09-13.md,"mesure jumeau-contre-jumeau, exacte dans son propre fichier (resultats/c7-defense-courbe.csv) mais placee ici sur la MEME colonne que des lignes DP mesurees contre une autre reference : toute figure tiree de ce fichier compare deux grandeurs differentes. Lire c7-defense-courbe.csv, jamais ce fichier."
D1_agregation,k=5,0.00578231292517,0.0030600097181729,0.0090621963070942,4.754816497490899,retracte,resultats/audit-comparaison-dp-2026-09-13.md,"mesure jumeau-contre-jumeau, exacte dans son propre fichier (resultats/c7-defense-courbe.csv) mais placee ici sur la MEME colonne que des lignes DP mesurees contre une autre reference : toute figure tiree de ce fichier compare deux grandeurs differentes. Lire c7-defense-courbe.csv, jamais ce fichier."
D1_agregation,k=10,0.0054907677356656,0.002891156462585,0.0086740767735665,3.76548720401639,retracte,resultats/audit-comparaison-dp-2026-09-13.md,"mesure jumeau-contre-jumeau, exacte dans son propre fichier (resultats/c7-defense-courbe.csv) mais placee ici sur la MEME colonne que des lignes DP mesurees contre une autre reference : toute figure tiree de ce fichier compare deux grandeurs differentes. Lire c7-defense-courbe.csv, jamais ce fichier."
D1_agregation,k=25,0.0023809523809523,0.0007531584062196,0.004494655004859,12.107952766124292,retracte,resultats/audit-comparaison-dp-2026-09-13.md,"mesure jumeau-contre-jumeau, exacte dans son propre fichier (resultats/c7-defense-courbe.csv) mais placee ici sur la MEME colonne que des lignes DP mesurees contre une autre reference : toute figure tiree de ce fichier compare deux grandeurs differentes. Lire c7-defense-courbe.csv, jamais ce fichier."
D2_bruit,p=5%,0.1844266277939747,0.1693136540330418,0.2004664723032069,0.6097836585179136,retracte,resultats/audit-comparaison-dp-2026-09-13.md,"mesure jumeau-contre-jumeau, exacte dans son propre fichier (resultats/c7-defense-courbe.csv) mais placee ici sur la MEME colonne que des lignes DP mesurees contre une autre reference : toute figure tiree de ce fichier compare deux grandeurs differentes. Lire c7-defense-courbe.csv, jamais ce fichier."
D2_bruit,p=10%,0.1501943634596696,0.1361260932944606,0.1660847910592808,0.7946238569664246,retracte,resultats/audit-comparaison-dp-2026-09-13.md,"mesure jumeau-contre-jumeau, exacte dans son propre fichier (resultats/c7-defense-courbe.csv) mais placee ici sur la MEME colonne que des lignes DP mesurees contre une autre reference : toute figure tiree de ce fichier compare deux grandeurs differentes. Lire c7-defense-courbe.csv, jamais ce fichier."
D2_bruit,p=25%,0.0778425655976676,0.0672248542274052,0.0893622448979591,1.5846627555638362,retracte,resultats/audit-comparaison-dp-2026-09-13.md,"mesure jumeau-contre-jumeau, exacte dans son propre fichier (resultats/c7-defense-courbe.csv) mais placee ici sur la MEME colonne que des lignes DP mesurees contre une autre reference : toute figure tiree de ce fichier compare deux grandeurs differentes. Lire c7-defense-courbe.csv, jamais ce fichier."
D2_bruit,p=50%,0.0190719144800777,0.013459062196307,0.0248305393586005,2.0966785004681756,retracte,resultats/audit-comparaison-dp-2026-09-13.md,"mesure jumeau-contre-jumeau, exacte dans son propre fichier (resultats/c7-defense-courbe.csv) mais placee ici sur la MEME colonne que des lignes DP mesurees contre une autre reference : toute figure tiree de ce fichier compare deux grandeurs differentes. Lire c7-defense-courbe.csv, jamais ce fichier."
D3_retrait,bloc entier supprime,0.0026239067055393,0.0008989310009718,0.0049811710398445,100.0,retracte,resultats/audit-comparaison-dp-2026-09-13.md,"mesure jumeau-contre-jumeau, exacte dans son propre fichier (resultats/c7-defense-courbe.csv) mais placee ici sur la MEME colonne que des lignes DP mesurees contre une autre reference : toute figure tiree de ce fichier compare deux grandeurs differentes. Lire c7-defense-courbe.csv, jamais ce fichier."
