bloc,mecanisme,epsilon,rho_zcdp,sigma_bruit,reference,stat,replicat,graine,n,grandeur,erreur_distribution,erreur_groupes,erreur_correlations,moyenne_trois,valeur,bas,haut
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",valeur,0,"[20260913, crc32(eps=1), 0]",2058,trois composantes d'utilite (points),1.8306608357628775,2.1567177343754333,4.565276390420082,2.8508849868527975,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",valeur,0,"[20260913, crc32(eps=1), 0]",2058,trois composantes d'utilite (points),3.948007774538387,2.9029909861143013,9.898090825032474,5.583029861895054,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",valeur,1,"[20260913, crc32(eps=1), 1]",2058,trois composantes d'utilite (points),2.0699708454810497,3.3087592464356135,4.527788496079522,3.3021728626653952,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",valeur,1,"[20260913, crc32(eps=1), 1]",2058,trois composantes d'utilite (points),3.951652089407191,3.1383126508327024,9.792240187429414,5.6274016425564355,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",valeur,2,"[20260913, crc32(eps=1), 2]",2058,trois composantes d'utilite (points),2.1039844509232264,2.8507855227708134,4.683799557199341,3.2128565102977937,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",valeur,2,"[20260913, crc32(eps=1), 2]",2058,trois composantes d'utilite (points),3.973517978620019,2.144329982215353,9.978052779469186,5.365300246768186,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",valeur,3,"[20260913, crc32(eps=1), 3]",2058,trois composantes d'utilite (points),1.9229834791059288,2.886106821586578,4.48547887059576,3.0981897237627556,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",valeur,3,"[20260913, crc32(eps=1), 3]",2058,trois composantes d'utilite (points),4.013605442176869,2.7249195386103726,9.833048387672356,5.523857789486532,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"jumeau (apparie, objet protege par D4)",valeur,4,"[20260913, crc32(eps=1), 4]",2058,trois composantes d'utilite (points),1.6047133138969882,2.924421908210436,4.548813275358361,3.025982832488595,,,
replicat,gaussien zCDP (delta=1e-6),eps=1,0.017468904769123432,58.60609524294609,"humains v4 (desapparie, temoin F3)",valeur,4,"[20260913, crc32(eps=1), 4]",2058,trois composantes d'utilite (points),3.5641399416909616,2.566978737550573,9.832506458535486,5.321208379259007,,,
