bloc,jeu,mesure,bassin_b,n_personnes,risque_moyen,risque_moyen_bas,risque_moyen_haut,risque_median,gini,gini_bas,gini_haut,part_decile_sup,part_decile_sup_bas,part_decile_sup_haut,part_centile_sup,decile_1,decile_5,decile_9,decile_10,rapport_d10_sur_d5,frac_risque_sous_1pct,frac_risque_sur_50pct,frac_risque_sur_90pct,axe,n,rang_exposition,quantite,valeur,ic_bas,ic_haut,attendu_si_uniforme
inegalite,Twin-2K-500,risque nu (jumeau),100.0,2058.0,0.45408574348117364,0.43535036565202323,0.47267222657809904,0.385254040840915,0.5159907533051971,0.49798358598233056,0.535473371564629,0.2204367416656956,0.21208462183091864,0.2297274014592993,0.02247170667465829,1.2195356104599003e-17,0.22681419659717664,0.9968919182993404,1.0,4.408895100054103,0.31875607385811466,0.4679300291545189,0.29397473275024294,,,,,,,,
inegalite,Twin-2K-500,risque nu (jumeau),1000.0,2058.0,0.2476660876019143,0.2296951317702781,0.2643550517630813,2.5483217273327835e-06,0.7392537848282712,0.7224399057424185,0.7559679546763288,0.4041618402384013,0.3796595244531116,0.4318285078066507,0.0412009642961477,1.4111632980766058e-230,2.0464549173611591e-07,0.9629328936161191,1.0,4886499.045331863,0.6117589893100097,0.2478134110787172,0.18318756073858114,,,,,,,,
inegalite,Twin-2K-500,risque nu (jumeau),2058.0,2058.0,0.183952669081382,0.16738230533023668,0.2008123909007111,0.0,0.8159907306407239,0.7993506766404336,0.8318119571196012,0.5441463949922415,0.49598028299198865,0.6027326500441725,0.05547123444095666,0.0,0.0,0.845715084006524,1.0,inf,0.7983479105928085,0.18318756073858114,0.18318756073858114,,,,,,,,
inegalite,Twin-2K-500,baseline Demographics Only,100.0,2058.0,0.1228173021829735,0.1115065984771383,0.1345045763007217,1.0886857879449869e-07,0.8417979789446584,0.8288698433294913,0.8532574761466065,0.6850492842054754,0.6448414384522234,0.7232881108562649,0.08308342107572919,5.9488808324009325e-56,1.5370654473894712e-08,0.33777039786703666,0.8417470014104633,54763250.50700175,0.7128279883381924,0.11370262390670553,0.04178814382896016,,,,,,,,
inegalite,Twin-2K-500,apres defense D4,100.0,2058.0,0.022159784762499815,0.017881988311850387,0.02681878255565904,1.8362312177646356e-21,0.9581638586628962,0.9516040651569025,0.964604544008433,0.9965457719606753,0.9927318661623667,0.998513392619165,0.3728503459642977,4.067362037186789e-86,8.725701188581067e-23,0.0007974363725886714,0.22166451658052366,2.540363367824308e+21,0.9091350826044704,0.016034985422740525,0.001943634596695821,,,,,,,,
inegalite,Twin-2K-500,apres defense D4,2058.0,2058.0,0.000977861461183321,0.0,0.002441631571540597,0.0,0.9990191724958657,0.9975536168858792,0.999514091350826,1.0,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.009816775059098901,inf,0.9985422740524781,0.0009718172983479105,0.0009718172983479105,,,,,,,,
inegalite,Park et al. GSS,risque nu (jumeau),100.0,1052.0,0.8565612694951816,0.8389494500500855,0.8729125093475439,1.0,0.13494064064203282,0.1184516587232759,0.15095479294508046,0.11652393061197171,0.11427326105008316,0.11895481829438251,0.012207268921254179,0.1058271152564585,1.0,1.0,1.0,1.0,0.039923954372623575,0.8849809885931559,0.7395437262357415,,,,,,,,
inegalite,Park et al. GSS,risque nu (jumeau),1052.0,1052.0,0.6396170950259759,0.6099313116171935,0.6673659088295607,1.0,0.36036823799602224,0.33006981802410623,0.39158714627426766,0.15604630756078447,0.14915424413674314,0.16309216268686616,0.016347708411129803,0.0,1.0,1.0,1.0,1.0,0.3431558935361217,0.6387832699619772,0.6387832699619772,,,,,,,,
segments,,,,,0.4717915552506793,,,,,,,,,,,,,,,,,,,genre,1044.0,1.0,,,,,
segments,,,,,0.4358560911267714,,,,,,,,,,,,,,,,,,,genre,1014.0,2.0,,,,,
segments,,,,,0.4238877887697886,,,,,,,,,,,,,,,,,,,ethnicite,140.0,3.0,,,,,
segments,,,,,0.3547650602333516,,,,,,,,,,,,,,,,,,,ethnicite,251.0,5.0,,,,,
segments,,,,,0.4069007643635982,,,,,,,,,,,,,,,,,,,ethnicite,194.0,4.0,,,,,
segments,,,,,0.482392473436068,,,,,,,,,,,,,,,,,,,ethnicite,112.0,1.0,,,,,
segments,,,,,0.4799055358020103,,,,,,,,,,,,,,,,,,,ethnicite,1361.0,2.0,,,,,
segments,,,,,0.39872651172733015,,,,,,,,,,,,,,,,,,,age,388.0,4.0,,,,,
segments,,,,,0.4688238444059086,,,,,,,,,,,,,,,,,,,age,735.0,2.0,,,,,
segments,,,,,0.47209449944991316,,,,,,,,,,,,,,,,,,,age,658.0,1.0,,,,,
segments,,,,,0.44974320309626575,,,,,,,,,,,,,,,,,,,age,277.0,3.0,,,,,
segments,,,,,0.4509980231652221,,,,,,,,,,,,,,,,,,,education,253.0,4.0,,,,,
segments,,,,,0.45685408643300995,,,,,,,,,,,,,,,,,,,education,735.0,2.0,,,,,
segments,,,,,0.45319584660881385,,,,,,,,,,,,,,,,,,,education,272.0,3.0,,,,,
segments,,,,,0.4254449640630433,,,,,,,,,,,,,,,,,,,education,313.0,5.0,,,,,
segments,,,,,0.4693258725820867,,,,,,,,,,,,,,,,,,,education,468.0,1.0,,,,,
segments,,,,,0.47720240964972394,,,,,,,,,,,,,,,,,,,ideologie politique,430.0,2.0,,,,,
segments,,,,,0.4586371181921067,,,,,,,,,,,,,,,,,,,ideologie politique,564.0,3.0,,,,,
segments,,,,,0.41515199627530264,,,,,,,,,,,,,,,,,,,ideologie politique,582.0,4.0,,,,,
segments,,,,,0.40687461460198676,,,,,,,,,,,,,,,,,,,ideologie politique,137.0,5.0,,,,,
segments,,,,,0.5022603050487756,,,,,,,,,,,,,,,,,,,ideologie politique,345.0,1.0,,,,,
correlats,Twin-2K-500,,,,,,,,,,,,,,,,,,,,,,,,,,part des top-1 v1-3 captee par le decile le plus expose selon v4,0.25143513203214696,0.22145745540301953,0.286979506111488,0.1
correlats,Twin-2K-500,,,,,,,,,,,,,,,,,,,,,,,,,,part des top-1 v1-3 captee par le quartile le plus expose selon v4,0.5837479270315091,,,0.25
correlats,Twin-2K-500,,,,,,,,,,,,,,,,,,,,,,,,,,Spearman risque ~ atypicite des reponses (distance au mode),-0.18050035745605983,-0.2248359909781844,-0.1345120731918241,0.0
correlats,Twin-2K-500,,,,,,,,,,,,,,,,,,,,,,,,,,Spearman risque ~ nombre de reponses non manquantes (108 items),0.03346721623646103,-0.008184609457950043,0.07527199048552986,0.0
correlats,Twin-2K-500,,,,,,,,,,,,,,,,,,,,,,,,,,Spearman risque ~ coherence interne test-retest (v4 vs v1-3),0.2562037979028408,0.21302822154266365,0.2930791659965025,0.0
correlats,Twin-2K-500,,,,,,,,,,,,,,,,,,,,,,,,,,Spearman risque ~ atypicite du JUMEAU (distance au mode des jumeaux),0.14604551895001136,0.09945019084783185,0.19055701400188943,0.0
correlats,Twin-2K-500,,,,,,,,,,,,,,,,,,,,,,,,,,recouvrement du decile le plus expose avant / apres D4,0.22815533980582525,,,0.1
correlats,Twin-2K-500,,,,,,,,,,,,,,,,,,,,,,,,,,"rapport decile expose / reste, avant D4",2.5421804982001275,,,
correlats,Twin-2K-500,,,,,,,,,,,,,,,,,,,,,,,,,,"rapport decile expose / reste, apres D4",2.587197582076967,,,
correlats,Twin-2K-500,,,,,,,,,,,,,,,,,,,,,,,,,,"reduction relative du risque, decile le plus expose",0.9505280631727762,,,
correlats,Twin-2K-500,,,,,,,,,,,,,,,,,,,,,,,,,,"reduction relative du risque, 90 % restants",0.9513888719278281,,,
correlats,Park et al. GSS,,,,,,,,,,,,,,,,,,,,,,,,,,Spearman risque ~ atypicite des reponses (distance au mode),-0.15398796046583185,-0.21081569298769862,-0.09380711825336402,0.0
