generateur,T,exactitude
G-LR,0.02,0.4756316812439262
G-LR,0.05,0.4756397797214124
G-LR,0.1,0.4759070294784581
G-LR,0.15,0.475696469063816
G-LR,0.2,0.4756640751538711
G-LR,0.3,0.4753927761580823
G-LR,0.4,0.47496760609005506
G-LR,0.6,0.47378927761580825
G-LR,0.8,0.47347748623258834
G-LR,1.0,0.4722303206997085
G-LR,1.5,0.46618075801749276
G-LR,2.0,0.4612285390346615
G-LR,3.0,0.4500445416261743
G-copule,0.02,0.4757410106899903
G-copule,0.05,0.47553854875283447
G-copule,0.1,0.47553045027534824
G-copule,0.15,0.47542921930677035
G-copule,0.2,0.4757491091674766
G-copule,0.3,0.47536443148688046
G-copule,0.4,0.47536443148688046
G-copule,0.6,0.4739188532555879
G-copule,0.8,0.47200356333009397
G-copule,1.0,0.47130304502753484
G-copule,1.5,0.46685293164885
G-copule,2.0,0.461698250728863
G-copule,3.0,0.45282231940395207
