jeu,bloc,serie,passe,fidelite_top1,fidelite_bas,fidelite_haut,baseline_top1,n_pool,n_items,baseline_bas,baseline_haut,d,descripteurs_differents,top1,top1_bas,top1_haut,fidelite_geom_paire,hasard,n_paires,ecart_type_pts,rho,rho_bas,rho_haut,rho_partiel,rho_partiel_bas,rho_partiel_haut,rho_fidelite_top1,rho_d_fidelite,verdict,top1_predit_multiplicatif,rapport_observe_predit,mae_pts,rapport_median
Twin-2K-500,controle,Demographics Only - GPT4.1-mini,0.0,0.021598639455782314,0.015961491739552962,0.02762572886297375,0.02152575315840622,2058.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,
Twin-2K-500,controle,JSON Persona - GPT4.1,1.0,0.20694849368318755,0.19003826530612244,0.2240087463556851,0.02152575315840622,2058.0,60.0,0.01586491739552964,0.02789237123420796,,,,,,,,,,,,,,,,,,,,,,
Twin-2K-500,controle,Text Persona - GPT4.1-mini,1.0,0.054543245869776484,0.04514030612244898,0.06404336734693877,0.02152575315840622,2058.0,60.0,0.01586491739552964,0.02789237123420796,,,,,,,,,,,,,,,,,,,,,,
Twin-2K-500,controle,Text Persona (Default Temperature) - GPT4.1-mini,1.0,0.05495626822157434,0.046137026239067055,0.0637761175898931,0.02152575315840622,2058.0,60.0,0.01586491739552964,0.02789237123420796,,,,,,,,,,,,,,,,,,,,,,
Twin-2K-500,controle,Text Persona (Reasoning) - GPT4.1-mini,1.0,0.09334305150631682,0.08143707482993195,0.10546707968901847,0.02152575315840622,2058.0,60.0,0.01586491739552964,0.02789237123420796,,,,,,,,,,,,,,,,,,,,,,
Twin-2K-500,controle,Text Persona (Repeating Questions) - GPT4.1-mini,1.0,0.07298347910592808,0.06282738095238095,0.08340743440233236,0.02152575315840622,2058.0,60.0,0.01586491739552964,0.02789237123420796,,,,,,,,,,,,,,,,,,,,,,
Twin-2K-500,controle,Text Persona - Gemini-Flash2.5,1.0,0.13080660835762878,0.11642189018464529,0.14516642371234206,0.02152575315840622,2058.0,60.0,0.01586491739552964,0.02789237123420796,,,,,,,,,,,,,,,,,,,,,,
Twin-2K-500,paire_hors_controle,Demographics Only - GPT4.1-mini <-> JSON Persona - GPT4.1,,,,,,2058.0,60.0,,,3.0,modele+format_persona+bloc_enquete,0.13069727891156463,0.11873177842565599,0.1431972789115646,0.06685660701067929,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire_hors_controle,Demographics Only - GPT4.1-mini <-> Text Persona - GPT4.1-mini,,,,,,2058.0,60.0,,,2.0,format_persona+bloc_enquete,0.07252186588921283,0.06350552721088434,0.0816569484936832,0.03432287724374794,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire_hors_controle,Demographics Only - GPT4.1-mini <-> Text Persona (Default Temperature) - GPT4.1-mini,,,,,,2058.0,60.0,,,3.0,decodage+format_persona+bloc_enquete,0.0569363459669582,0.0491362973760933,0.06504039115646258,0.034452585144703604,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire_hors_controle,Demographics Only - GPT4.1-mini <-> Text Persona (Reasoning) - GPT4.1-mini,,,,,,2058.0,60.0,,,3.0,raisonnement+format_persona+bloc_enquete,0.10117832847424685,0.09013301749271137,0.11237882653061222,0.0449008119657925,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire_hors_controle,Demographics Only - GPT4.1-mini <-> Text Persona (Repeating Questions) - GPT4.1-mini,,,,,,2058.0,60.0,,,3.0,gabarit+format_persona+bloc_enquete,0.09222546161321672,0.08255557580174926,0.10239340379008746,0.03970319699265491,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire_hors_controle,Demographics Only - GPT4.1-mini <-> Text Persona - Gemini-Flash2.5,,,,,,2058.0,60.0,,,3.0,modele+format_persona+bloc_enquete,0.08803449951409135,0.07812074829931974,0.09823858114674441,0.05315303163837549,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,JSON Persona - GPT4.1 <-> Text Persona - GPT4.1-mini,,,,,,2058.0,60.0,,,2.0,modele+format_persona,0.34045189504373174,0.3223487609329446,0.35873997813411074,0.10624331778207034,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,JSON Persona - GPT4.1 <-> Text Persona (Default Temperature) - GPT4.1-mini,,,,,,2058.0,60.0,,,3.0,modele+decodage+format_persona,0.27370019436345966,0.25722576530612246,0.28982507288629733,0.10664481669028288,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,JSON Persona - GPT4.1 <-> Text Persona (Reasoning) - GPT4.1-mini,,,,,,2058.0,60.0,,,3.0,modele+raisonnement+format_persona,0.35560009718172986,0.33823493683187567,0.3746112730806608,0.1389863443113188,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,JSON Persona - GPT4.1 <-> Text Persona (Repeating Questions) - GPT4.1-mini,,,,,,2058.0,60.0,,,3.0,modele+gabarit+format_persona,0.3100097181729835,0.29296525753158403,0.3271501457725947,0.12289760398286945,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,JSON Persona - GPT4.1 <-> Text Persona - Gemini-Flash2.5,,,,,,2058.0,60.0,,,2.0,modele+format_persona,0.3896137026239067,0.3711242711370263,0.4071197764820213,0.16453033326234384,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,Text Persona - GPT4.1-mini <-> Text Persona (Default Temperature) - GPT4.1-mini,,,,,,2058.0,60.0,,,1.0,decodage,0.8141763848396502,0.7998417759961127,0.8276609572400387,0.05474936757346804,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,Text Persona - GPT4.1-mini <-> Text Persona (Reasoning) - GPT4.1-mini,,,,,,2058.0,60.0,,,1.0,raisonnement,0.33537414965986395,0.316067480563654,0.35277210884353744,0.07135287666621612,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,Text Persona - GPT4.1-mini <-> Text Persona (Repeating Questions) - GPT4.1-mini,,,,,,2058.0,60.0,,,1.0,gabarit,0.6704931972789115,0.6530606171039844,0.6872746598639455,0.06309323137473885,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,Text Persona - GPT4.1-mini <-> Text Persona - Gemini-Flash2.5,,,,,,2058.0,60.0,,,1.0,modele,0.17191448007774537,0.15842717444120505,0.18570213799805638,0.08446666206878135,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,Text Persona (Default Temperature) - GPT4.1-mini <-> Text Persona (Reasoning) - GPT4.1-mini,,,,,,2058.0,60.0,,,2.0,decodage+raisonnement,0.29057337220602525,0.27366375121477166,0.30817784256559766,0.0716225228206978,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,Text Persona (Default Temperature) - GPT4.1-mini <-> Text Persona (Repeating Questions) - GPT4.1-mini,,,,,,2058.0,60.0,,,2.0,gabarit+decodage,0.5671039844509231,0.5492984693877551,0.5851229956268222,0.06333166390905144,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,Text Persona (Default Temperature) - GPT4.1-mini <-> Text Persona - Gemini-Flash2.5,,,,,,2058.0,60.0,,,2.0,modele+decodage,0.13539844509232266,0.12230259961127307,0.14753735422740524,0.08478586588610318,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,Text Persona (Reasoning) - GPT4.1-mini <-> Text Persona (Repeating Questions) - GPT4.1-mini,,,,,,2058.0,60.0,,,2.0,gabarit+raisonnement,0.3554421768707483,0.33812985908649174,0.3721601676384839,0.08253787402941053,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,Text Persona (Reasoning) - GPT4.1-mini <-> Text Persona - Gemini-Flash2.5,,,,,,2058.0,60.0,,,2.0,modele+raisonnement,0.28278668610301266,0.2661676992225462,0.2996847667638484,0.11049836189416001,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,paire,Text Persona (Repeating Questions) - GPT4.1-mini <-> Text Persona - Gemini-Flash2.5,,,,,,2058.0,60.0,,,2.0,modele+gabarit,0.1682701652089407,0.15531766277939746,0.18131802721088433,0.09770732504774816,0.00048590864917395527,,,,,,,,,,,,,,,
Twin-2K-500,dispersion_par_d,d=1,,,,,,,,,,1.0,,0.49798955296404274,0.17191448007774537,0.8141763848396502,,,4.0,25.617393627330102,,,,,,,,,,,,,
Twin-2K-500,dispersion_par_d,d=2,,,,,,,,,,2.0,,0.3162050534499514,0.13539844509232266,0.5671039844509231,,,8.0,12.590477337892239,,,,,,,,,,,,,
Twin-2K-500,dispersion_par_d,d=3,,,,,,,,,,3.0,,0.3131033365727243,0.27370019436345966,0.35560009718172986,,,3.0,3.350697814399201,,,,,,,,,,,,,
Twin-2K-500,relation,"rho de Spearman(d, top1)",,,,,,2058.0,60.0,,,,,,,,,,15.0,,-0.23198879336591166,-0.32050824608879447,-0.1867706387267933,0.0028095475577443268,-0.04689130488995698,0.06773857911286081,-0.3214285714285714,0.7274224876727738,INDECISE,,,,
Park et al. (GSS),controle,demographique,0.0,0.004039923954372623,0.0014258555133079848,0.0073681083650190046,0.0038022813688212928,1052.0,20.0,0.001140684410646388,0.007271863117870723,,,,,,,,,,,,,,,,,,,,,,
Park et al. (GSS),controle,persona,0.0,0.0025665399239543727,0.0006178707224334601,0.005180608365019011,0.003944866920152092,1052.0,20.0,0.0012820817490494297,0.007414448669201521,,,,,,,,,,,,,,,,,,,,,,
Park et al. (GSS),controle,enquete,1.0,0.06335551330798479,0.05152091254752852,0.0763319866920152,0.003897338403041826,1052.0,20.0,0.0012832699619771864,0.007414448669201521,,,,,,,,,,,,,,,,,,,,,,
Park et al. (GSS),controle,entretien,1.0,0.07362167300380228,0.060503802281368826,0.08821411596958173,0.004182509505703422,1052.0,20.0,0.0013783269961977187,0.007652091254752852,,,,,,,,,,,,,,,,,,,,,,
Park et al. (GSS),controle,composite,1.0,0.18673954372623572,0.16586739543726234,0.20793963878326993,0.004039923954372623,1052.0,20.0,0.0013783269961977187,0.0076045627376425855,,,,,,,,,,,,,,,,,,,,,,
Park et al. (GSS),paire_hors_controle,demographique <-> persona,,,,,,1052.0,20.0,,,2.0,bloc_demo+bloc_autodesc,0.004111216730038023,0.002233246197718631,0.006392585551330798,0.0032200351113981602,0.0009505703422053232,,,,,,,,,,,,,,,
Park et al. (GSS),paire_hors_controle,demographique <-> enquete,,,,,,1052.0,20.0,,,2.0,bloc_demo+bloc_enquete,0.004039923954372624,0.0019249049429657797,0.00670152091254753,0.015998482923530635,0.0009505703422053232,,,,,,,,,,,,,,,
