jeu,predicteur,fpr,tpr
Twin,Demographics Only - GPT4.1-mini,0.0009718172983479105,0.0009718172983479105
Twin,Demographics Only - GPT4.1-mini,0.003401360544217687,0.001943634596695821
Twin,Demographics Only - GPT4.1-mini,0.0058309037900874635,0.001943634596695821
Twin,Demographics Only - GPT4.1-mini,0.007288629737609329,0.001943634596695821
Twin,Demographics Only - GPT4.1-mini,0.00826044703595724,0.001943634596695821
Twin,Demographics Only - GPT4.1-mini,0.030612244897959183,0.0024295432458697765
Twin,Demographics Only - GPT4.1-mini,0.07677356656948493,0.003887269193391642
Twin,Demographics Only - GPT4.1-mini,0.10641399416909621,0.004373177842565598
Twin,Demographics Only - GPT4.1-mini,0.11224489795918367,0.004373177842565598
Twin,Demographics Only - GPT4.1-mini,0.26773566569484936,0.00826044703595724
Twin,Demographics Only - GPT4.1-mini,0.4718172983479106,0.012633624878522837
Twin,Demographics Only - GPT4.1-mini,0.6574344023323615,0.017978620019436346
Twin,Demographics Only - GPT4.1-mini,1.0,0.019922254616132166
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.0,0.0009718172983479105
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.0,0.0024295432458697765
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.0,0.0029154518950437317
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.0,0.001943634596695821
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.00048590864917395527,0.003887269193391642
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.0009718172983479105,0.007288629737609329
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.0009718172983479105,0.00923226433430515
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.0014577259475218659,0.01020408163265306
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.003401360544217687,0.016034985422740525
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.008746355685131196,0.02672497570456754
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.00923226433430515,0.029640427599611274
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.01020408163265306,0.030612244897959183
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.03012633624878523,0.052478134110787174
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.06899902818270165,0.07142857142857142
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.10204081632653061,0.08454810495626822
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.10592808551992225,0.08697764820213799
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.2599611273080661,0.1239067055393586
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.47278911564625853,0.15500485908649175
Twin,Meilleur jumeau (JSON Persona GPT4.1),0.6647230320699709,0.18318756073858114
Twin,Meilleur jumeau (JSON Persona GPT4.1),1.0,0.20262390670553937
Twin,PMM k=10,0.0009718172983479105,0.0
Twin,PMM k=10,0.003401360544217687,0.0
Twin,PMM k=10,0.00826044703595724,0.0
Twin,PMM k=10,0.010689990281827016,0.0
Twin,PMM k=10,0.011661807580174927,0.0
Twin,PMM k=10,0.02672497570456754,0.0
Twin,PMM k=10,0.05442176870748299,0.0
Twin,PMM k=10,0.07725947521865889,0.0
Twin,PMM k=10,0.07774538386783285,0.0
Twin,PMM k=10,0.2162293488824101,0.0
Twin,PMM k=10,0.42759961127308066,0.0
Twin,PMM k=10,0.6375121477162293,0.00048590864917395527
Twin,PMM k=10,1.0,0.00048590864917395527
Twin,Retest humain (plafond),0.0,0.0009718172983479105
Twin,Retest humain (plafond),0.0,0.0024295432458697765
Twin,Retest humain (plafond),0.0,0.005344995140913508
Twin,Retest humain (plafond),0.0,0.008746355685131196
Twin,Retest humain (plafond),0.0,0.011175898931000973
Twin,Retest humain (plafond),0.0,0.02575315840621963
Twin,Retest humain (plafond),0.0,0.04616132167152575
Twin,Retest humain (plafond),0.0,0.057337220602526724
Twin,Retest humain (plafond),0.0,0.09183673469387756
Twin,Retest humain (plafond),0.0,0.12050534499514091
Twin,Retest humain (plafond),0.0,0.1511175898931001
Twin,Retest humain (plafond),0.0,0.001943634596695821
Twin,Retest humain (plafond),0.00048590864917395527,0.21234207968901847
Twin,Retest humain (plafond),0.00048590864917395527,0.250242954324587
Twin,Retest humain (plafond),0.0009718172983479105,0.2813411078717201
Twin,Retest humain (plafond),0.0009718172983479105,0.36151603498542273
Twin,Retest humain (plafond),0.0009718172983479105,0.3673469387755102
Twin,Retest humain (plafond),0.0014577259475218659,0.38872691933916426
Twin,Retest humain (plafond),0.003401360544217687,0.44946550048590866
Twin,Retest humain (plafond),0.0058309037900874635,0.5097181729834791
Twin,Retest humain (plafond),0.00826044703595724,0.5340136054421769
Twin,Retest humain (plafond),0.01020408163265306,0.5461613216715258
Twin,Retest humain (plafond),0.02672497570456754,0.6239067055393586
Twin,Retest humain (plafond),0.056365403304178816,0.6656948493683188
Twin,Retest humain (plafond),0.08309037900874636,0.6948493683187561
Twin,Retest humain (plafond),0.08600583090379009,0.7001943634596696
Twin,Retest humain (plafond),0.25704567541302237,0.7575315840621963
Twin,Retest humain (plafond),0.4684159378036929,0.7764820213799806
Twin,Retest humain (plafond),0.6598639455782312,0.7993197278911565
Twin,Retest humain (plafond),1.0,0.814868804664723
Stanford,démographique,0.0009505703422053232,0.0
Stanford,démographique,0.0019011406844106464,0.0
Stanford,démographique,0.0028517110266159697,0.0
Stanford,démographique,0.006653992395437262,0.0
Stanford,démographique,0.0076045627376425855,0.0
Stanford,démographique,0.009505703422053232,0.0
