id,claim,description,estimate,seuil,p,methode,confirmatoire,rang,p_holm,holm_significatif_0_05,p_bh,bh_significatif_0_05
A2_generateur_G-LR,A2,generateur G-LR top-1 << jumeau (seuil indicatif < 10%),0.0024829931972789,0.1,0.0,normale (Wald sur IC publie),True,1.0,0.0,True,0.0,True
A2_generateur_G-copule,A2,generateur G-copule top-1 << jumeau (seuil indicatif < 10%),0.0022108843537414,0.1,0.0,normale (Wald sur IC publie),True,2.0,0.0,True,0.0,True
A1_disjoint_a,A1,"rho(fidelite,fuite) sur items disjoints > 0,70 (moyenne sur 50 partages)",0.969288719930776,0.7,1e-300,empirique (50 partages),True,3.0,1.3e-299,True,5e-300,True
A5_mecanisme_H2_coherence,A5,"H2 : correlation personne-a-personne (coherence achat, humains vs IA) > 0",0.4478652289110301,0.0,6.325838188080723e-130,normale (Wald sur IC publie),True,4.0,7.591005825696868e-129,True,2.372189320530271e-129,True
A11_P1_Park GSS,A11,[P1] A-LLR top-1 Park GSS > 78.9% (gain >=20% relatif vs naif 65.72%),0.9039923954372624,0.789,4.860740587629852e-36,normale (Wald sur IC publie),True,5.0,5.346814646392837e-35,True,1.4582221762889558e-35,True
A11_P2_D4_sous_attaquant_fort,A11,[P2] D4 sous A-LLR (recalibre) : top-1 < 1%,0.0024295432458697,0.01,5.7710133152711685e-12,normale (Wald sur IC publie),True,6.0,5.7710133152711687e-11,True,1.442753328817792e-11,True
A1_primaire,A1,"rho(fidelite,fuite) sur 12 points >= 0,70 (preenregistre compromis)",0.9580419580419581,0.7,9.543581826838402e-07,"classique (spearmanr, H0 rho=0, n=12)",True,7.0,8.589223644154562e-06,True,2.0450532486082293e-06,True
A9_courbe_gen_pente,A9,"regression fuite~exactitude (12 pts) non nulle, r=0,785",0.7853671398918899,0.0,0.0024700820012135,classique (deja c7-multiplicite.md),True,8.0,0.019760656009708,True,0.0046314037522753124,True
A1_disjoint_b,A1,rho observe (items disjoints) > 95e centile du nul de marge,0.969288719930776,1.0,0.9,empirique (100 replicats du nul),True,9.0,1.0,False,1.0,False
A11_P1_Twin,A11,[P1] A-LLR top-1 Twin > 24.8% (gain >=20% relatif vs naif 20.69%),0.2322643343051506,0.248,0.9610578926886547,normale (Wald sur IC publie),True,10.0,1.0,False,1.0,False
A5_mecanisme_H4_stereotypie,A5,"H4 : taux de stereotypie IA nettement SUPERIEUR aux humains (segment S_gra, LOO)",-0.013078421821724251,0.0,0.9989118245177403,"normale (Wald, 2 echantillons)",True,11.0,1.0,False,1.0,False
A9_fort_exactitude,A9,"exactitude du jumeau fort (appel par item, gpt-4.1) > 0,55",0.4722222222222222,0.55,0.9999951940580483,normale (Wald sur IC publie),True,12.0,1.0,False,1.0,False
A7_stanford_enquete->entretien,A7,transfert inter-jumeaux Stanford GSS (enquete->entretien) top-1 >= 20%,0.129753,0.2,0.9999999999999664,normale (Wald sur IC publie),True,13.0,1.0,False,1.0,False
A9_fort_top1,A9,"top-1 du jumeau fort > 5% (k=0/30 ; IC publie [0%;0%] degenere ; Clopper-Pearson exact [0.00%;11.57%] -> NON CONCLUANT, pas refute : le seuil de 5% est dans l'IC exact",0.0,0.05,1.0,"binomial exact (Clopper-Pearson), k=0 rend le Wald sur IC publie invalide",True,14.0,1.0,False,1.0,False
A7_stanford_entretien->enquete,A7,transfert inter-jumeaux Stanford GSS (entretien->enquete) top-1 >= 20%,0.119297,0.2,1.0,normale (Wald sur IC publie),True,15.0,1.0,False,1.0,False
A9_courbe_gen_verif,A9,7/7 jumeaux regeneres dans l'IP a 95% (seuil succes >=4/7 dedans),7.0,4.0,,"denombrement, non convertible en p",True,,,,,
A9_fort_fidelite,A9,"fidelite_plancher du jumeau fort > 0,10 (pas d'IC publie -> seuil non testable)",0.1713595073052757,0.1,,"point seul, non convertible en p",True,,,,,
A9_recette_granularite,A9,"top-1 (appel par item, n=40) >= 5x top-1 (appel unique, n=40) ; 0/40 et 0/40 -> Clopper-Pearson [0;8.8%] et [0;8.8%] : chevauchement total, non discriminant",0.0,,,"0/0 des deux cotes, non convertible en p ; NON CONCLUANT (pas refute : aucun pouvoir statistique a ce n pour distinguer les deux bras)",True,,,,,
A12_dp_vs_d4,A12,"aucun epsilon DP a moins de 5 points d'utilite de D4 (1,47 pt) (ecart mesure le plus petit = 1.86 pt)",1.8562810491455781,5.0,,"ecart de point, pas d'IC sur l'utilite -> non convertible en p ; refute qualitativement (ecart << 5)",True,,,,,
A13_acp_chute,A13,ACP : chute relative de variance PC1+PC2 (brut->D4) >= 30% (observe 35.4%),0.3544152886098286,0.3,,point seul (pas d'IC sur le ratio) -> non convertible en p,True,,,,,
A5_mecanisme_H1_entropie,A5,"H1 : a entropie appariee, IC(top1 achat) et IC(top1 opinion) se chevauchent (observe 0.1105 vs 0.0024, chevauchement_ic=False)",0.10809037900874639,,,"test d'equivalence, pas de marge preenregistree -> non convertible en p ; refute categoriquement (IC disjoints)",True,,,,,
