ligne,variante,remplissage_cellules_fausses,fait_foi_tableau1,n_replicats,graine,n_permutations,n_tirages_top1,n_points_spearman,replicat,rho_nul,rho_nul_moyen,rho_nul_median,rho_nul_centile5_loi_nulle,rho_nul_centile95_loi_nulle,rho_nul_min,rho_nul_max,rho_reel_observe,rho_reel_depasse_centile95_loi_nulle,nature_des_bornes,script,cache
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,0,0.9720279720,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,1,0.9790209790,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,2,0.9860139860,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,3,0.9930069930,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,4,0.9650349650,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,5,0.9930069930,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,6,1.0000000000,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,7,0.9720279720,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,8,0.9300699301,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,9,0.9790209790,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,10,0.9510489510,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,11,0.9510489510,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,12,0.9930069930,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,13,0.9720279720,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,14,0.9860139860,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,15,0.9720279720,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,16,0.9580419580,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,17,0.9860139860,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,18,0.9720279720,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,19,0.9720279720,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
agregat,marginal,"marginale de population par item, valeur de la personne exclue",oui,20,20260912,40,3,12,,,0.9741258741,0.9720279720,0.9500000000,0.9933566434,0.9300699301,1.0000000000,0.9650,false,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,uniforme,"uniforme sur les modalites, valeur de la personne exclue",non,20,20260912,40,3,12,0,0.9580419580,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,uniforme,"uniforme sur les modalites, valeur de la personne exclue",non,20,20260912,40,3,12,1,0.9580419580,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,uniforme,"uniforme sur les modalites, valeur de la personne exclue",non,20,20260912,40,3,12,2,0.9860139860,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
replicat,uniforme,"uniforme sur les modalites, valeur de la personne exclue",non,20,20260912,40,3,12,3,0.9930069930,,,,,,,0.9650,,centiles 5-95 de la loi nulle (PAS un intervalle de confiance),analyses/c7_temoin_verite_appariee.py,/tmp/c7-nul-corrige-baselines-60.pkl
