volet,jeu,condition,attaque,mesure,valeur,ic_bas,ic_haut,n_pool,n_attaques,candidat_top1,baseline_top1,baseline_ic_bas,baseline_ic_haut,hasard,note,n_items,ic_clopper_pearson_bas,ic_clopper_pearson_haut,succes_arrondis,p_binomial_exact_superieur_au_hasard,convention,fpr_cible,n_permutations,temoin_permutation_min,temoin_permutation_max,tpr_naif,tpr_fort,n_paires,n_tirages,n_tirages_degeneres,part_tirages_rho_egal_1,ecart_type_z,percentile_loi_nulle_2_5,percentile_loi_nulle_50,percentile_loi_nulle_97_5,n_configurations,graine,n_graines,borne_basse_min,borne_basse_max,borne_haute_min,borne_haute_max
1c ex aequo et B-oracle (Argyle),Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),controle_interpretabilite_passe,0.0,0.0005121042830540037,0.002676908752327747,2148.0,2148.0,0.0014432029795158285,0.001000931098696462,0.00016294227188081936,0.0022584962756052106,0.0004655493482309125,baseline demographique recalculee par la fonction canonique sur CE bassin ; aucune valeur de baseline ne lui est fournie,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c ex aequo et B-oracle (Argyle),Argyle 2023,GPT-3 davinci (temp. 0.01),naif (Hamming),controle_interpretabilite_passe,0.0,0.00037185754189944135,0.002048417132216015,2148.0,2148.0,0.0010940409683426443,0.001000931098696462,0.00016294227188081936,0.0022584962756052106,0.0004655493482309125,baseline demographique recalculee par la fonction canonique sur CE bassin ; aucune valeur de baseline ne lui est fournie,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c ex aequo et B-oracle (Argyle),Argyle 2023,GPT-3 davinci (temp. 1.0),naif (Hamming),controle_interpretabilite_passe,0.0,0.00016294227188081936,0.0021648044692737433,2148.0,2148.0,0.000931098696461825,0.001000931098696462,0.00016294227188081936,0.0022584962756052106,0.0004655493482309125,baseline demographique recalculee par la fonction canonique sur CE bassin ; aucune valeur de baseline ne lui est fournie,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c ex aequo et B-oracle (Argyle),Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),top1_ex_aequo_en_faveur_de_l_attaquant,0.006052141527001862,0.0032588454376163874,0.009776536312849162,2148.0,2148.0,,,,,0.0004655493482309125,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1c ex aequo et B-oracle (Argyle),Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),top1_esperance_departage_uniforme_PUBLIE,0.0013500303234940103,0.00044969317228395433,0.0026905271753386267,2148.0,2148.0,,,,,0.0004655493482309125,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1c ex aequo et B-oracle (Argyle),Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),top1_ex_aequo_contre_l_attaquant,0.0004655493482309125,0.0,0.0013966480446927375,2148.0,2148.0,,,,,0.0004655493482309125,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1c ex aequo et B-oracle (Argyle),Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),classe_tete_personnes_dans_la_classe,13.0,,,2148.0,2148.0,,,,,0.0004655493482309125,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1c ex aequo et B-oracle (Argyle),Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),classe_tete_part_personnes_dans_la_classe,0.006052141527001862,,,2148.0,2148.0,,,,,0.0004655493482309125,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1c ex aequo et B-oracle (Argyle),Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),classe_tete_taille_mediane,3.0,,,2148.0,2148.0,,,,,0.0004655493482309125,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1c ex aequo et B-oracle (Argyle),Argyle 2023,GPT-3 davinci (temp. principale),naif (Hamming),classe_tete_taille_moyenne,5.645716945996275,,,2148.0,2148.0,,,,,0.0004655493482309125,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
