domaine,direction,n_items,n,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,top1_hasard,top1_controle,top1_controle_bas,top1_controle_haut,n_controle
gss,entretien->enquete,177,1052,0.119297,0.100613,0.138356,0.464211,0.435501,0.493916,12.350000,0.000951,0.000477,0.000000,0.001431,1048
gss,enquete->entretien,177,1052,0.129753,0.111833,0.148581,0.452376,0.423288,0.481322,13.025000,0.000951,0.003149,0.000286,0.006966,1048
gss,demo->enquete,177,1052,0.015162,0.008603,0.022671,0.095057,0.077660,0.112456,143.025000,0.000951,0.000954,0.000000,0.002863,1048
gss,demo->entretien,177,1052,0.025190,0.016920,0.034364,0.128279,0.109831,0.148244,103.650000,0.000951,0.002433,0.000000,0.005821,1048
jeux_economiques,entretien->enquete,5,1052,0.003042,0.000713,0.006132,0.016540,0.010266,0.023957,435.850000,0.000951,0.000429,0.000143,0.000811,1048
jeux_economiques,enquete->entretien,5,1052,0.002234,0.000428,0.004800,0.017538,0.010693,0.024762,412.300000,0.000951,0.000286,0.000048,0.000620,1048
jeux_economiques,demo->enquete,5,1052,0.002424,0.000618,0.004990,0.010456,0.006084,0.015257,519.100000,0.000951,0.002004,0.000668,0.004438,1048
jeux_economiques,demo->entretien,5,1052,0.000808,0.000285,0.001521,0.011359,0.006559,0.016778,485.950000,0.000951,0.000525,0.000191,0.000906,1048
big_five,entretien->enquete,5,1052,0.001901,0.000000,0.004753,0.031369,0.020913,0.042776,236.000000,0.000951,0.002863,0.000000,0.006679,1048
big_five,enquete->entretien,5,1052,0.001901,0.000000,0.004753,0.021863,0.013308,0.031369,268.000000,0.000951,0.000954,0.000000,0.002863,1048
big_five,demo->enquete,5,1052,0.000951,0.000000,0.003802,0.011407,0.005703,0.018061,446.000000,0.000951,0.000954,0.000000,0.002863,1048
big_five,demo->entretien,5,1052,0.000951,0.000000,0.002852,0.015209,0.008555,0.022814,416.000000,0.000951,0.001908,0.000000,0.004771,1048
