config_x,config_y,n_attaques,n_pool,n_items,top1,top1_bas,top1_haut,top10,top10_bas,top10_haut,rang_median,hasard_top1,hasard_top10,top1_controle,top1_controle_bas,top1_controle_haut,top10_controle,n_controle
Demographics Only - GPT4.1-mini,JSON Persona - GPT4.1,2058,2058,60,0.10789601554907678,0.09460519922254616,0.12062803692905734,0.2599611273080661,0.24132531584062197,0.27867225461613215,90.025,0.00048590864917395527,0.004859086491739553,0.0014584346135148275,0.0,0.003403014098201264,0.007170636849781235,2057
Demographics Only - GPT4.1-mini,JSON Persona - GPT4.1-mini,1000,1000,19,0.0007,0.0,0.0018,0.014950000000000001,0.009597500000000002,0.02085,357.025,0.001,0.01,0.0010521042084168336,0.0001503006012024048,0.0022545090180360722,0.012024048096192385,998
Demographics Only - GPT4.1-mini,Text Persona (Default Temperature) - GPT4.1-mini,2058,2058,60,0.05255102040816327,0.043366739552964044,0.06219630709426627,0.16812439261418854,0.15267249757045676,0.18355442176870748,166.8,0.00048590864917395527,0.004859086491739553,0.0007049100631988332,0.0,0.0018959649975692759,0.004180845892075838,2057
Demographics Only - GPT4.1-mini,Text Persona (Reasoning) - GPT4.1-mini,2058,2058,60,0.0836977648202138,0.071865889212828,0.09455843051506317,0.22244897959183674,0.2056359329446064,0.24057701652089408,109.15,0.00048590864917395527,0.004859086491739553,0.0009965969859017986,0.0,0.0024793388429752063,0.0062226543509965974,2057
Demographics Only - GPT4.1-mini,Text Persona (Repeating Questions) - GPT4.1-mini,2058,2058,60,0.07551020408163266,0.06501396987366376,0.08639516520894072,0.21547619047619043,0.19839407191448008,0.23284863945578232,132.875,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.002916869227029655,2057
Demographics Only - GPT4.1-mini,Text Persona - GPT4.1-mini,2058,2058,60,0.07189018464528668,0.06095724003887269,0.08277575315840623,0.1955296404275996,0.17881377551020408,0.21142735665694845,142.0,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.0021147301895964995,2057
Demographics Only - GPT4.1-mini,Text Persona - Gemini-Flash2.5,2058,2058,60,0.0639941690962099,0.054300291545189505,0.07385932944606413,0.18748785228377066,0.17108114674441205,0.2034517735665695,130.875,0.00048590864917395527,0.004859086491739553,0.0,0.0,0.0,0.003986387943607194,2057
JSON Persona - GPT4.1,Demographics Only - GPT4.1-mini,2058,2058,60,0.1529154518950437,0.13792274052478135,0.16790694849368318,0.32320213799805636,0.3049732750242955,0.34247084548104956,53.05,0.00048590864917395527,0.004859086491739553,0.0007778317938745746,0.0,0.0021147301895964995,0.005785123966942148,2057
JSON Persona - GPT4.1,JSON Persona - GPT4.1-mini,1000,1000,19,0.008150000000000001,0.004248750000000001,0.013,0.0557,0.044245,0.06870749999999996,152.35,0.001,0.01,0.0018036072144288575,0.00029934869739478966,0.004410070140280555,0.009318637274549098,998
JSON Persona - GPT4.1,Text Persona (Default Temperature) - GPT4.1-mini,2058,2058,60,0.29409620991253643,0.2754361030126336,0.3136540330417881,0.5861758989310011,0.5646720116618075,0.6070225947521866,5.45,0.00048590864917395527,0.004859086491739553,0.00043753038405444823,0.0,0.0010938259601361207,0.005469129800680603,2057
