table,bras,n_attaques,n_pool,top1,top1_bas,top1_haut,se_personnes,largeur_ic,exactitude_vs_w4,bassin_attaque_plein,note,n_bras,etendue_points,min,max,largeur_ic_titre,rapport_E_sur_L,ecart_type_inter_bras,seuil_S1_franchi,v_obs,v_intra_personnes,v_gen,part_generation,part_personnes,seuil_S2_franchi,top1_autre,ecart_points,ecart_relatif,ic_recouvrent,k_items,n_tirages_items,ecart_type_tirages
inventaire,JSON Persona - GPT4.1,2058.0,2058.0,0.2068027210884354,0.1895997327502429,0.2242723517978619,0.008845218412458649,0.03467261904761901,0.574,True,bras du chiffre de titre,,,,,,,,,,,,,,,,,,,,,
inventaire,Text Persona - Gemini-Flash2.5,2058.0,2058.0,0.1311710398445092,0.1177830417881438,0.1450449465500486,0.006954695335461065,0.027261904761904793,0.5506,True,,,,,,,,,,,,,,,,,,,,,,
inventaire,JSON Persona - GPT4.1-mini,1000.0,2058.0,0.12255,0.10274875,0.1429012499999999,0.010243172914583558,0.0401524999999999,0.5451,False,,,,,,,,,,,,,,,,,,,,,,
inventaire,Text Persona (Reasoning) - GPT4.1-mini,2058.0,2058.0,0.0934159378036929,0.081875,0.1060738581146744,0.006173291526158619,0.0241988581146744,0.5437,True,,,,,,,,,,,,,,,,,,,,,,
inventaire,Text Persona (Repeating Questions) - GPT4.1-mini,2058.0,2058.0,0.0735422740524781,0.0629482507288629,0.0835076530612244,0.005244841868149478,0.020559402332361504,0.549,True,,,,,,,,,,,,,,,,,,,,,,
inventaire,Text Persona (Default Temperature) - GPT4.1-mini,2058.0,2058.0,0.0558066083576287,0.0464042759961127,0.0650157920310981,0.004747922967409265,0.018611516034985398,0.548,True,,,,,,,,,,,,,,,,,,,,,,
inventaire,Text Persona - GPT4.1-mini,2058.0,2058.0,0.0552721088435374,0.0463307823129251,0.0645778668610301,0.004654954043042545,0.018247084548105003,0.5531,True,,,,,,,,,,,,,,,,,,,,,,
inventaire,Demographics Only - GPT4.1-mini,2058.0,2058.0,0.0212585034013605,0.0155970602526724,0.0274781341107871,0.0030309418825629183,0.0118810738581147,0.4998,True,,,,,,,,,,,,,,,,,,,,,,
dispersion,7 bras (avec la baseline demographique),,,,,,,,,,S1 FRANCHI : intervalles publies TROP ETROITS,7.0,0.1855442176870749,0.0212585034013605,0.2068027210884354,0.03467261904761901,5.351318209687316,0.06152711410677684,True,,,,,,,,,,,,,
dispersion,6 bras riches (sans la baseline demographique),,,,,,,,,,S1 FRANCHI : intervalles publies TROP ETROITS,6.0,0.151530612244898,0.0552721088435374,0.2068027210884354,0.03467261904761901,4.370324954015947,0.058365627739907576,True,,,,,,,,,,,,,
decomposition,7 bras (avec la baseline demographique),,,,,,,,,,S2 : l'IC publie NE BORNE PAS l'incertitude du chiffre,7.0,,,,,,,,0.0037855857703083377,3.508879268639735e-05,0.0037504969776219403,0.9907309476484165,0.009269052351583484,True,,,,,,,
decomposition,6 bras riches (sans la baseline demographique),,,,,,,,,,S2 : l'IC publie NE BORNE PAS l'incertitude du chiffre,6.0,,,,,,,,0.003406546501473469,3.940582335155124e-05,0.003367140678121918,0.9884323248385112,0.011567675161488822,True,,,,,,,
minorant_decodage,Text Persona - GPT4.1-mini vs Text Persona (Default Temperature) - GPT4.1-mini,,,0.0552721088435374,,,,,,,"minorant : decodage seul, pas le bras de titre",,,,,,,,,,,,,,,0.0558066083576287,0.0005344995140912981,0.009670329670328718,True,,,
protocole_inference,Text Persona - GPT4.1-mini (4 protocoles),,,,,,,,,,"modele et representation constants, protocole d'inference variable",4.0,0.038143828960155494,0.0552721088435374,0.0934159378036929,,,,,,,,,,,,,0.6901098901098903,,,,
substitut_items,JSON Persona - GPT4.1,,,0.0121930677032717,,,,,,,"SUBSTITUT : variabilite entre tirages d'items, pas de generation",,0.0267249757045676,0.0034013605442176,0.0301263362487852,,,,,,,,,,,,,0.5283120695687044,,12.0,30.0,0.0064417448327068
substitut_items,JSON Persona - GPT4.1,,,0.0326109491415613,,,,,,,"SUBSTITUT : variabilite entre tirages d'items, pas de generation",,0.0449951409135083,0.0155490767735665,0.0605442176870748,,,,,,,,,,,,,0.35672410287127715,,20.0,30.0,0.0116331115763043
substitut_items,JSON Persona - GPT4.1,,,0.0733527696793002,,,,,,,"SUBSTITUT : variabilite entre tirages d'items, pas de generation",,0.07784256559766761,0.0353741496598639,0.1132167152575315,,,,,,,,,,,,,0.27139602256718665,,30.0,30.0,0.019907649935249
substitut_items,JSON Persona - GPT4.1,,,0.1102947845804988,,,,,,,"SUBSTITUT : variabilite entre tirages d'items, pas de generation",,0.11758989310009718,0.047424684159378,0.1650145772594752,,,,,,,,,,,,,0.21036799584534507,,40.0,30.0,0.0232024927843936
lacune,JSON Persona - GPT4.1,,,,,,,,,,"aucun replicat a condition constante sur disque, dans aucune famille ; la variabilite de re-generation n'est pas mesuree et ne peut l'etre sans depense",1.0,,,,,,,,,,,,,,,,,,,,
