role,item_gss,famille_gss,item_anes,etude_anes,libelle_anes,type_appariement,confiance,statut_donnees_anes,modalites_gss,modalites_anes,note
appariement_gss,natspac/y,depenses publiques (nat*),V202622,ANES 2020 (module GSS),POST: GSS: Spending too much or too little on space program,libelle identique,identique,vide dans le fichier public (0 reponse valide),trop peu | a peu pres ce qu il faut | trop,,V242608 en 2024. Modalites GSS reprises telles quelles.
appariement_gss,natenvir/y,depenses publiques (nat*),V202623,ANES 2020 (module GSS),POST: GSS: Spending too much or too little on environment,libelle identique,identique,vide dans le fichier public (0 reponse valide),trop peu | a peu pres ce qu il faut | trop,,"V242609 en 2024. Voir aussi V201323x, renseigne, formulation budgetaire."
appariement_gss,natheal/y,depenses publiques (nat*),V202624,ANES 2020 (module GSS),POST: GSS: Spending too much or too little on health,libelle identique,identique,vide dans le fichier public (0 reponse valide),trop peu | a peu pres ce qu il faut | trop,,"V242610 en 2024. Voir aussi V202380x, renseigne."
appariement_gss,natcity/y,depenses publiques (nat*),V202625,ANES 2020 (module GSS),POST: GSS: Spending too much or too little on cities,libelle identique,identique,vide dans le fichier public (0 reponse valide),trop peu | a peu pres ce qu il faut | trop,,V242611 en 2024. Aucun equivalent renseigne dans l ANES.
appariement_gss,natdrug/y,depenses publiques (nat*),V202627,ANES 2020 (module GSS),POST: GSS: Spending too much or too little on drug abuse,libelle identique,identique,vide dans le fichier public (0 reponse valide),trop peu | a peu pres ce qu il faut | trop,,V242613 en 2024.
appariement_gss,nateduc/y,depenses publiques (nat*),V202628,ANES 2020 (module GSS),POST: GSS: Spending too much or too little on education,libelle identique,identique,vide dans le fichier public (0 reponse valide),trop peu | a peu pres ce qu il faut | trop,,"Absent du module GSS 2024. Voir aussi V201305x, renseigne."
appariement_gss,natrace/y,depenses publiques (nat*),V201258,ANES 2020,PRE: 7pt scale gov assistance to blacks scale: self-placement,"concept proche, format tres different",faible,renseigne,trop peu | a peu pres ce qu il faut | trop,1. Government should help blacks | 2. | 3. | 4. | 5. | 6. | 7. Blacks should help themselves | 99. Haven't thought much about this,GSS natrace : depenses pour ameliorer la condition des Noirs. ANES : echelle a 7 points aide aux Noirs contre effort individuel.
appariement_gss,natarms/y,depenses publiques (nat*),V201249,ANES 2020,PRE: 7pt scale defense spending: self-placement,"concept proche, format tres different",faible,renseigne,trop peu | a peu pres ce qu il faut | trop,1. Greatly decrease defense spending | 2. | 3. | 4. | 5. | 6. | 7. Greatly increase defense spending | 99. Haven't thought much about this,GSS : trois modalites sur le budget de la defense. ANES : echelle a 7 points entre baisse forte et hausse forte.
appariement_gss,nataid/y,depenses publiques (nat*),,,,,absent,,,,Aucun item d aide exterieure dans l ANES 2020 ni 2024.
appariement_gss,natfare/y,depenses publiques (nat*),V201314x,ANES 2020,PRE: SUMMARY: Federal Budget Spending: welfare programs,"concept proche, echelle differente",moyenne,renseigne,trop peu | a peu pres ce qu il faut | trop,1. Increased a lot | 2. Increased a little | 3. Kept the same | 4. Decreased a little | 5. Decreasaed a lot,"GSS : trop / assez / pas assez pour le welfare. ANES : depense augmentee ou diminuee, 5 modalites."
appariement_gss,natroad,depenses publiques (nat*),V201317x,ANES 2020,PRE: SUMMARY: Federal Budget Spending: building and repairing highways,"concept proche, echelle differente",moyenne,renseigne,trop peu | a peu pres ce qu il faut | trop,1. Increased a lot | 2. Increased a little | 3. Kept the same | 4. Decreased a little | 5. Decreasaed a lot,Highways. Meme remarque d echelle.
appariement_gss,natsoc,depenses publiques (nat*),V201302x,ANES 2020,PRE: SUMMARY: Federal Budget Spending: Social Security,"concept proche, echelle differente",moyenne,renseigne,trop peu | a peu pres ce qu il faut | trop,1. Increased a lot | 2. Increased a little | 3. Kept the same | 4. Decreased a little | 5. Decreasaed a lot,Social Security.
appariement_gss,natmass,depenses publiques (nat*),,,,,absent,,,,
appariement_gss,natpark,depenses publiques (nat*),,,,,absent,,,,
appariement_gss,natchld,depenses publiques (nat*),,,,,absent,,,,
appariement_gss,natsci,depenses publiques (nat*),,,,,absent,,,,
appariement_gss,natenrgy,depenses publiques (nat*),,,,,absent,,,,
appariement_gss,uswary,residu : social,,,,,absent,,,,
appariement_gss,prayer,residu : social,,,,,absent,,,,"Priere a l ecole, absent de l ANES 2020 et 2024."
appariement_gss,courts,residu : social,,,,,absent,,,,"ANES V201311x porte sur la depense contre la criminalite, pas sur la severite des tribunaux."
appariement_gss,discaffw,residu : social,V202530,ANES 2020,POST: Discrimination in the US against whites,concept eloigne,faible,renseigne,,1. A great deal | 2. A lot | 3. A moderate amount | 4. A little | 5. None at all,GSS discaffw : probabilite qu un Blanc perde un poste au profit d un Noir. ANES : discrimination percue contre les Blancs.
appariement_gss,discaffm,residu : social,,,,,absent,,,,
appariement_gss,fehire,roles de genre (fe*),,,,,absent,,,,
appariement_gss,fechld,roles de genre (fe*),,,,,absent,,,,
appariement_gss,fepresch,roles de genre (fe*),,,,,absent,,,,
appariement_gss,fefam,roles de genre (fe*),V202290x,ANES 2020,POST: SUMMARY: Better/worse if man works and woman takes care of home,formulation quasi identique,elevee,renseigne,tout a fait d accord | d accord | pas d accord | pas du tout d accord,1. Much better | 2. Somewhat better | 3. Slightly better | 4. Makes no difference | 5. Slightly worse | 6. Somewhat worse | 7. Much worse,"GSS fefam : mieux pour tout le monde si l homme est celui qui reussit hors du foyer et la femme s occupe du foyer. ANES : mieux ou moins bien pour la famille si l homme travaille dehors et la femme s occupe du foyer, 7 modalites."
appariement_gss,fepol,roles de genre (fe*),V202224,ANES 2020,POST: How important that more women get elected to political office,concept eloigne,faible,renseigne,,1. Extremely important | 2. Very important | 3. Moderately important | 4. A little important | 5. Not at all important,ANES : importance que plus de femmes soient elues. GSS fepol : les hommes sont ils mieux faits pour la politique.
appariement_gss,mobile16,residu : hors axe,,,,,absent,,,,
appariement_gss,incom16,residu : economique,,,,,absent,,,,
appariement_gss,dwelown16,residu : hors axe,,,,,absent,,,,
appariement_gss,divorced,residu : hors axe,,,,,absent,,,,
