item_index,gs_gauche,temoin_gauche,residu_gauche,gs_droite,temoin_droite,residu_droite,n_gauche,n_droite,item
0,0.605861,0.666873,-0.061012,0.614039,0.663717,-0.049677,417.000000,332.000000,natspac/y
1,0.251234,0.249618,0.001615,0.664780,0.664849,-0.000069,417.000000,332.000000,natenvir/y
2,0.297593,0.312795,-0.015202,0.548411,0.546634,0.001777,417.000000,332.000000,natheal/y
3,0.578537,0.654874,-0.076337,0.589251,0.586903,0.002349,417.000000,332.000000,natcity/y
4,0.466957,0.453095,0.013862,0.609544,0.608182,0.001362,417.000000,332.000000,natdrug/y
5,0.329436,0.325455,0.003982,0.570324,0.577675,-0.007352,417.000000,332.000000,nateduc/y
6,0.518435,0.508938,0.009497,0.592345,0.594382,-0.002037,417.000000,332.000000,natrace/y
7,0.536040,0.530390,0.005651,0.632166,0.633787,-0.001621,417.000000,332.000000,natarms/y
8,0.572726,0.576874,-0.004147,0.249463,0.255852,-0.006389,417.000000,332.000000,nataid/y
9,0.285764,0.280894,0.004870,0.619790,0.620475,-0.000684,417.000000,332.000000,natfare/y
10,0.554464,0.551290,0.003174,0.545718,0.541772,0.003945,417.000000,332.000000,natroad
11,0.426282,0.404909,0.021373,0.492684,0.484798,0.007885,417.000000,332.000000,natsoc
12,0.508751,0.499832,0.008919,0.571780,0.664301,-0.092521,417.000000,332.000000,natmass
13,0.508670,0.620180,-0.111510,0.500837,0.661010,-0.160173,417.000000,332.000000,natpark
14,0.430202,0.415074,0.015128,0.626069,0.644882,-0.018813,417.000000,332.000000,natchld
15,0.541805,0.585310,-0.043505,0.564117,0.668226,-0.104108,417.000000,332.000000,natsci
16,0.465689,0.449475,0.016214,0.661231,0.668663,-0.007432,417.000000,332.000000,natenrgy
19,0.660510,0.667782,-0.007272,0.429149,0.445580,-0.016431,417.000000,332.000000,courts
20,0.633047,0.693056,-0.060008,0.724948,0.745905,-0.020957,417.000000,332.000000,discaffw
21,0.621218,0.646939,-0.025721,0.720016,0.750400,-0.030384,417.000000,332.000000,discaffm
22,0.706846,0.736633,-0.029787,0.780566,0.796854,-0.016287,417.000000,332.000000,fehire
23,0.584152,0.583598,0.000554,0.667055,0.700414,-0.033359,417.000000,332.000000,fechld
24,0.611038,0.653012,-0.041974,0.691752,0.744538,-0.052787,417.000000,332.000000,fepresch
25,0.615973,0.607513,0.008459,0.714756,0.752046,-0.037289,417.000000,332.000000,fefam
39,0.614266,0.635481,-0.021215,0.552379,0.560568,-0.008189,417.000000,332.000000,conarmy
40,0.583379,0.620180,-0.036801,0.525898,0.666057,-0.140159,417.000000,332.000000,conbus
41,0.521433,0.514840,0.006593,0.633440,0.664013,-0.030573,417.000000,332.000000,conclerg
42,0.519669,0.633574,-0.113905,0.601700,0.661742,-0.060042,417.000000,332.000000,coneduc
43,0.591335,0.662929,-0.071595,0.538183,0.531717,0.006466,417.000000,332.000000,confed
44,0.597560,0.658538,-0.060977,0.566174,0.667912,-0.101738,417.000000,332.000000,confinan
45,0.536513,0.531755,0.004758,0.629254,0.657257,-0.028003,417.000000,332.000000,conjudge
46,0.561151,0.632272,-0.071120,0.583191,0.624245,-0.041054,417.000000,332.000000,conlabor
48,0.516072,0.507442,0.008630,0.619372,0.658156,-0.038785,417.000000,332.000000,conmedic
49,0.551282,0.663650,-0.112368,0.455811,0.438563,0.017249,417.000000,332.000000,conpress
50,0.388939,0.377158,0.011781,0.625723,0.667515,-0.041792,417.000000,332.000000,consci
93,0.729282,0.797841,-0.068559,0.574164,0.596372,-0.022208,417.000000,332.000000,letin1a
94,0.542497,0.652820,-0.110323,0.484676,0.470119,0.014557,417.000000,332.000000,getahead
98,0.688676,0.688550,0.000126,0.710898,0.723296,-0.012398,417.000000,332.000000,spanking
99,0.559802,0.584280,-0.024478,0.628690,0.667515,-0.038825,417.000000,332.000000,divlaw
101,0.602068,0.590830,0.011239,0.735650,0.746330,-0.010681,417.000000,332.000000,pillok
102,0.684537,0.699983,-0.015446,0.448968,0.478872,-0.029904,417.000000,332.000000,xmarsex
103,0.370054,0.435287,-0.065233,0.656972,0.746941,-0.089968,417.000000,332.000000,homosex
104,0.387555,0.454523,-0.066968,0.776872,0.802416,-0.025544,417.000000,332.000000,marhomo
105,0.450367,0.438378,0.011989,0.648073,0.668130,-0.020057,417.000000,332.000000,discaff
118,0.397021,0.667920,-0.270900,0.500928,0.624245,-0.123317,417.000000,332.000000,pornlaw
122,0.532328,0.572485,-0.040157,0.412532,0.390643,0.021889,417.000000,332.000000,tax
