item,n_personnes,n_changeurs,auc_alea_moyenne,auc_alea_p2_5,auc_alea_p97_5
natspac/y,4255,685,0.49933234578502933,0.47430188717822896,0.5211797624159152
natenvir/y,2211,347,0.49807295209706737,0.4656398421169806,0.5309314742551112
natheal/y,4511,912,0.5000683867472934,0.48200061207304173,0.5170048377838873
natcity/y,3922,734,0.5019085877216675,0.4783762508589773,0.5253382810710464
natdrug/y,4325,765,0.500407261144158,0.47575175332305203,0.5208196739369905
nateduc/y,4603,397,0.49872025809357157,0.4688209898058549,0.5273555320395117
natrace/y,3866,654,0.5001966821666458,0.47352227741154157,0.5264085058515278
natarms/y,4460,856,0.4984924298806104,0.4733903528789403,0.520808768424492
nataid/y,4416,726,0.4998970171037799,0.4789592058799376,0.5201648879780809
natfare/y,4468,604,0.5005061516220367,0.4801143365314741,0.524290144721868
natroad,4516,686,0.5006311877231311,0.47895927692225715,0.5233737030806355
natsoc,4383,749,0.4994408541787142,0.4762055148930917,0.5214510468186163
natmass,4279,782,0.4994257939029947,0.4757261156255965,0.5210390144420464
natpark,4534,625,0.5011009178818112,0.4779615042210284,0.5243663136352008
natchld,4157,800,0.5002789823503128,0.4758392444891272,0.5197983876973489
natsci,4225,882,0.5003890248890462,0.48086601576516536,0.519153070042455
uswary,1382,246,0.5011765537329669,0.4603889342150464,0.5377331315126531
prayer,2895,304,0.502088803093705,0.463196997704605,0.5334609046496983
courts,4098,467,0.500466645475524,0.47048357381741923,0.5253429751066978
discaffw,1523,375,0.49949699186991864,0.46552717770034846,0.5340074912891986
discaffm,1459,280,0.4995329425663395,0.4605142826850842,0.5350852720222949
fehire,1571,289,0.4985830827696776,0.46513820587425575,0.5343527495425077
fechld,3065,555,0.49917929722551235,0.4723637880908797,0.5255405584867736
fepresch,3037,346,0.4997741776806869,0.4748076708273994,0.5296323057161207
fefam,3040,548,0.5001758400604562,0.4750481284636384,0.5225951878126793
fepol,2863,314,0.4991567818527561,0.4639936855467237,0.5300414112690627
wrkstat,4678,598,0.49881699209784247,0.473403501868975,0.523791693307758
evwork,1225,45,0.5003289077212806,0.40956073446327684,0.5771125235404897
partfull,2893,289,0.5024845526445872,0.46997578917715094,0.5343701000324228
conarmy,3105,462,0.5006204537674458,0.4769360132867511,0.5259965472791807
conbus,3073,474,0.4998595126655334,0.4758199559064424,0.5243951544167426
conclerg,3059,532,0.5012276883344094,0.47702835690333867,0.5280667475475392
coneduc,3142,533,0.4991421202548258,0.47481639180869795,0.5241167642386688
confed,3092,500,0.5000148958333334,0.47301157407407407,0.5271520061728395
confinan,3135,780,0.4997023109586804,0.47338416625837004,0.5218525232729054
conjudge,3065,535,0.49962745742676673,0.46734633002105574,0.5265717003435411
conlabor,2950,329,0.4997079817095728,0.4657694341587528,0.5367827832018452
conlegis,3107,672,0.4988358145106092,0.47743027036276525,0.5243138108682898
conmedic,3131,516,0.5013758207716364,0.47476041990899254,0.5240021603154135
conpress,3114,437,0.500843839675035,0.4799271743618193,0.5301381417601758
consci,2975,324,0.4998480540769614,0.46670657124495296,0.5307283589700602
contv,3120,479,0.5012452817660167,0.47304448716600833,0.5343551858875497
joblose,1509,340,0.49714386353343726,0.4631328938761133,0.5317467795501435
jobfind,1503,313,0.49972840765699245,0.46683538271538644,0.5370744623728086
happy,4663,849,0.5002091991997741,0.481845015851957,0.5220827674126011
hapmar,1985,289,0.49974087207024864,0.4546772989162368,0.5305857564307632
satjob,2972,512,0.5001695765053354,0.47206159886305893,0.5259680076537093
spdeg*,1982,106,0.49995406223598976,0.4400299714366175,0.557754857786539
unemp,3164,308,0.5021022727272728,0.4636262743733857,0.5376484968987595
spkath/y,3052,320,0.5010364087664714,0.4671350258510249,0.5340846049139824
colath,2956,416,0.4997282328891581,0.47119851605087826,0.5296859384463961
spkrac/y,3023,519,0.5010963498864245,0.4736720668895086,0.5287004953923434
colrac,2969,565,0.49962828913462815,0.4738941550218662,0.5240596792955693
librac/y,2988,352,0.5005165852617602,0.46194108670161405,0.5351278786298109
spkcom/y,2995,336,0.49944410492666413,0.46871395888178513,0.5292240022654418
colcom/y,2871,611,0.49854630809785205,0.4751673413669742,0.525962389380531
libcom/y,2983,363,0.5018559817466827,0.47010233318612915,0.5307178569175447
spkhomo/y,3012,211,0.4997036180375662,0.4527185196214622,0.5398769227645509
colhomo,2989,214,0.5013210238275658,0.45909661530689566,0.5404538604024585
libhomo/y,3020,285,0.499737002469611,0.46590512845184257,0.5354650886814843
cappun,4268,444,0.500510158105281,0.4736497971559426,0.5244465667288628
polhitok/y,2512,286,0.5003700387662652,0.4641702636985656,0.5337197786490239
polabuse/y,3061,184,0.5013010419972496,0.46286397175499844,0.5433377631439755
polattak/y,3087,243,0.5001456029009163,0.466945102822779,0.5342520243325057
grass,2799,359,0.5024343691492762,0.46837829352938487,0.5330432040275812
gunlaw,3013,347,0.4990992831060791,0.46887964786585695,0.529442158810596
owngun,2661,190,0.49697813584953887,0.45911350614496577,0.5383587509851115
class,4627,542,0.501606028716346,0.47968420149317775,0.5218616394242278
satfin,4657,716,0.5000336102767213,0.47654317914093214,0.5183148542964027
finalter,4661,1038,0.5005737761369372,0.48286016017341576,0.5197557206500749
finrela,4619,429,0.5001030481054347,0.47321832701904304,0.5298249801113762
racdif1,2897,433,0.499370918126331,0.4700750858552533,0.5280411833403317
racdif2,3008,171,0.5021730598379394,0.4483481645012543,0.5478834408309576
racdif3,2975,478,0.49997456780772914,0.4700734395919455,0.5323743513136265
racdif4,2884,452,0.5006070015937937,0.4716143483276083,0.5315119479942944
wlthwhts,2744,542,0.4997676382758378,0.47253534609596776,0.5278110975932648
wlthblks,2720,421,0.5009207917518615,0.47174081160971565,0.5271645267641927
racwork,1438,171,0.49862171543038075,0.45273877603770013,0.5454281421786511
getahead,3064,329,0.49972948883937257,0.4635929329917816,0.5329768063435262
aged,3120,569,0.49876871401614453,0.47653471983487644,0.5247173133799833
parsol,3115,490,0.4999594246841593,0.47333737609329446,0.5257913896987366
kidssol,3038,467,0.4996059157611208,0.47506229922450793,0.5252859059664834
spanking,3033,305,0.5023088433248402,0.46717714893514733,0.5370227092447478
divlaw,2827,446,0.5003456926377168,0.4707461018941056,0.5268801451325233
sexeduc,3027,141,0.4992582680880553,0.457976327391221,0.546755982660238
pillok,2556,382,0.5016816000134864,0.4742028290072586,0.53111787570382
xmarsex,3016,273,0.5007268785413153,0.4619111384423087,0.5347065590867996
homosex,2845,288,0.5003965082236127,0.46838875716986056,0.5353604484421849
discaff,2916,398,0.5021284640038955,0.4745057445687532,0.5353064219030019
abdefect,2857,222,0.5030885515496522,0.4648173410602253,0.537365976032959
abnomore,2887,214,0.5008197936443004,0.4600254011209359,0.5416581442671785
abhlth,2871,149,0.5008559635877686,0.45553124183264376,0.5447578517572452
abpoor,2887,302,0.5006158812302253,0.47304475642717153,0.5360367376740492
abrape,2887,134,0.4950929786230489,0.44474182845308513,0.5393181658001311
absingle,2915,281,0.49889020393053335,0.4663582511207127,0.5313434096147558
abany,2897,159,0.49923611781082466,0.449367279058763,0.5406666482903096
letdie1,2242,241,0.49920638228603537,0.45626237711020007,0.534652642558389
suicide1,2900,324,0.4996848580917874,0.46388059173951385,0.5297557642722951
suicide2,3025,206,0.5017739455222364,0.4595324032139745,0.5389941950770947
suicide3,3013,197,0.49840379124365486,0.4567294034090909,0.5347417404533918
suicide4,2968,257,0.5005204692799332,0.4628154212482077,0.539643899260399
pornlaw,3136,327,0.49830604555257624,0.46595322701278,0.527411808701389
fair,3141,466,0.4998798403593919,0.4719133809313706,0.5326681039669487
helpful,3144,507,0.49987224365145083,0.47281702355868804,0.5275074628316949
trust,3375,304,0.49836002437916677,0.4641353108022417,0.5332952632007404
tax,2971,485,0.49906800972041365,0.4708350681341284,0.5221244743760938
news,3096,476,0.4999208376098531,0.4765229288280198,0.5243902551478606
attend,4615,984,0.5005723033700318,0.48129127594808035,0.5168714860516823
pray,4620,830,0.5003261897192993,0.4810682360047049,0.520279484693391
postlife,3906,170,0.5007126448545157,0.4545421337699962,0.5442662803879582
bible,4577,318,0.4996166977514136,0.46681167959526326,0.5366251415795776
reborn,4576,388,0.498843360140411,0.4711140353144478,0.5241734484388385
savesoul,4655,416,0.5003306578565336,0.46710886037617727,0.5290242448781461
income,3920,358,0.4979129600469261,0.4652749655739196,0.5255479941906969
health,3092,308,0.49909002276459175,0.4651297651701746,0.5298728996398716
xmovie,3147,336,0.5001596565787467,0.46592275139333567,0.5362536474479511
life,3045,495,0.4999354604872252,0.46983131313131316,0.5270668647256882
richwork,1720,294,0.5001919168789536,0.466134577954604,0.5286361879955348
