item,panel,paire,ecart_annees,n_personnes,n_changeurs,taux_changement,derive_nette_tv,part_dirigee,n_monotone,n_contraire,n_indetermine,part_monotone_du_changement,part_contraire_du_changement,perimetre
natspac/y,2006-2010,2006-2010,4,1165,424,0.36394849785407724,0.025751072961373425,0.07075471698113217,155,125,144,0.36556603773584906,0.294811320754717,4 ans
natenvir/y,2006-2010,2006-2010,4,614,212,0.34527687296416937,0.13843648208469053,0.40094339622641506,133,48,31,0.6273584905660378,0.22641509433962265,4 ans
natheal/y,2006-2010,2006-2010,4,1228,500,0.40716612377850164,0.1596091205211726,0.3919999999999999,302,106,92,0.604,0.212,4 ans
natcity/y,2006-2010,2006-2010,4,1078,507,0.47031539888682744,0.055658627087198556,0.11834319526627228,193,133,181,0.3806706114398422,0.26232741617357,4 ans
natdrug/y,2006-2010,2006-2010,4,1166,499,0.427958833619211,0.06260720411663809,0.1462925851703407,242,169,88,0.4849699398797595,0.33867735470941884,4 ans
nateduc/y,2006-2010,2006-2010,4,1249,340,0.2722177742193755,0.0008006405124099183,0.0029411764705882,0,172,168,0.0,0.5058823529411764,4 ans
natrace/y,2006-2010,2006-2010,4,1055,415,0.3933649289099526,0.056872037914691934,0.14457831325301201,221,161,33,0.5325301204819277,0.38795180722891565,4 ans
natarms/y,2006-2010,2006-2010,4,1210,542,0.4479338842975207,0.09090909090909088,0.20295202952029515,277,167,98,0.511070110701107,0.3081180811808118,4 ans
nataid/y,2006-2010,2006-2010,4,1212,389,0.320957095709571,0.07425742574257425,0.2313624678663239,209,119,61,0.5372750642673522,0.3059125964010283,4 ans
natfare/y,2006-2010,2006-2010,4,1220,467,0.38278688524590165,0.09344262295081966,0.24411134903640253,215,101,151,0.4603854389721627,0.21627408993576017,4 ans
natroad,2006-2010,2006-2010,4,1224,539,0.440359477124183,0.08660130718954251,0.19666048237476816,266,160,113,0.4935064935064935,0.29684601113172543,4 ans
natsoc,2006-2010,2006-2010,4,1196,368,0.3076923076923077,0.0660535117056856,0.2146739130434782,204,125,39,0.5543478260869565,0.33967391304347827,4 ans
natmass,2006-2010,2006-2010,4,1148,436,0.3797909407665505,0.02351916376306621,0.06192660550458718,190,163,83,0.43577981651376146,0.3738532110091743,4 ans
natpark,2006-2010,2006-2010,4,1234,465,0.37682333873581847,0.035656401944894625,0.09462365591397842,211,167,87,0.45376344086021503,0.35913978494623655,4 ans
natchld,2006-2010,2006-2010,4,1109,444,0.4003606853020739,0.07484220018034261,0.18693693693693686,233,150,61,0.5247747747747747,0.33783783783783783,4 ans
natsci,2006-2010,2006-2010,4,1144,521,0.4554195804195804,0.07954545454545457,0.17466410748560465,233,142,146,0.4472168905950096,0.272552783109405,4 ans
uswary,2006-2010,2006-2010,4,391,113,0.289002557544757,0.10485933503836317,0.36283185840707965,77,36,0,0.6814159292035398,0.3185840707964602,4 ans
