perimetre,centile,taux_changement
4 ans,10,0.225
4 ans,20,0.2558139534883721
4 ans,30,0.27883426552840734
4 ans,40,0.3
4 ans,50,0.32051282051282054
4 ans,60,0.33769743769743765
4 ans,70,0.3625
4 ans,80,0.3902439024390244
4 ans,90,0.43373493975903615
2 ans,10,0.20987654320987653
2 ans,20,0.24096385542168675
2 ans,30,0.26506024096385544
2 ans,40,0.28735632183908044
2 ans,50,0.3048780487804878
2 ans,60,0.32558139534883723
2 ans,70,0.3493975903614458
2 ans,80,0.37662337662337664
2 ans,90,0.417910447761194
