replicat,part_monotone,part_contraire,taux_changement_relatif,temoin,taux_changement
0,0.4052313247113541,0.35423381338990656,196088.0,remelange complet,
1,0.4046986741970507,0.3542100997538013,196183.0,remelange complet,
2,0.4044418885151125,0.3536767213081382,196493.0,remelange complet,
3,0.4049001759506931,0.35407788615074803,196646.0,remelange complet,
4,0.40486822653820664,0.3539735943314472,196170.0,remelange complet,
5,0.40549348944365265,0.35452776117573137,195759.0,remelange complet,
6,0.4050805888261719,0.3545653404310648,196119.0,remelange complet,
7,0.40542745545957964,0.35444180425670785,196114.0,remelange complet,
8,0.40505761648106453,0.35427767985409936,196298.0,remelange complet,
9,0.40556285455304675,0.3547109087761109,196374.0,remelange complet,
10,0.4046615688738373,0.35361723646505355,195771.0,remelange complet,
11,0.40543804491278845,0.3545429993834301,196247.0,remelange complet,
12,0.40554292298436845,0.35462573033822437,196142.0,remelange complet,
13,0.4045738151628594,0.35398680826138995,196335.0,remelange complet,
14,0.40572938140394277,0.3548745043545538,196461.0,remelange complet,
15,0.40523315349462774,0.3543179120369663,196287.0,remelange complet,
16,0.4049294340467996,0.3542451581369774,196412.0,remelange complet,
17,0.40510384670151955,0.3543857686283285,196636.0,remelange complet,
18,0.40481539786129495,0.35422111499997455,196287.0,remelange complet,
19,0.4042725673643154,0.3534198383766283,196135.0,remelange complet,
20,0.405414774146518,0.3548252254456662,196167.0,remelange complet,
21,0.4050367955998065,0.3544040131394668,196355.0,remelange complet,
22,0.40491628072675456,0.3541452491220927,196490.0,remelange complet,
23,0.40555045403530254,0.3544842363024181,196020.0,remelange complet,
24,0.4048494727726555,0.35404207630788037,196310.0,remelange complet,
25,0.40446814585202706,0.3535106860265927,196144.0,remelange complet,
26,0.4048403046088916,0.35385807346089937,196186.0,remelange complet,
27,0.405161165365247,0.35411017553874696,196196.0,remelange complet,
28,0.40455520948560186,0.3536047631912974,196171.0,remelange complet,
29,0.4045525670626972,0.3537566833335882,196197.0,remelange complet,
30,0.4049182497505752,0.3541883004499827,196452.0,remelange complet,
31,0.40488442998864915,0.35407536355816166,196461.0,remelange complet,
32,0.40514785692810223,0.35421964257504956,196237.0,remelange complet,
33,0.40437592629375546,0.3536697785043825,196347.0,remelange complet,
34,0.40519851908591853,0.35423464828290563,195825.0,remelange complet,
35,0.40485976358182196,0.3542758483704869,196347.0,remelange complet,
36,0.40459724490990234,0.3539736093512256,196509.0,remelange complet,
37,0.40505322403034383,0.3540417635303234,196152.0,remelange complet,
38,0.4050134279147748,0.35429311074080305,196233.0,remelange complet,
39,0.40528596231295216,0.354468017942334,196407.0,remelange complet,
40,0.4047737849149211,0.35415924157103146,196406.0,remelange complet,
41,0.4055929427491237,0.35461257060057044,195997.0,remelange complet,
42,0.40471587729561986,0.35407742788828406,196570.0,remelange complet,
43,0.4054504495321196,0.3547736029846486,196204.0,remelange complet,
44,0.40451081831850966,0.35388771375417316,196195.0,remelange complet,
45,0.4061502268526298,0.3554584663641965,196383.0,remelange complet,
46,0.40426875216390706,0.3540966579092076,196404.0,remelange complet,
47,0.405011213441891,0.35449224212897745,196639.0,remelange complet,
48,0.40465627976387536,0.35404432175290446,196337.0,remelange complet,
49,0.4047569297570572,0.3543132928003914,196219.0,remelange complet,
0,0.4166472098996031,0.31279810546679565,,"remelange des destinations, derive et taux conserves",0.3173961258426253
1,0.42485309974172303,0.31096047275553956,,"remelange des destinations, derive et taux conserves",0.31664183232452087
2,0.42114906754348536,0.31193159475582105,,"remelange des destinations, derive et taux conserves",0.31633482162943277
3,0.4169764248878173,0.30666901078293485,,"remelange des destinations, derive et taux conserves",0.3161363233351948
4,0.41641520316300684,0.3082259911562863,,"remelange des destinations, derive et taux conserves",0.31662595246098185
5,0.41865328314512756,0.30979506482643243,,"remelange des destinations, derive et taux conserves",0.31640628101535845
6,0.4291715636018104,0.3075942086969568,,"remelange des destinations, derive et taux conserves",0.31752581139486075
7,0.42779718375928766,0.30926712403354023,,"remelange des destinations, derive et taux conserves",0.31595370490449587
8,0.42314944600186893,0.3101388332665866,,"remelange des destinations, derive et taux conserves",0.31721615405584946
9,0.4214175912311188,0.3068272958160674,,"remelange des destinations, derive et taux conserves",0.3167926910281418
10,0.41388271470829086,0.30440195865434433,,"remelange des destinations, derive et taux conserves",0.31673446486183193
11,0.42296110309390145,0.30959868536298496,,"remelange des destinations, derive et taux conserves",0.3172823201539288
12,0.4185543597151135,0.30902502358746564,,"remelange des destinations, derive et taux conserves",0.31698060274668705
13,0.4147292322333436,0.30444364674552754,,"remelange des destinations, derive et taux conserves",0.3170388289129969
14,0.4225746501879276,0.3093513788304318,,"remelange des destinations, derive et taux conserves",0.3175787442733242
15,0.42578418756997943,0.31072544661508383,,"remelange des destinations, derive et taux conserves",0.3167450514375246
16,0.4232029292734631,0.31158722045799225,,"remelange des destinations, derive et taux conserves",0.3158690122989543
17,0.4118897921253778,0.3098529054727201,,"remelange des destinations, derive et taux conserves",0.3161336766912716
18,0.43059794091015796,0.31085046446896275,,"remelange des destinations, derive et taux conserves",0.315681100580409
19,0.4264604267434794,0.30945146063487045,,"remelange des destinations, derive et taux conserves",0.317912221407644
20,0.4169882235028815,0.31006431136724294,,"remelange des destinations, derive et taux conserves",0.31688267692152966
21,0.4161436250125196,0.3054451974760458,,"remelange des destinations, derive et taux conserves",0.3170997017232299
22,0.41994561203249847,0.3062512589807292,,"remelange des destinations, derive et taux conserves",0.3153317435825502
23,0.4157738640718463,0.3066214572537781,,"remelange des destinations, derive et taux conserves",0.3176872566741743
24,0.41962521351776805,0.3052048095923904,,"remelange des destinations, derive et taux conserves",0.31608339045673134
25,0.4137994526417984,0.30834512022630833,,"remelange des destinations, derive et taux conserves",0.3162289558725059
26,0.41850697511625196,0.30603843397389957,,"remelange des destinations, derive et taux conserves",0.3175919774929401
27,0.42318777438922217,0.31390127014980396,,"remelange des destinations, derive et taux conserves",0.3158928320942629
28,0.42214292876959586,0.31527225323394725,,"remelange des destinations, derive et taux conserves",0.3167185849982929
29,0.41855924708395215,0.3165017437882757,,"remelange des destinations, derive et taux conserves",0.31721086076800314
30,0.41066069204210104,0.31462919150288005,,"remelange des destinations, derive et taux conserves",0.3165836061582111
31,0.4240123740646294,0.30812257012666694,,"remelange des destinations, derive et taux conserves",0.316551846431133
32,0.42375091967092504,0.3127466390208013,,"remelange des destinations, derive et taux conserves",0.3165597863629025
33,0.41756575640810856,0.31037024627240745,,"remelange des destinations, derive et taux conserves",0.315956351548419
34,0.4181935095953101,0.3140397174018339,,"remelange des destinations, derive et taux conserves",0.31692502322430044
35,0.4209769273869158,0.304643791970162,,"remelange des destinations, derive et taux conserves",0.3164830336891305
36,0.4253771889497221,0.3120324319806077,,"remelange des destinations, derive et taux conserves",0.31663124574882817
37,0.4261904365072751,0.3076884614743579,,"remelange des destinations, derive et taux conserves",0.3175919774929401
38,0.420344943067649,0.31036503683858,,"remelange des destinations, derive et taux conserves",0.3161151501838094
39,0.4178882692757204,0.3072761879320132,,"remelange des destinations, derive et taux conserves",0.3170361822690737
40,0.42240054778048697,0.3116169544740973,,"remelange des destinations, derive et taux conserves",0.31695148966353215
41,0.4166122797329183,0.30626537476780963,,"remelange des destinations, derive et taux conserves",0.31631100183412425
42,0.4206200721635708,0.3068121074435387,,"remelange des destinations, derive et taux conserves",0.3168773836336833
43,0.4180361424644716,0.31122120758941624,,"remelange des destinations, derive et taux conserves",0.3167847510963722
44,0.41710285047507917,0.31144357392898814,,"remelange des destinations, derive et taux conserves",0.31754433790232295
45,0.4205488407959365,0.3114009354097866,,"remelange des destinations, derive et taux conserves",0.31576049989810423
46,0.4166192420996251,0.30543652919121583,,"remelange des destinations, derive et taux conserves",0.31624218909212176
47,0.4126543545326099,0.30897659914221937,,"remelange des destinations, derive et taux conserves",0.31656772629467206
48,0.4231010724242145,0.3055529975135832,,"remelange des destinations, derive et taux conserves",0.316138969979118
49,0.4208851268037458,0.3122104842203486,,"remelange des destinations, derive et taux conserves",0.3176713768106353
