item,position_initiale,n_porteurs,n_autres,taux_changement_porteurs,taux_changement_autres,taux_monotone_porteurs,taux_monotone_autres
natspac/y,modalite majoritaire,1976,2279,0.3815789473684211,0.4076349275998245,0.14625506072874495,0.1737604212373848
natenvir/y,"modalite rare, moins de 10 pour cent",175,2036,0.5142857142857142,0.3236738703339882,0.13714285714285715,0.15864440078585462
natenvir/y,modalite majoritaire,1470,741,0.2598639455782313,0.49527665317139,0.18095238095238095,0.10931174089068826
natheal/y,modalite majoritaire,3127,1384,0.2737448033258714,0.6148843930635838,0.22353693636072913,0.15390173410404626
natcity/y,modalite majoritaire,1592,2330,0.4798994974874372,0.4467811158798283,0.16331658291457288,0.2034334763948498
natdrug/y,modalite majoritaire,2500,1825,0.31,0.5249315068493151,0.2616,0.060821917808219175
nateduc/y,"modalite rare, moins de 10 pour cent",280,4323,0.5785714285714286,0.24011103400416378,0.07142857142857142,0.08720795743696506
nateduc/y,modalite majoritaire,3462,1141,0.1536683997689197,0.5854513584574934,0.08636626227614096,0.08588957055214724
natrace/y,modalite majoritaire,1749,2117,0.35620354488279016,0.379782711384034,0.14922813036020582,0.18564005668398678
natarms/y,modalite majoritaire,1672,2788,0.42404306220095694,0.4533715925394548,0.26016746411483255,0.15100430416068866
nataid/y,"modalite rare, moins de 10 pour cent",391,4025,0.6879795396419437,0.2891925465838509,0.2813299232736573,0.15304347826086956
nataid/y,modalite majoritaire,2901,1515,0.20337814546708033,0.5564356435643565,0.10548086866597725,0.27722772277227725
natfare/y,modalite majoritaire,2120,2348,0.30613207547169813,0.4297274275979557,0.2679245283018868,0.015332197614991482
natroad,"modalite rare, moins de 10 pour cent",440,4076,0.6818181818181818,0.3577036310107949,0.20681818181818182,0.14597644749754662
natroad,modalite majoritaire,2066,2450,0.29283639883833495,0.47061224489795916,0.020813165537270088,0.2624489795918367
natsoc,"modalite rare, moins de 10 pour cent",238,4145,0.6932773109243697,0.3006031363088058,0.20588235294117646,0.16887816646562123
natsoc,modalite majoritaire,2752,1631,0.2601744186046512,0.42611894543225015,0.21329941860465115,0.09932556713672594
