variable,cible,n,rho_spearman,ic_bas,ic_haut,p_bootstrap,rho_sous_permutation_intra_segment,chute,p_permutation,p_holm,p_bh
cross pression |z_eco - z_soc|,changement brut,4683,-0.08816003529937941,-0.11585824436592813,-0.0616026690048123,0.0,-0.0020310805165278793,-0.08612895478285153,0.004975124378109453,0.04975124378109452,0.005527915975677169
cross pression |z_eco - z_soc|,changement monotone,4683,-0.05529688858457818,-0.08297700242122166,-0.027617717670111203,0.0,-0.007326169572490198,-0.04797071901208798,0.009950248756218905,0.04975124378109452,0.01243781094527363
distance au patron modal du segment,changement brut,4683,0.3663911440517054,0.33765218645935835,0.39169720867137586,0.0,0.08296442298127119,0.2834267210704342,0.004975124378109453,0.04975124378109452,0.005527915975677169
distance au patron modal du segment,changement monotone,4683,0.20810273242838764,0.18332217954136215,0.23659694628181233,0.0,0.03959942252915514,0.1685033098992325,0.004975124378109453,0.04975124378109452,0.00710732054015636
part de modalites rares tenues,changement brut,4683,0.33755977428031286,0.3127731810123485,0.3616151812828261,0.0,0.06747794588751292,0.2700818283927999,0.004975124378109453,0.04975124378109452,0.005527915975677169
part de modalites rares tenues,changement monotone,4683,0.15397267944722642,0.12659596602981438,0.18260635036664244,0.0,0.031586654042744564,0.12238602540448186,0.004975124378109453,0.04975124378109452,0.00710732054015636
part de modalites majoritaires tenues,changement brut,4683,-0.2647954033885899,-0.28930515568328674,-0.2351057468080502,0.0,-0.025750403602402706,-0.2390449997861872,0.004975124378109453,0.04975124378109452,0.005527915975677169
part de modalites majoritaires tenues,changement monotone,4683,-0.14303446321644397,-0.1693189889605311,-0.11243506891989653,0.0,-0.010431060689154089,-0.1326034025272899,0.004975124378109453,0.04975124378109452,0.00710732054015636
score economique z,changement brut,4683,0.0055102538873866,-0.022787008791445858,0.03212818767718251,0.725,0.003308595433081699,0.0022016584543049006,0.6517412935323383,0.6517412935323383,0.6517412935323383
score economique z,changement monotone,4683,-0.07217151976215487,-0.0993742068872619,-0.04587754167349596,0.0,-0.010376400015338438,-0.06179511974681643,0.004975124378109453,0.04975124378109452,0.00710732054015636
score social z,changement brut,4683,0.16925373609455,0.14406412315405642,0.19738953224974112,0.0,0.06995403797494205,0.09929969811960794,0.004975124378109453,0.04975124378109452,0.005527915975677169
score social z,changement monotone,4683,0.11185805928282255,0.08410380868947917,0.13993673752965125,0.0,0.020913903861771853,0.09094415542105069,0.004975124378109453,0.04975124378109452,0.00710732054015636
|position ideologique - centre|,changement brut,4546,-0.08182910189424188,-0.11011993298313609,-0.051679422133864346,0.0,-0.06308722988214656,-0.018741872012095318,0.004975124378109453,0.04975124378109452,0.005527915975677169
|position ideologique - centre|,changement monotone,4546,-0.054281101106416374,-0.08239213904709954,-0.025630450041697277,0.0,-0.04060200594320589,-0.013679095163210482,0.024875621890547265,0.04975124378109452,0.024875621890547265
age,changement brut,4668,-0.19382268858762014,-0.22323406814905344,-0.16801670706097072,0.0,-0.17789274601770702,-0.01592994256991312,0.004975124378109453,0.04975124378109452,0.005527915975677169
age,changement monotone,4668,-0.1481762335842546,-0.17907277587571999,-0.11941383605345188,0.0,-0.13540762473720133,-0.012768608847053275,0.014925373134328358,0.04975124378109452,0.016583747927031506
annees d'etudes,changement brut,4678,-0.3024077735993487,-0.329722085146216,-0.2780022153122258,0.0,-0.22155110826452654,-0.08085666533482214,0.004975124378109453,0.04975124378109452,0.005527915975677169
annees d'etudes,changement monotone,4678,-0.15552626333095643,-0.18162106077751278,-0.1259166280513842,0.0,-0.10942442522728225,-0.04610183810367417,0.004975124378109453,0.04975124378109452,0.00710732054015636
part de cellules manquantes,changement brut,4683,0.17463728540157245,0.1484240916168367,0.2033633364230602,0.0,0.029756849651740476,0.14488043574983198,0.004975124378109453,0.04975124378109452,0.005527915975677169
part de cellules manquantes,changement monotone,4683,0.046748223112109744,0.01725889966950636,0.0756429968655081,0.0,0.013210046606279668,0.033538176505830075,0.004975124378109453,0.04975124378109452,0.00710732054015636
