statistique,source_evaluee,calibration,source_calibration,taux_vrai,taux_estime_median,erreur_absolue_mediane,erreur_quadratique_moyenne,n_tirages
A,B0 segment,propre,B0 segment,0.05,0.045625,0.009175000000000003,0.013065885924804335,20
A,B0 segment,propre,B0 segment,0.1,0.095375,0.009849999999999998,0.016536716723703045,20
A,B0 segment,propre,B0 segment,0.25,0.257475,0.015399999999999983,0.026292926805511783,20
A,B0 segment,propre,B0 segment,0.5,0.500125,0.01579999999999998,0.02503335524854787,20
A,B0 segment,croisee,C2,0.05,0.0,0.05,0.05000000000000001,20
A,B0 segment,croisee,C2,0.1,0.0,0.1,0.10000000000000002,20
A,B0 segment,croisee,C2,0.25,0.0,0.25,0.25,20
A,B0 segment,croisee,C2,0.5,0.0,0.5,0.5,20
A,B0 segment,croisee,C3,0.05,0.0,0.05,0.05000000000000001,20
A,B0 segment,croisee,C3,0.1,0.0,0.1,0.10000000000000002,20
A,B0 segment,croisee,C3,0.25,0.0,0.25,0.25,20
A,B0 segment,croisee,C3,0.5,0.0,0.5,0.5,20
A,B0 segment,croisee,E2 regression contexte tirage,0.05,0.16960000000000003,0.11960000000000001,0.12527150364308717,20
A,B0 segment,croisee,E2 regression contexte tirage,0.1,0.33945000000000003,0.23945,0.2534978801686515,20
A,B0 segment,croisee,E2 regression contexte tirage,0.25,0.807,0.557,0.5501699461302845,20
A,B0 segment,croisee,E2 regression contexte tirage,0.5,1.0,0.5,0.5,20
A,B0 segment,croisee,IM m=10 mode des m,0.05,0.0,0.05,0.05000000000000001,20
A,B0 segment,croisee,IM m=10 mode des m,0.1,0.0,0.1,0.10000000000000002,20
A,B0 segment,croisee,IM m=10 mode des m,0.25,0.0,0.25,0.25,20
A,B0 segment,croisee,IM m=10 mode des m,0.5,0.0,0.5,0.5,20
A,B0 segment,croisee,PMM k=10,0.05,0.0,0.05,0.05000000000000001,20
A,B0 segment,croisee,PMM k=10,0.1,0.0,0.1,0.10000000000000002,20
A,B0 segment,croisee,PMM k=10,0.25,0.0,0.25,0.25,20
A,B0 segment,croisee,PMM k=10,0.5,0.0,0.5,0.5,20
A,B0 segment,croisee,agents composite,0.05,0.0,0.05,0.05000000000000001,20
A,B0 segment,croisee,agents composite,0.1,0.0,0.1,0.10000000000000002,20
A,B0 segment,croisee,agents composite,0.25,0.0,0.25,0.25,20
A,B0 segment,croisee,agents composite,0.5,0.0,0.5,0.5,20
A,B0 segment,croisee,agents demographiques (v6),0.05,0.0,0.05,0.05000000000000001,20
A,B0 segment,croisee,agents demographiques (v6),0.1,0.0,0.1,0.10000000000000002,20
A,B0 segment,croisee,agents demographiques (v6),0.25,0.0,0.25,0.25,20
A,B0 segment,croisee,agents demographiques (v6),0.5,0.0,0.5,0.5,20
A,B0 segment,croisee,agents v8,0.05,0.0,0.05,0.05000000000000001,20
A,B0 segment,croisee,agents v8,0.1,0.0,0.1,0.10000000000000002,20
A,B0 segment,croisee,agents v8,0.25,0.0,0.25,0.25,20
A,B0 segment,croisee,agents v8,0.5,0.0,0.5,0.5,20
A,B0 segment,croisee,humains vague 2,0.05,0.0,0.05,0.05000000000000001,20
A,B0 segment,croisee,humains vague 2,0.1,0.0,0.1,0.10000000000000002,20
A,B0 segment,croisee,humains vague 2,0.25,0.0,0.25,0.25,20
A,B0 segment,croisee,humains vague 2,0.5,0.0,0.5,0.5,20
A,B0 segment,agnostique,moyenne des sources a modele de langage,0.05,0.0,0.05,0.05000000000000001,20
A,B0 segment,agnostique,moyenne des sources a modele de langage,0.1,0.0,0.1,0.10000000000000002,20
A,B0 segment,agnostique,moyenne des sources a modele de langage,0.25,0.0,0.25,0.25,20
A,B0 segment,agnostique,moyenne des sources a modele de langage,0.5,0.0,0.5,0.5,20
A,C2,propre,C2,0.05,0.049100000000000005,0.0023,0.003174271569982632,20
A,C2,propre,C2,0.1,0.100525,0.0022000000000000006,0.0030592278437540396,20
A,C2,croisee,B0 segment,0.05,0.0,0.05,0.05000000000000001,20
A,C2,croisee,B0 segment,0.1,0.0,0.1,0.10000000000000002,20
A,C2,croisee,C3,0.05,0.07980000000000001,0.0298,0.03113056576742543,20
A,C2,croisee,C3,0.1,0.14,0.04000000000000001,0.039534870683992376,20
A,C2,croisee,E2 regression contexte tirage,0.05,0.0,0.05,0.05000000000000001,20
A,C2,croisee,E2 regression contexte tirage,0.1,0.0,0.1,0.10000000000000002,20
A,C2,croisee,IM m=10 mode des m,0.05,0.18862500000000001,0.13862500000000003,0.14386678647276446,20
A,C2,croisee,IM m=10 mode des m,0.1,0.50885,0.40885000000000005,0.40562102047354504,20
A,C2,croisee,PMM k=10,0.05,0.46767500000000006,0.417675,0.43575561513880695,20
A,C2,croisee,PMM k=10,0.1,1.0,0.9,0.9000000000000001,20
A,C2,croisee,agents composite,0.05,0.16657500000000003,0.11657500000000001,0.12025542503355098,20
A,C2,croisee,agents composite,0.1,0.358375,0.258375,0.256571453741448,20
A,C2,croisee,agents demographiques (v6),0.05,0.0902,0.0402,0.042655531587356875,20
A,C2,croisee,agents demographiques (v6),0.1,0.21535,0.11535000000000001,0.11420692295128174,20
A,C2,croisee,agents v8,0.05,0.044075,0.005925,0.006025560139937199,20
A,C2,croisee,agents v8,0.1,0.1068,0.0068000000000000005,0.007404508761558731,20
A,C2,croisee,humains vague 2,0.05,1.0,0.95,0.9500000000000001,20
A,C2,croisee,humains vague 2,0.1,1.0,0.9,0.9000000000000001,20
A,C2,agnostique,moyenne des sources a modele de langage,0.05,0.068675,0.018674999999999997,0.020452725979683003,20
A,C2,agnostique,moyenne des sources a modele de langage,0.1,0.14335,0.04335,0.0428006133133627,20
A,C3,propre,C3,0.05,0.049775,0.003474999999999999,0.005079234686446375,20
A,C3,propre,C3,0.1,0.10025,0.002674999999999997,0.00351224643212859,20
A,C3,croisee,B0 segment,0.05,0.0,0.05,0.05000000000000001,20
A,C3,croisee,B0 segment,0.1,0.0,0.1,0.10000000000000002,20
A,C3,croisee,C2,0.05,0.02695,0.02305,0.023191892441109675,20
A,C3,croisee,C2,0.1,0.06575,0.03425,0.03460031791761458,20
A,C3,croisee,E2 regression contexte tirage,0.05,0.0,0.05,0.05000000000000001,20
A,C3,croisee,E2 regression contexte tirage,0.1,0.0,0.1,0.10000000000000002,20
A,C3,croisee,IM m=10 mode des m,0.05,0.0926,0.0426,0.04524307405559441,20
A,C3,croisee,IM m=10 mode des m,0.1,0.27515,0.17515,0.17479202427456467,20
A,C3,croisee,PMM k=10,0.05,0.2083,0.1583,0.16340566506397508,20
A,C3,croisee,PMM k=10,0.1,0.8077500000000001,0.7077500000000001,0.7175698240415355,20
A,C3,croisee,agents composite,0.05,0.08877499999999999,0.038775,0.040893871790281734,20
A,C3,croisee,agents composite,0.1,0.22725,0.12725,0.12684374836782458,20
A,C3,croisee,agents demographiques (v6),0.05,0.04585,0.005299999999999999,0.007462866406415165,20
A,C3,croisee,agents demographiques (v6),0.1,0.1274,0.027400000000000008,0.027731437485280133,20
A,C3,croisee,agents v8,0.05,0.022275000000000003,0.027725,0.027753231793792955,20
A,C3,croisee,agents v8,0.1,0.062525,0.03747500000000001,0.03788817757559738,20
A,C3,croisee,humains vague 2,0.05,0.7006000000000001,0.6506000000000001,0.7105147513422926,20
A,C3,croisee,humains vague 2,0.1,1.0,0.9,0.9000000000000001,20
A,C3,agnostique,moyenne des sources a modele de langage,0.05,0.037250000000000005,0.012750000000000001,0.013470597611093578,20
A,C3,agnostique,moyenne des sources a modele de langage,0.1,0.09267500000000001,0.007324999999999998,0.008767846086696552,20
A,E2 regression contexte tirage,propre,E2 regression contexte tirage,0.05,0.028525000000000002,0.031950000000000006,0.04055982310119215,20
A,E2 regression contexte tirage,propre,E2 regression contexte tirage,0.1,0.09065000000000001,0.045575000000000004,0.04864069412539258,20
A,E2 regression contexte tirage,propre,E2 regression contexte tirage,0.25,0.262775,0.02687500000000001,0.05494167020577369,20
A,E2 regression contexte tirage,propre,E2 regression contexte tirage,0.5,0.48705,0.04849999999999996,0.06631562881402844,20
A,E2 regression contexte tirage,croisee,B0 segment,0.05,0.0074,0.0426,0.042180790948013296,20
A,E2 regression contexte tirage,croisee,B0 segment,0.1,0.0239,0.0761,0.07683483910310479,20
A,E2 regression contexte tirage,croisee,B0 segment,0.25,0.072375,0.17762499999999998,0.17840192824070036,20
A,E2 regression contexte tirage,croisee,B0 segment,0.5,0.14227499999999998,0.357725,0.3547402606133112,20
A,E2 regression contexte tirage,croisee,C2,0.05,0.0,0.05,0.04957859921377369,20
A,E2 regression contexte tirage,croisee,C2,0.1,0.0,0.1,0.0998545698753943,20
A,E2 regression contexte tirage,croisee,C2,0.25,0.0,0.25,0.25,20
A,E2 regression contexte tirage,croisee,C2,0.5,0.0,0.5,0.5,20
A,E2 regression contexte tirage,croisee,C3,0.05,0.0,0.05,0.048966410681200646,20
A,E2 regression contexte tirage,croisee,C3,0.1,0.0,0.1,0.09964537683706155,20
A,E2 regression contexte tirage,croisee,C3,0.25,0.0,0.25,0.25,20
A,E2 regression contexte tirage,croisee,C3,0.5,0.0,0.5,0.5,20
A,E2 regression contexte tirage,croisee,IM m=10 mode des m,0.05,0.0,0.05,0.0487832540427553,20
A,E2 regression contexte tirage,croisee,IM m=10 mode des m,0.1,0.0,0.1,0.09957160802658559,20
A,E2 regression contexte tirage,croisee,IM m=10 mode des m,0.25,0.0,0.25,0.25,20
A,E2 regression contexte tirage,croisee,IM m=10 mode des m,0.5,0.0,0.5,0.5,20
A,E2 regression contexte tirage,croisee,PMM k=10,0.05,0.0,0.05,0.04761826724062942,20
A,E2 regression contexte tirage,croisee,PMM k=10,0.1,0.0,0.1,0.09913652202896772,20
A,E2 regression contexte tirage,croisee,PMM k=10,0.25,0.0,0.25,0.25,20
A,E2 regression contexte tirage,croisee,PMM k=10,0.5,0.0,0.5,0.5,20
A,E2 regression contexte tirage,croisee,agents composite,0.05,0.0,0.05,0.04873039221061124,20
A,E2 regression contexte tirage,croisee,agents composite,0.1,0.0,0.1,0.09955563519962093,20
A,E2 regression contexte tirage,croisee,agents composite,0.25,0.0,0.25,0.25,20
A,E2 regression contexte tirage,croisee,agents composite,0.5,0.0,0.5,0.5,20
A,E2 regression contexte tirage,croisee,agents demographiques (v6),0.05,0.0,0.05,0.04935578993390746,20
A,E2 regression contexte tirage,croisee,agents demographiques (v6),0.1,0.0,0.1,0.09977742793337581,20
A,E2 regression contexte tirage,croisee,agents demographiques (v6),0.25,0.0,0.25,0.25,20
A,E2 regression contexte tirage,croisee,agents demographiques (v6),0.5,0.0,0.5,0.5,20
A,E2 regression contexte tirage,croisee,agents v8,0.05,0.0,0.05,0.049682382440861275,20
A,E2 regression contexte tirage,croisee,agents v8,0.1,0.0,0.1,0.09989115075921391,20
A,E2 regression contexte tirage,croisee,agents v8,0.25,0.0,0.25,0.25,20
A,E2 regression contexte tirage,croisee,agents v8,0.5,0.0,0.5,0.5,20
A,E2 regression contexte tirage,croisee,humains vague 2,0.05,0.0,0.05,0.04559746292284255,20
A,E2 regression contexte tirage,croisee,humains vague 2,0.1,0.0,0.1,0.09813672159288796,20
A,E2 regression contexte tirage,croisee,humains vague 2,0.25,0.0,0.25,0.25,20
A,E2 regression contexte tirage,croisee,humains vague 2,0.5,0.0,0.5,0.5,20
A,E2 regression contexte tirage,agnostique,moyenne des sources a modele de langage,0.05,0.0,0.05,0.04943345400637104,20
A,E2 regression contexte tirage,agnostique,moyenne des sources a modele de langage,0.1,0.0,0.1,0.09980380754259831,20
A,E2 regression contexte tirage,agnostique,moyenne des sources a modele de langage,0.25,0.0,0.25,0.25,20
A,E2 regression contexte tirage,agnostique,moyenne des sources a modele de langage,0.5,0.0,0.5,0.5,20
A,IM m=10 mode des m,propre,IM m=10 mode des m,0.05,0.048924999999999996,0.00885,0.016459670409822914,20
A,IM m=10 mode des m,propre,IM m=10 mode des m,0.1,0.09915000000000002,0.012225,0.0210627692861124,20
A,IM m=10 mode des m,propre,IM m=10 mode des m,0.25,0.25070000000000003,0.01772499999999999,0.03658827339462741,20
A,IM m=10 mode des m,propre,IM m=10 mode des m,0.5,0.510275,0.038575000000000026,0.05254192968477653,20
A,IM m=10 mode des m,croisee,B0 segment,0.05,0.0,0.05,0.05000000000000001,20
A,IM m=10 mode des m,croisee,B0 segment,0.1,0.0,0.1,0.10000000000000002,20
A,IM m=10 mode des m,croisee,B0 segment,0.25,0.0,0.25,0.25,20
A,IM m=10 mode des m,croisee,B0 segment,0.5,0.0,0.5,0.5,20
A,IM m=10 mode des m,croisee,C2,0.05,0.015125,0.034875,0.03540552393342034,20
A,IM m=10 mode des m,croisee,C2,0.1,0.028625,0.071375,0.07050009397156858,20
A,IM m=10 mode des m,croisee,C2,0.25,0.061325000000000005,0.188675,0.1894449877273083,20
A,IM m=10 mode des m,croisee,C2,0.5,0.10070000000000001,0.3993,0.4006871245123806,20
A,IM m=10 mode des m,croisee,C3,0.05,0.03115,0.018850000000000002,0.021363479351453968,20
A,IM m=10 mode des m,croisee,C3,0.1,0.052225,0.047775000000000005,0.04699201660920715,20
A,IM m=10 mode des m,croisee,C3,0.25,0.09492500000000001,0.155075,0.15616897179017347,20
A,IM m=10 mode des m,croisee,C3,0.5,0.140175,0.359825,0.3614033871590027,20
A,IM m=10 mode des m,croisee,E2 regression contexte tirage,0.05,0.0,0.05,0.05000000000000001,20
A,IM m=10 mode des m,croisee,E2 regression contexte tirage,0.1,0.0,0.1,0.10000000000000002,20
A,IM m=10 mode des m,croisee,E2 regression contexte tirage,0.25,0.0,0.25,0.25,20
