source,famille,statistique,taille,taux,taux_realise_moyen,valeur_moyenne,ecart_a_la_reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm3,tau_etoile_holm27,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2
B0 segment,tirage dans le segment,A,300,0.05,0.0472222222222222,-0.03443340934710252,0.002614206670164612,0.0050623540495576625,0.5164013904545132,0.60557409485013,0.0,12,0.29195,0.36300000000000004,0.2503,0.06002456565019805,-0.01340980873993427,0.9998564645133965
B0 segment,tirage dans le segment,A,300,0.1,0.09777777777777774,-0.031109202420063337,0.005938413597203793,0.0050623540495576625,1.1730537886267909,0.2407742363150904,0.0,12,0.29195,0.36300000000000004,0.2503,0.06002456565019805,-0.01340980873993427,0.9998564645133965
B0 segment,tirage dans le segment,A,300,0.25,0.24416666666666667,-0.022797163974918478,0.014250452042348653,0.0050623540495576625,2.8149852623590848,0.004877947082804536,0.5,12,0.29195,0.36300000000000004,0.2503,0.06002456565019805,-0.01340980873993427,0.9998564645133965
B0 segment,tirage dans le segment,A,300,0.5,0.5127777777777778,-0.010407658530041308,0.02663995748722582,0.0050623540495576625,5.262365537146412,1.4221366584388424e-07,1.0,12,0.29195,0.36300000000000004,0.2503,0.06002456565019805,-0.01340980873993427,0.9998564645133965
B0 segment,tirage dans le segment,B,300,0.05,0.0472222222222222,0.03118506279090256,-0.002563937656159084,0.0020730142359473513,-1.2368162319866485,0.2161553145119933,0.08333333333333333,12,0.14785,0.1809,0.12795,-0.045550295273015004,0.0012368751006375624,0.9993884610266518
B0 segment,tirage dans le segment,B,300,0.1,0.09777777777777774,0.028787738353959768,-0.004961262093101878,0.0020730142359473513,-2.3932600206359025,0.016699401674666593,0.5833333333333334,12,0.14785,0.1809,0.12795,-0.045550295273015004,0.0012368751006375624,0.9993884610266518
B0 segment,tirage dans le segment,B,300,0.25,0.24416666666666667,0.022810861594247642,-0.010938138852814003,0.0020730142359473513,-5.276441745136092,1.3171635827228855e-07,1.0,12,0.14785,0.1809,0.12795,-0.045550295273015004,0.0012368751006375624,0.9993884610266518
B0 segment,tirage dans le segment,B,300,0.5,0.5127777777777778,0.011209678221275934,-0.02253932222578571,0.0020730142359473513,-10.872729108628343,1.554792436099829e-27,1.0,12,0.14785,0.1809,0.12795,-0.045550295273015004,0.0012368751006375624,0.9993884610266518
B0 segment,tirage dans le segment,C,300,0.05,0.0472222222222222,0.044638888888888846,-0.0005777777777778159,0.00169280352145932,-0.34131413980030556,0.7328671043288593,0.0,12,,,,-0.010421765033001927,0.008110846734493683,0.9943635518601655
B0 segment,tirage dans le segment,C,300,0.1,0.09777777777777774,0.04402777777777772,-0.0011888888888889407,0.00169280352145932,-0.7023194799736899,0.48247994756248286,0.0,12,,,,-0.010421765033001927,0.008110846734493683,0.9943635518601655
B0 segment,tirage dans le segment,C,300,0.25,0.24416666666666667,0.04329166666666662,-0.0019250000000000447,0.00169280352145932,-1.1371668215461617,0.25546855403662505,0.0,12,,,,-0.010421765033001927,0.008110846734493683,0.9943635518601655
B0 segment,tirage dans le segment,C,300,0.5,0.5127777777777778,0.04199999999999996,-0.003216666666666701,0.00169280352145932,-1.900200836003519,0.05740676862410613,0.25,12,,,,-0.010421765033001927,0.008110846734493683,0.9943635518601655
B0 segment,tirage dans le segment,A,500,0.05,0.04766666666666667,-0.0450958639119295,0.004616187612582659,0.004675325411364339,0.9873510839185796,0.32347055573013206,0.08333333333333333,12,0.19705,0.24450000000000002,0.1691,0.08159300625491286,-0.02439612587591637,0.999683422847569
B0 segment,tirage dans le segment,A,500,0.1,0.10233333333333335,-0.04159777491977645,0.00811427660473571,0.004675325411364339,1.7355533338946405,0.0826428433987408,0.25,12,0.19705,0.24450000000000002,0.1691,0.08159300625491286,-0.02439612587591637,0.999683422847569
B0 segment,tirage dans le segment,A,500,0.25,0.25216666666666665,-0.031180987601580668,0.01853106392293149,0.004675325411364339,3.963588048414327,7.383161475976357e-05,1.0,12,0.19705,0.24450000000000002,0.1691,0.08159300625491286,-0.02439612587591637,0.999683422847569
B0 segment,tirage dans le segment,A,500,0.5,0.5116666666666666,-0.014942905188312252,0.0347691463361999,0.004675325411364339,7.436732906694869,1.0320592518039028e-13,1.0,12,0.19705,0.24450000000000002,0.1691,0.08159300625491286,-0.02439612587591637,0.999683422847569
B0 segment,tirage dans le segment,B,500,0.05,0.04766666666666667,0.034477095024293754,-0.002763636798118134,0.001734040458621174,-1.5937556614542001,0.11099077191806839,0.16666666666666666,12,0.11315,0.1385,0.09785,-0.04996808847784497,0.003263627819072829,0.999556391405333
B0 segment,tirage dans le segment,B,500,0.1,0.10233333333333335,0.03189694846712267,-0.0053437833552892194,0.001734040458621174,-3.0816947371218433,0.002058257957670987,0.75,12,0.11315,0.1385,0.09785,-0.04996808847784497,0.003263627819072829,0.999556391405333
