taille,statistique,valeur,ic_bas,ic_haut,ecart_type_sous_echantillon,facteur_population_finie,variance_du_nul_interieur,s0_naif,s0,n_tirages,mode,loi_c,loi_p,loi_r2
300,A,-0.03704761601726713,-0.045421792288175854,-0.029221682043773057,0.004336502214563391,1.182766321051105,1.7043276110729501e-06,0.005129068770549112,0.0050623540495576625,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.010659188083807135,0.13121582767579862,0.984644865356268
300,B,0.033749000447061646,0.030516690522121928,0.0369349076770206,0.0017539316818369394,1.182766321051105,1.535640530952797e-08,0.002074491322701254,0.0020730142359473513,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.007546344196302337,0.2298157758772803,0.8915898958858782
300,C,0.04521666666666666,0.0425,0.04783333333333333,0.0014312239800292532,1.182766321051105,0.0,0.00169280352145932,0.00169280352145932,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.025773310870958622,0.47829894893321917,0.9978809316369974
300,polarisation,0.4511735763298975,0.40349879481213347,0.4989194999951862,0.024319312230661916,1.182766321051105,0.0,0.028764063457553137,0.028764063457553137,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.506407498753364,0.5065084824098843,0.9701477055042064
500,A,-0.049712051524512156,-0.05670928366283123,-0.04299547881648028,0.0034904041168062746,1.3805061033727,1.500896427520048e-06,0.004818524186488261,0.004675325411364339,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.010659188083807135,0.13121582767579862,0.984644865356268
500,B,0.03724073182241189,0.03496906669058999,0.039678348960101244,0.0012573286315687626,1.3805061033727,6.548076855278211e-09,0.0017357498498259216,0.001734040458621174,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.007546344196302337,0.2298157758772803,0.8915898958858782
500,C,0.03582433333333334,0.03400000000000001,0.03760000000000001,0.000944394422353356,1.3805061033727,0.0,0.0013037422640499435,0.0013037422640499435,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.025773310870958622,0.47829894893321917,0.9978809316369974
500,polarisation,0.4505124928414748,0.4226574396264689,0.4822829389974956,0.015031325403631356,1.3805061033727,0.0,0.0207508364614942,0.0207508364614942,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.506407498753364,0.5065084824098843,0.9701477055042064
750,A,-0.06038207690877984,-0.06566921576247511,-0.055467977501376005,0.002605096405964824,1.8663985931759786,1.3893500915459666e-06,0.004862148267180546,0.004493340965043854,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.010659188083807135,0.13121582767579862,0.984644865356268
750,B,0.040111112436874666,0.0382796352682208,0.04200032209975812,0.0009055795450061832,1.8663985931759786,3.514915381874698e-09,0.001690172388808483,0.0016875881041886862,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.007546344196302337,0.2298157758772803,0.8915898958858782
750,C,0.030492222222222226,0.029431666666666665,0.03166666666666666,0.0005859359575622787,1.8663985931759786,0.0,0.0010935900468854569,0.0010935900468854569,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.025773310870958622,0.47829894893321917,0.9978809316369974
750,polarisation,0.4499781195827245,0.43220377389708914,0.4707028770362088,0.009741662823963666,1.8663985931759786,0.0,0.018181825789840518,0.018181825789840518,300,"sous echantillonnage sans remise, pivote, correction de population finie sur la seule part d'echantillonnage",0.506407498753364,0.5065084824098843,0.9701477055042064
1052,A,-0.06844238663096402,,,,,,,0.004277478437351692,0,"population entiere, s0 par loi de puissance",0.010659188083807135,0.13121582767579862,0.984644865356268
1052,B,0.04218978089686372,,,,,,,0.001524859107359017,0,"population entiere, s0 par loi de puissance",0.007546344196302337,0.2298157758772803,0.8915898958858782
1052,C,0.02723384030418251,,,,,,,0.0009241516858999943,0,"population entiere, s0 par loi de puissance",0.025773310870958622,0.47829894893321917,0.9978809316369974
1052,polarisation,0.45045309673791467,,,,,,,0.014921879266871324,0,"population entiere, s0 par loi de puissance",0.506407498753364,0.5065084824098843,0.9701477055042064
