configuration,statistique,taille,taux,valeur_moyenne,reference_humaine,ecart_a_la_reference,s0,z,p_bilateral,puissance_empirique,n_tirages,tau_etoile_holm39,tau_etoile_holm3,tau_etoile_nominal,courbe_a,courbe_b,courbe_r2,p_holm
Demographics Only - GPT4.1-mini,A,1052,0.05,-0.035548085392584,-0.02779075930803467,-0.007757326084549331,0.0029442185715039555,-2.6347656928835828,0.008419538065575974,0.25,12,0.048600000000000004,0.03885,0.0337,-0.2424289717940467,-0.07762870233187927,0.9987388402094282,
Demographics Only - GPT4.1-mini,A,1052,0.1,-0.05112059761416619,-0.02779075930803467,-0.023329838306131518,0.0029442185715039555,-7.923949170055758,2.3008370808176676e-15,1.0,12,0.048600000000000004,0.03885,0.0337,-0.2424289717940467,-0.07762870233187927,0.9987388402094282,
Demographics Only - GPT4.1-mini,A,1052,0.25,-0.09597192746006143,-0.02779075930803467,-0.06818116815202677,0.0029442185715039555,-23.15764488816423,1.2175129141276345e-118,1.0,12,0.048600000000000004,0.03885,0.0337,-0.2424289717940467,-0.07762870233187927,0.9987388402094282,
Demographics Only - GPT4.1-mini,A,1052,0.5,-0.16784504373955822,-0.02779075930803467,-0.14005428443152354,0.0029442185715039555,-47.56925514534116,0.0,1.0,12,0.048600000000000004,0.03885,0.0337,-0.2424289717940467,-0.07762870233187927,0.9987388402094282,
Demographics Only - GPT4.1-mini,B,1052,0.05,0.029356500361717854,0.022669280812239557,0.006687219549478297,0.0013101984300480014,5.103974631715365,3.3259287821419393e-07,1.0,12,0.027700000000000002,0.02205,0.019100000000000002,0.19354187744743145,-0.04964685293830304,0.9980379487192272,
Demographics Only - GPT4.1-mini,B,1052,0.1,0.039372923129876745,0.022669280812239557,0.01670364231763719,0.0013101984300480014,12.748940873807353,3.1600933397396955e-37,1.0,12,0.027700000000000002,0.02205,0.019100000000000002,0.19354187744743145,-0.04964685293830304,0.9980379487192272,
Demographics Only - GPT4.1-mini,B,1052,0.25,0.07036210366859325,0.022669280812239557,0.04769282285635369,0.0013101984300480014,36.40122119105759,4.0717705184634115e-290,1.0,12,0.027700000000000002,0.02205,0.019100000000000002,0.19354187744743145,-0.04964685293830304,0.9980379487192272,
Demographics Only - GPT4.1-mini,B,1052,0.5,0.10654075649840895,0.022669280812239557,0.0838714756861694,0.0013101984300480014,64.01433077819871,0.0,1.0,12,0.027700000000000002,0.02205,0.019100000000000002,0.19354187744743145,-0.04964685293830304,0.9980379487192272,
Demographics Only - GPT4.1-mini,C,1052,0.05,0.012238593155893535,0.011455798479087452,0.0007827946768060833,0.0005300355271454298,1.476872090106711,0.1397099276508181,0.08333333333333333,12,0.045000000000000005,0.0364,0.03175,0.044110382862197386,0.08406915703409572,0.9982769638004292,
Demographics Only - GPT4.1-mini,C,1052,0.1,0.016234949302915084,0.011455798479087452,0.004779150823827632,0.0005300355271454298,9.016661297340434,1.9390881160966205e-19,1.0,12,0.045000000000000005,0.0364,0.03175,0.044110382862197386,0.08406915703409572,0.9982769638004292,
