taille,statistique,valeur,ic_bas,ic_haut,ecart_type_sous_echantillon,facteur_population_finie,variance_du_nul_interieur,s0_naif,s0,n_tirages,loi_c,loi_p,loi_r2
600,A,-0.01891467510050009,-0.023591369956757646,-0.014375369193445097,0.0023705456573316257,1.1880751801737364,3.0950844092163747e-07,0.0028163864589443397,0.0027936826873055393,200,0.007042364215174567,0.13695375747364819,0.34114281599081764
1000,A,-0.026956623346222282,-0.031166666328328017,-0.022441316182824415,0.002076314803241453,1.394696950638734,3.2297854457833934e-07,0.002895829924646917,0.002842632270631574,200,0.007042364215174567,0.13695375747364819,0.34114281599081764
1052,A,-0.02779075930803467,-0.03180806356668278,-0.023914566184790625,0.002097604154596654,1.4302886583215504,3.181079362898005e-07,0.003000179431967758,0.0029442185715039555,200,0.007042364215174567,0.13695375747364819,0.34114281599081764
1500,A,-0.03453408048932375,-0.037468428344017854,-0.03200736640848034,0.0013403802495110819,1.9204614140905703,3.063820603925552e-07,0.0025741485493951236,0.002408865514121891,200,0.007042364215174567,0.13695375747364819,0.34114281599081764
2058,A,-0.04095937129436311,,,,,,,0.0024770209992217196,0,0.007042364215174567,0.13695375747364819,0.34114281599081764
600,B,0.019748240089435792,0.01712936459323207,0.02244139991868746,0.0013251908429901358,1.1880751801737364,1.6843142282831103e-08,0.0015744263495500912,0.0015722235833000521,200,0.009634824461940281,0.2839827139601599,0.9857199344760331
1000,B,0.022592552351256748,0.02068729978099096,0.024498257074811944,0.0009820277490955435,1.394696950638734,9.984001195704936e-09,0.0013696311071061743,0.0013661817944383772,200,0.009634824461940281,0.2839827139601599,0.9857199344760331
1052,B,0.022669280812239557,0.020811261057432334,0.024312112723229962,0.0009188617303470165,1.4302886583215504,1.0136798808520346e-08,0.0013142375114810524,0.0013101984300480014,200,0.009634824461940281,0.2839827139601599,0.9857199344760331
1500,B,0.024523188640718768,0.023448182275697,0.025752583391643064,0.0006370926362724876,1.9204614140905703,6.737281790460257e-09,0.001223511825162551,0.0012160880781249342,200,0.009634824461940281,0.2839827139601599,0.9857199344760331
2058,B,0.02599133484088814,,,,,,,0.0011037801961247676,0,0.009634824461940281,0.2839827139601599,0.9857199344760331
600,C,0.015595,0.014583333333333328,0.016585416666666665,0.0005577383139077592,1.1880751801737364,0.0,0.0006626350477857569,0.0006626350477857569,200,0.013115067283075498,0.46735488539046993,0.956904541467852
1000,C,0.011832750000000001,0.011248750000000002,0.01265,0.0003551699112103187,1.394696950638734,0.0,0.0004953543921236614,0.0004953543921236614,200,0.013115067283075498,0.46735488539046993,0.956904541467852
1052,C,0.011455798479087452,0.010741444866920153,0.01221601711026616,0.0003705794100104441,1.4302886583215504,0.0,0.0005300355271454298,0.0005300355271454298,200,0.013115067283075498,0.46735488539046993,0.956904541467852
1500,C,0.009730999999999998,0.0093,0.010133333333333333,0.00022388154920337185,1.9204614140905703,0.0,0.0004299558765718951,0.0004299558765718951,200,0.013115067283075498,0.46735488539046993,0.956904541467852
2058,C,0.008527696793002915,,,,,,,0.00037086482275518526,0,0.013115067283075498,0.46735488539046993,0.956904541467852
600,polarisation,0.21232442819868683,0.1821110409286051,0.24032977534797462,0.014887974867762763,1.1880751801737364,0.0,0.017688033423439303,0.017688033423439303,200,0.444789693200265,0.5095930057331012,0.8570908753048505
1000,polarisation,0.21282235346122505,0.19456529961872565,0.23087111637711913,0.009645628805741258,1.394696950638734,0.0,0.013452729082360466,0.013452729082360466,200,0.444789693200265,0.5095930057331012,0.8570908753048505
1052,polarisation,0.21219278493845478,0.19832813315523493,0.2274434377922492,0.007990238252068373,1.4302886583215504,0.0,0.011428347149220404,0.011428347149220404,200,0.444789693200265,0.5095930057331012,0.8570908753048505
1500,polarisation,0.21264291870826235,0.20138653831149736,0.22448218798012165,0.005911837191863529,1.9204614140905703,0.0,0.011353455213359459,0.011353455213359459,200,0.444789693200265,0.5095930057331012,0.8570908753048505
2058,polarisation,0.21255625647807877,,,,,,,0.009112680200243852,0,0.444789693200265,0.5095930057331012,0.8570908753048505
