horizon_ans,predicteur,mesure,valeur,ic_bas,ic_haut
2,persistance,exactitude globale,0.7207495282495283,0.7000716072067493,0.7407168722176947
2,jumeau IA,exactitude globale,0.6079069888444889,0.5904771320685276,0.6244873234489089
2,jumeau IA,exactitude sur cellules changees,0.4410664265706282,0.40538921957671953,0.4782781042796865
2,mode du segment,exactitude globale,0.64052842990343,0.6185063186060927,0.6622717282717283
2,mode du segment,exactitude sur cellules changees,0.4765572895824996,0.4341415846933453,0.5211971352467928
2,regle combinee,exactitude globale,0.692778194028194,0.6728685997737203,0.7128155075891187
2,jumeau IA,AUC desaccord -> changement,0.6300378146645583,0.6045697588470395,0.6542882325804603
4,persistance,exactitude globale,0.7153056665556666,0.6951571998771675,0.7353847557081339
4,jumeau IA,exactitude globale,0.608878205128205,0.5937290356430982,0.626003720444003
4,jumeau IA,exactitude sur cellules changees,0.4265530303030303,0.3945143060064935,0.45877136055777973
4,mode du segment,exactitude globale,0.6442922008547007,0.6226338429109288,0.6668333771080251
4,mode du segment,exactitude sur cellules changees,0.45596410533910536,0.4135927069845352,0.49520005231661074
4,regle combinee,exactitude globale,0.6977490911865911,0.6808430555555556,0.7156618988650238
4,jumeau IA,AUC desaccord -> changement,0.6350506756756756,0.610781084171998,0.6597556198746997
