horizon_ans,predicteur,mesure,valeur,ic_bas,ic_haut
2,persistance,exactitude globale,0.732501938329006,0.7226543457408064,0.7433989549104852
2,jumeau IA,exactitude globale,0.5714711666779336,0.5601772642125756,0.5829742041796687
2,jumeau IA,exactitude sur cellules changees,0.37262510602205257,0.35173590119650683,0.39309235305429535
2,mode du segment,exactitude globale,0.632044761837995,0.6224505359662745,0.6418451339538936
2,mode du segment,exactitude sur cellules changees,0.4754180298073427,0.45464342990282536,0.4971661834677733
2,regle combinee,exactitude globale,0.6991913266349357,0.6895793509860674,0.7095205427325775
2,jumeau IA,AUC desaccord -> changement,0.5960038779672878,0.5797896900054577,0.6116117713476699
4,persistance,exactitude globale,0.7140188341316162,0.7033720324587195,0.7252612588913818
4,jumeau IA,exactitude globale,0.5633598231342593,0.5525543816353784,0.5755257403060222
4,jumeau IA,exactitude sur cellules changees,0.37225454325708135,0.3526309046461332,0.39205357487962716
4,mode du segment,exactitude globale,0.6237922895817632,0.6143903648048263,0.6325682266927894
4,mode du segment,exactitude sur cellules changees,0.4531305623310699,0.43450222895488516,0.4729420147985594
4,regle combinee,exactitude globale,0.6847765225584774,0.6752546839688638,0.6943384556341428
4,jumeau IA,AUC desaccord -> changement,0.5866484392800182,0.5711230884456548,0.6023121952246688
