modele,cle_modele,camp,identite,n_items,gs_decrit_moyen,gs_reel_moyen,ratio,ic_bas,ic_haut,ratio_plancher_w2_w1,part_items_sous_1,p,p_holm
gpt-oss-20b,oss20,gauche,journaliste,149,0.4967275167785234,0.45266808136224834,1.097332763740893,1.03921894718766,1.1557054885438933,1.0046638983403173,0.3087248322147651,9.99950002499875e-05,0.001399930003499825
gpt-oss-20b,oss20,gauche,adversaire,149,0.4799959731543624,0.45266808136224834,1.0603707063017878,1.0089721980338604,1.1147441236042412,1.0046638983403173,0.3691275167785235,0.06684665766711664,0.1336933153342333
gpt-oss-20b,oss20,centre,journaliste,149,0.551938255033557,0.5022784024697905,1.098869177570806,1.0484822552085709,1.1486141642667869,1.0082579700180676,0.2550335570469799,0.00014999250037498125,0.001799910004499775
gpt-oss-20b,oss20,centre,adversaire,149,0.5407624161073824,0.5022784024697905,1.0766188899390443,1.0273498194159514,1.1228244425599174,1.0082579700180676,0.28187919463087246,0.002449877506124694,0.017149142542872857
gpt-oss-20b,oss20,droite,journaliste,149,0.529124832214765,0.5077887761931531,1.0420175809744485,0.9975477661722556,1.0884991093982201,0.9955441540043978,0.37583892617449666,0.004349782510874456,0.026098695065246737
gpt-oss-20b,oss20,droite,adversaire,149,0.5125643766336644,0.5077887761931531,1.0094046986944327,0.9641653366473337,1.0534248421902936,0.9955441540043978,0.4429530201342282,0.44282785860706964,0.44282785860706964
Qwen3-30B-A3B-Instruct-2507,q30,gauche,journaliste,148,0.4902387824463582,0.45122455409190054,1.0864629994105146,1.0355173105745321,1.1426274944624735,1.0044741357648235,0.36486486486486486,0.00039998000099995,0.00359982000899955
Qwen3-30B-A3B-Instruct-2507,q30,gauche,adversaire,149,0.483710067114094,0.45266808136224834,1.0685756010417802,1.0213243125707692,1.1188128869808929,1.0046638983403173,0.4228187919463087,0.006499675016249188,0.026098695065246737
Qwen3-30B-A3B-Instruct-2507,q30,centre,journaliste,149,0.5541409395973155,0.5022784024697905,1.1032545633507391,1.063003344710408,1.1490909169407313,1.0082579700180676,0.2751677852348993,9.99950002499875e-05,0.001399930003499825
Qwen3-30B-A3B-Instruct-2507,q30,centre,adversaire,149,0.5389087248322147,0.5022784024697905,1.0729283245751888,1.0316682041559246,1.1181757333327482,1.0082579700180676,0.3422818791946309,0.03024848757562122,0.09074546272686365
Qwen3-30B-A3B-Instruct-2507,q30,droite,journaliste,149,0.5497838926174496,0.5077887761931531,1.0827019390604302,1.0396321634390786,1.1274962783811528,0.9955441540043978,0.3691275167785235,4.999750012499375e-05,0.0008999550022498875
Qwen3-30B-A3B-Instruct-2507,q30,droite,adversaire,149,0.5342899328859061,0.5077887761931531,1.0521893313425117,1.0097816903942272,1.0992346762722867,0.9955441540043978,0.4161073825503356,0.004549772511374431,0.026098695065246737
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,147,0.527743100620629,0.44948448816926495,1.1741074820403896,1.1091603436810336,1.2434361253845863,1.0047630983900193,0.23129251700680273,4.999750012499375e-05,0.0008999550022498875
Qwen3-4B-Instruct-2507,q4,gauche,adversaire,148,0.5325354823142701,0.4509495262044302,1.1809203721678916,1.1163517547946722,1.2486805510971213,1.0049519863264174,0.25675675675675674,4.999750012499375e-05,0.0008999550022498875
Qwen3-4B-Instruct-2507,q4,centre,journaliste,145,0.5552645456325181,0.49835426697330026,1.1141964309944734,1.063307252971842,1.1745056460190284,1.0072897529846658,0.2827586206896552,0.00024998750062496874,0.002749862506874656
Qwen3-4B-Instruct-2507,q4,centre,adversaire,148,0.573348890102097,0.5008880069168277,1.1446648396141403,1.0982701315706307,1.1990243112462295,1.008150830775271,0.30405405405405406,4.999750012499375e-05,0.0008999550022498875
Qwen3-4B-Instruct-2507,q4,droite,journaliste,147,0.5344367346938775,0.5044554910075513,1.0594328820297794,1.0138555749972191,1.115920741502912,0.9959513833222243,0.5102040816326531,0.0009499525023748813,0.00759962001899905
Qwen3-4B-Instruct-2507,q4,droite,adversaire,148,0.5371099203009237,0.5065369341252997,1.0603568745256815,1.020228480540583,1.1082639824533067,0.9961441153526945,0.44594594594594594,0.00034998250087495624,0.0034998250087495625
