modele,cle_modele,identite,perimetre,n_items,ecart_decrit_moyen,ecart_reel_moyen,facteur,ic_bas,ic_haut,facteur_plancher_w2_w1,p,p_holm,hypothese
Olmo-3-1025-7B,olmo3base,journaliste,tous les items,140,0.18423108571428568,0.21442450170672417,0.8591885920120497,0.6881717021994199,1.060728324666936,1.0122056972913922,0.6218689065546723,1.0,"H2a, ecart non signe (TV entre camps)"
Olmo-3-1025-7B,olmo3base,adversaire,tous les items,142,0.2110647183098592,0.21503950750819673,0.9815160049220908,0.7923032060795473,1.204058504052117,1.0082063228331257,0.00119994000299985,0.0095995200239988,"H2a, ecart non signe (TV entre camps)"
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,tous les items,133,0.17849624060150374,0.2132472661240516,0.8370388227986366,0.6570747670294573,1.024178283255691,1.0160454528205927,0.13264336783160843,0.928503574821259,"H2a, ecart non signe (TV entre camps)"
Olmo-3-7B-Instruct-DPO,olmo3dpo,adversaire,tous les items,137,0.22335750364963503,0.21504808289504182,1.0386398271620434,0.84219078322243,1.2718368720633848,1.0153903863410136,0.49617519124043796,1.0,"H2a, ecart non signe (TV entre camps)"
Olmo-3-7B-Instruct,olmo3rlvr,journaliste,tous les items,133,0.15165413533834585,0.21160734244382734,0.7166770944094414,0.5346259114103866,0.910625820491962,1.0118649901176413,0.5935703214839259,1.0,"H2a, ecart non signe (TV entre camps)"
Olmo-3-7B-Instruct,olmo3rlvr,adversaire,tous les items,139,0.23496125539568347,0.21396574341462948,1.0981255767675306,0.885461318141558,1.3337881556891509,1.0166652256614215,0.2544372781360932,1.0,"H2a, ecart non signe (TV entre camps)"
Olmo-3-7B-Instruct-SFT,olmo3sft,journaliste,tous les items,136,0.13497211764705885,0.2077875084765639,0.649568006453488,0.4915719375193396,0.8384175642098104,1.013136508087436,0.6471676416179191,1.0,"H2a, ecart non signe (TV entre camps)"
Olmo-3-7B-Instruct-SFT,olmo3sft,adversaire,tous les items,134,0.2385177052238806,0.21976346274176486,1.0853383098725247,0.8632526344754883,1.3528489724468917,1.0119920793555757,0.26783660816959154,1.0,"H2a, ecart non signe (TV entre camps)"
Olmo-3-1025-7B,olmo3base,journaliste,items retenus stricts,64,0.12317708333333333,0.2586082207276348,0.47630768653353434,0.29542912471602784,0.6892913379782897,1.0104218654311745,9.99950002499875e-05,0.0007999600019999,"H2b, ecart signe (position orientee)"
Olmo-3-1025-7B,olmo3base,adversaire,items retenus stricts,65,0.13308974358974357,0.2585492958737736,0.5147557766110464,0.25266546664953377,0.79982896953646,1.0112422061099535,0.0021498925053747312,0.010749462526873657,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,items retenus stricts,62,0.14935483870967745,0.2555587477161683,0.5844246774739861,0.3122635289242729,0.8603843943986066,1.0113701446346768,0.006349682515874206,0.025398730063496824,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct-DPO,olmo3dpo,adversaire,items retenus stricts,63,0.1911772486772487,0.25940952153175145,0.7369708233853275,0.438659328562577,1.0721667442842,1.0102591637336293,0.11089445527723614,0.33268336583170843,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct,olmo3rlvr,journaliste,items retenus stricts,61,0.12516393442622953,0.25882562762746547,0.4835840081739559,0.2547835222940566,0.7587648578008506,1.0089747671051654,0.00034998250087495624,0.0020998950052497373,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct,olmo3rlvr,adversaire,items retenus stricts,65,0.20530769230769233,0.2585492958737736,0.7940756195597053,0.472374851044521,1.13418207613821,1.0112422061099535,0.23403829808509574,0.4680765961701915,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct-SFT,olmo3sft,journaliste,items retenus stricts,62,0.10307001075268817,0.25403839384768906,0.4057261156141803,0.20202348083627764,0.6904654961613331,1.0104713468509487,0.00014999250037498125,0.0010499475026248687,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct-SFT,olmo3sft,adversaire,items retenus stricts,63,0.22302910052910055,0.2599118544139636,0.8580951454945199,0.5288994277287139,1.2359554120311858,1.0111727510388708,0.4470276486175691,0.4680765961701915,"H2b, ecart signe (position orientee)"
Olmo-3-1025-7B,olmo3base,journaliste,79 items orientes,78,0.1092735042735043,0.24039724815760616,0.45455388990918816,0.2845021276120906,0.6467032278604976,1.0081749738383692,4.999750012499375e-05,0.00039998000099995,"H2b, ecart signe (position orientee)"
Olmo-3-1025-7B,olmo3base,adversaire,79 items orientes,79,0.1036814345991561,0.24057928432303727,0.4309657620393371,0.20273549603483468,0.7048680210315692,1.0089304742226926,9.99950002499875e-05,0.000599970001499925,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct-DPO,olmo3dpo,journaliste,79 items orientes,76,0.14967105263157898,0.23743028405430386,0.6303789477729259,0.38788367841227595,0.8882497753159418,1.008919691156577,0.007499625018749062,0.02999850007499625,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct-DPO,olmo3dpo,adversaire,79 items orientes,77,0.1590800865800866,0.2408163517691558,0.6605867309732323,0.3918248462498537,0.9653713468720467,1.0080063569907076,0.023448827558622067,0.0703464826758662,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct,olmo3rlvr,journaliste,79 items orientes,75,0.12620000000000003,0.239845633533334,0.5261717636500588,0.3266461301582475,0.7670436200403882,1.0068096117507734,0.0006499675016249188,0.003249837508124594,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct,olmo3rlvr,adversaire,79 items orientes,79,0.17848101265822788,0.24057928432303727,0.7418802211522623,0.45889758142645765,1.0648531807366657,1.0089304742226926,0.10284485775711215,0.2056897155142243,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct-SFT,olmo3sft,journaliste,79 items orientes,76,0.09803079824561403,0.2361899953721234,0.4150505955646597,0.2209392322615167,0.6456110802668482,1.0081181847983307,4.999750012499375e-05,0.00039998000099995,"H2b, ecart signe (position orientee)"
Olmo-3-7B-Instruct-SFT,olmo3sft,adversaire,79 items orientes,77,0.19182900432900435,0.24122735140005663,0.7952207874258462,0.48082997363960894,1.1313673053321918,1.0088155726552686,0.22113894305284737,0.22113894305284737,"H2b, ecart signe (position orientee)"
