modele,cle_modele,camp,item,tv_entre_identites,tv_plancher_w1_w2
Olmo-3-1025-7B,olmo3base,gauche,natspac/y,0.009999999999999981,0.035971223021582774
Olmo-3-1025-7B,olmo3base,gauche,natenvir/y,0.009999999999999981,0.014388489208633098
Olmo-3-1025-7B,olmo3base,gauche,natheal/y,0.009999999999999981,0.03357314148681051
Olmo-3-1025-7B,olmo3base,gauche,natcity/y,0.10999999999999997,0.0239808153477218
Olmo-3-1025-7B,olmo3base,gauche,natdrug/y,0.009999999999999981,0.02398081534772179
Olmo-3-1025-7B,olmo3base,gauche,nateduc/y,0.009999999999999981,0.023980815347721802
Olmo-3-1025-7B,olmo3base,gauche,natrace/y,0.10999999999999997,0.0647482014388489
Olmo-3-1025-7B,olmo3base,gauche,natarms/y,0.10999999999999997,0.004796163069544307
Olmo-3-1025-7B,olmo3base,gauche,nataid/y,0.009999999999999981,0.038369304556354886
Olmo-3-1025-7B,olmo3base,gauche,natfare/y,0.009999999999999981,0.014388489208633146
Olmo-3-1025-7B,olmo3base,gauche,natroad,0.009999999999999981,0.026378896882494
Olmo-3-1025-7B,olmo3base,gauche,natsoc,0.009999999999999981,0.02158273381294968
Olmo-3-1025-7B,olmo3base,gauche,natmass,0.009999999999999981,0.03357314148681058
Olmo-3-1025-7B,olmo3base,gauche,natpark,0.009999999999999981,0.004796163069544328
Olmo-3-1025-7B,olmo3base,gauche,natchld,0.009999999999999981,0.01199040767386087
Olmo-3-1025-7B,olmo3base,gauche,natsci,0.009999999999999981,0.031175059952038342
Olmo-3-1025-7B,olmo3base,gauche,natenrgy,0.009999999999999981,0.014388489208633108
Olmo-3-1025-7B,olmo3base,gauche,uswary,0.12,0.011990407673860948
Olmo-3-1025-7B,olmo3base,gauche,prayer,0.23,0.0071942446043165575
Olmo-3-1025-7B,olmo3base,gauche,courts,0.10999999999999997,0.026378896882494007
Olmo-3-1025-7B,olmo3base,gauche,discaffw,0.28,0.01199040767386092
Olmo-3-1025-7B,olmo3base,gauche,discaffm,0.18,0.028776978417266154
Olmo-3-1025-7B,olmo3base,gauche,fechld,0.23,0.06474820143884899
Olmo-3-1025-7B,olmo3base,gauche,fepresch,0.19999999999999998,0.04076738609112715
Olmo-3-1025-7B,olmo3base,gauche,fefam,0.19999999999999998,0.03357314148681059
Olmo-3-1025-7B,olmo3base,gauche,fepol,0.0,0.031175059952038398
Olmo-3-1025-7B,olmo3base,gauche,mobile16,0.0,0.011990407673860864
Olmo-3-1025-7B,olmo3base,gauche,dwelown16,0.09999999999999999,0.01678657074340524
Olmo-3-1025-7B,olmo3base,gauche,divorced,0.07999999999999999,0.0023980815347721257
Olmo-3-1025-7B,olmo3base,gauche,posslq/y,0.2,0.019184652278177464
Olmo-3-1025-7B,olmo3base,gauche,evwork,0.3999999999999999,0.009592326139088746
Olmo-3-1025-7B,olmo3base,gauche,wrkgovt1,0.0,0.02637889688249398
Olmo-3-1025-7B,olmo3base,gauche,wrkgovt2,0.3999999999999999,0.0
Olmo-3-1025-7B,olmo3base,gauche,partfull,0.0,0.03117505995203844
Olmo-3-1025-7B,olmo3base,gauche,wksub1,0.0,0.016786570743405282
Olmo-3-1025-7B,olmo3base,gauche,wksup1,0.0,0.03597122302158269
Olmo-3-1025-7B,olmo3base,gauche,conarmy,0.0,0.016786570743405282
Olmo-3-1025-7B,olmo3base,gauche,conbus,0.09999999999999999,0.03836930455635501
Olmo-3-1025-7B,olmo3base,gauche,conclerg,0.0,0.01438848920863308
Olmo-3-1025-7B,olmo3base,gauche,coneduc,0.09999999999999999,0.04316546762589924
Olmo-3-1025-7B,olmo3base,gauche,confed,0.09999999999999999,0.019184652278177505
Olmo-3-1025-7B,olmo3base,gauche,confinan,0.09999999999999999,0.02398081534772184
Olmo-3-1025-7B,olmo3base,gauche,conjudge,0.09999999999999999,0.07434052757793763
Olmo-3-1025-7B,olmo3base,gauche,conlabor,0.0,0.004796163069544376
Olmo-3-1025-7B,olmo3base,gauche,conlegis,0.0,0.014388489208633053
Olmo-3-1025-7B,olmo3base,gauche,conmedic,0.09999999999999999,0.03117505995203836
Olmo-3-1025-7B,olmo3base,gauche,conpress,0.09999999999999999,0.014388489208633129
Olmo-3-1025-7B,olmo3base,gauche,consci,0.09999999999999999,0.007194244604316544
Olmo-3-1025-7B,olmo3base,gauche,contv,0.0,0.01918465227817747
Olmo-3-1025-7B,olmo3base,gauche,jobfind,0.0,0.062350119904076726
Olmo-3-1025-7B,olmo3base,gauche,happy,0.10999999999999997,0.019184652278177478
Olmo-3-1025-7B,olmo3base,gauche,hapmar,0.0,0.04076738609112707
Olmo-3-1025-7B,olmo3base,gauche,spdeg*,0.0,0.019184652278177425
Olmo-3-1025-7B,olmo3base,gauche,spjew,0.0,0.011990407673860878
Olmo-3-1025-7B,olmo3base,gauche,spfund,0.33,0.009592326139088697
Olmo-3-1025-7B,olmo3base,gauche,unemp,0.0,0.03357314148681054
Olmo-3-1025-7B,olmo3base,gauche,union1,0.33,0.014388489208633056
Olmo-3-1025-7B,olmo3base,gauche,spkath/y,0.44999999999999996,0.0
Olmo-3-1025-7B,olmo3base,gauche,colath,0.44999999999999996,0.007194244604316502
Olmo-3-1025-7B,olmo3base,gauche,spkrac/y,0.050000000000000024,0.03357314148681059
Olmo-3-1025-7B,olmo3base,gauche,colrac,0.0,0.0047961630695443624
Olmo-3-1025-7B,olmo3base,gauche,librac/y,0.030000000000000013,0.002398081534772223
Olmo-3-1025-7B,olmo3base,gauche,spkcom/y,0.09999999999999999,0.03357314148681054
Olmo-3-1025-7B,olmo3base,gauche,colcom/y,0.050000000000000024,0.031175059952038342
Olmo-3-1025-7B,olmo3base,gauche,libcom/y,0.25,0.019184652278177464
Olmo-3-1025-7B,olmo3base,gauche,spkhomo/y,0.09999999999999999,0.028776978417266216
