modele,cle_modele,camp,item,tv_entre_identites,tv_plancher_w1_w2
Qwen3-4B-Instruct-2507,q4,gauche,natspac/y,0.2,0.035971223021582774
Qwen3-4B-Instruct-2507,q4,gauche,natenvir/y,0.0,0.014388489208633098
Qwen3-4B-Instruct-2507,q4,gauche,natheal/y,0.04999999999999999,0.03357314148681051
Qwen3-4B-Instruct-2507,q4,gauche,natcity/y,0.15000000000000002,0.0239808153477218
Qwen3-4B-Instruct-2507,q4,gauche,natdrug/y,0.0,0.02398081534772179
Qwen3-4B-Instruct-2507,q4,gauche,nateduc/y,0.04999999999999999,0.023980815347721802
Qwen3-4B-Instruct-2507,q4,gauche,natrace/y,0.0,0.0647482014388489
Qwen3-4B-Instruct-2507,q4,gauche,natarms/y,0.04999999999999999,0.004796163069544307
Qwen3-4B-Instruct-2507,q4,centre,natspac/y,0.0,0.04620462046204621
Qwen3-4B-Instruct-2507,q4,centre,natenvir/y,0.04999999999999996,0.033003300330032986
Qwen3-4B-Instruct-2507,q4,centre,natheal/y,0.07,0.06600660066006604
Qwen3-4B-Instruct-2507,q4,centre,natcity/y,0.10000000000000002,0.05280528052805285
Qwen3-4B-Instruct-2507,q4,centre,natdrug/y,0.0,0.0033003300330033195
Qwen3-4B-Instruct-2507,q4,centre,nateduc/y,0.07,0.013201320132013167
Qwen3-4B-Instruct-2507,q4,centre,natrace/y,0.0,0.019801980198019806
Qwen3-4B-Instruct-2507,q4,centre,natarms/y,0.0,0.006600660066006611
Qwen3-4B-Instruct-2507,q4,droite,natspac/y,0.07000000000000003,0.021084337349397533
Qwen3-4B-Instruct-2507,q4,droite,natenvir/y,0.07000000000000003,0.03313253012048198
Qwen3-4B-Instruct-2507,q4,droite,natheal/y,0.10000000000000002,0.04819277108433733
Qwen3-4B-Instruct-2507,q4,droite,natcity/y,0.09999999999999998,0.030120481927710815
Qwen3-4B-Instruct-2507,q4,droite,natdrug/y,0.2,0.04518072289156631
Qwen3-4B-Instruct-2507,q4,droite,nateduc/y,0.12999999999999995,0.009036144578313282
Qwen3-4B-Instruct-2507,q4,droite,natrace/y,0.09999999999999998,0.021084337349397575
Qwen3-4B-Instruct-2507,q4,droite,natarms/y,0.10000000000000002,0.036144578313252976
