modele,cle_modele,camp,item,tv_entre_identites,tv_plancher_w1_w2
gpt-oss-20b,oss20,gauche,natspac/y,0.0,0.035971223021582774
gpt-oss-20b,oss20,gauche,natenvir/y,0.09999999999999998,0.014388489208633098
gpt-oss-20b,oss20,gauche,natheal/y,0.1,0.03357314148681051
gpt-oss-20b,oss20,gauche,natcity/y,0.30000000000000004,0.0239808153477218
gpt-oss-20b,oss20,gauche,natdrug/y,0.2,0.02398081534772179
gpt-oss-20b,oss20,gauche,nateduc/y,0.30000000000000004,0.023980815347721802
gpt-oss-20b,oss20,gauche,natrace/y,0.30000000000000004,0.0647482014388489
gpt-oss-20b,oss20,gauche,natarms/y,0.0,0.004796163069544307
gpt-oss-20b,oss20,gauche,nataid/y,0.25,0.038369304556354886
gpt-oss-20b,oss20,gauche,natfare/y,0.0,0.014388489208633146
gpt-oss-20b,oss20,gauche,natroad,0.20000000000000004,0.026378896882494
gpt-oss-20b,oss20,gauche,natsoc,0.0,0.02158273381294968
gpt-oss-20b,oss20,gauche,natmass,0.0,0.03357314148681058
gpt-oss-20b,oss20,gauche,natpark,0.0,0.004796163069544328
gpt-oss-20b,oss20,gauche,natchld,0.04999999999999999,0.01199040767386087
gpt-oss-20b,oss20,gauche,natsci,0.25,0.031175059952038342
gpt-oss-20b,oss20,gauche,natenrgy,0.09999999999999998,0.014388489208633108
gpt-oss-20b,oss20,gauche,uswary,0.0,0.011990407673860948
gpt-oss-20b,oss20,gauche,prayer,0.15000000000000002,0.0071942446043165575
gpt-oss-20b,oss20,gauche,courts,0.25,0.026378896882494007
gpt-oss-20b,oss20,gauche,discaffw,0.030000000000000013,0.01199040767386092
gpt-oss-20b,oss20,gauche,discaffm,0.0,0.028776978417266154
gpt-oss-20b,oss20,gauche,fehire,0.30000000000000004,0.028776978417266112
gpt-oss-20b,oss20,gauche,fechld,0.2,0.06474820143884899
gpt-oss-20b,oss20,gauche,fepresch,0.14999999999999997,0.04076738609112715
gpt-oss-20b,oss20,gauche,fefam,0.0,0.03357314148681059
gpt-oss-20b,oss20,gauche,fepol,0.06999999999999998,0.031175059952038398
gpt-oss-20b,oss20,gauche,mobile16,0.0,0.011990407673860864
gpt-oss-20b,oss20,gauche,incom16,0.0,0.02637889688249405
gpt-oss-20b,oss20,gauche,dwelown16,0.10000000000000003,0.01678657074340524
gpt-oss-20b,oss20,gauche,divorced,0.1,0.0023980815347721257
gpt-oss-20b,oss20,gauche,posslq/y,0.050000000000000024,0.019184652278177464
gpt-oss-20b,oss20,gauche,wrkstat,0.06999999999999999,0.057553956834532315
gpt-oss-20b,oss20,gauche,evwork,0.16999999999999996,0.009592326139088746
gpt-oss-20b,oss20,gauche,wrkgovt1,0.0,0.02637889688249398
gpt-oss-20b,oss20,gauche,wrkgovt2,0.09999999999999998,0.0
gpt-oss-20b,oss20,gauche,partfull,0.0,0.03117505995203844
gpt-oss-20b,oss20,gauche,wksub1,0.25,0.016786570743405282
gpt-oss-20b,oss20,gauche,wksup1,0.0,0.03597122302158269
gpt-oss-20b,oss20,gauche,conarmy,0.20000000000000007,0.016786570743405282
gpt-oss-20b,oss20,gauche,conbus,0.0,0.03836930455635501
gpt-oss-20b,oss20,gauche,conclerg,0.30000000000000004,0.01438848920863308
gpt-oss-20b,oss20,gauche,coneduc,0.0,0.04316546762589924
gpt-oss-20b,oss20,gauche,confed,0.20000000000000004,0.019184652278177505
gpt-oss-20b,oss20,gauche,confinan,0.0,0.02398081534772184
gpt-oss-20b,oss20,gauche,conjudge,0.0,0.07434052757793763
gpt-oss-20b,oss20,gauche,conlabor,0.0,0.004796163069544376
gpt-oss-20b,oss20,gauche,conlegis,0.0,0.014388489208633053
gpt-oss-20b,oss20,gauche,conmedic,0.0,0.03117505995203836
gpt-oss-20b,oss20,gauche,conpress,0.20000000000000004,0.014388489208633129
gpt-oss-20b,oss20,gauche,consci,0.20000000000000007,0.007194244604316544
gpt-oss-20b,oss20,gauche,contv,0.2,0.01918465227817747
gpt-oss-20b,oss20,gauche,joblose,0.13,0.07913669064748197
gpt-oss-20b,oss20,gauche,jobfind,0.05,0.062350119904076726
gpt-oss-20b,oss20,gauche,happy,0.09999999999999998,0.019184652278177478
gpt-oss-20b,oss20,gauche,hapmar,0.10000000000000003,0.04076738609112707
gpt-oss-20b,oss20,gauche,satjob,0.12,0.023980815347721795
gpt-oss-20b,oss20,gauche,spdeg*,0.04999999999999999,0.019184652278177425
gpt-oss-20b,oss20,gauche,spjew,0.0,0.011990407673860878
gpt-oss-20b,oss20,gauche,spfund,0.0,0.009592326139088697
gpt-oss-20b,oss20,gauche,unemp,0.0,0.03357314148681054
gpt-oss-20b,oss20,gauche,union1,0.0,0.014388489208633056
gpt-oss-20b,oss20,gauche,spkath/y,0.16999999999999998,0.0
gpt-oss-20b,oss20,gauche,colath,0.0,0.007194244604316502
gpt-oss-20b,oss20,gauche,spkrac/y,0.0,0.03357314148681059
gpt-oss-20b,oss20,gauche,colrac,0.0,0.0047961630695443624
gpt-oss-20b,oss20,gauche,librac/y,0.8999999999999999,0.002398081534772223
gpt-oss-20b,oss20,gauche,spkcom/y,0.5,0.03357314148681054
gpt-oss-20b,oss20,gauche,colcom/y,0.30000000000000004,0.031175059952038342
gpt-oss-20b,oss20,gauche,libcom/y,0.15000000000000002,0.019184652278177464
gpt-oss-20b,oss20,gauche,spkhomo/y,0.040000000000000015,0.028776978417266216
gpt-oss-20b,oss20,gauche,colhomo,0.029999999999999957,0.02877697841726616
gpt-oss-20b,oss20,gauche,libhomo/y,0.030000000000000013,0.016786570743405237
gpt-oss-20b,oss20,gauche,cappun,0.0,0.01199040767386092
gpt-oss-20b,oss20,gauche,polhitok/y,0.06999999999999998,0.021582733812949617
gpt-oss-20b,oss20,gauche,polabuse/y,0.0,0.02398081534772173
gpt-oss-20b,oss20,gauche,polattak/y,0.06999999999999998,0.02158273381294959
gpt-oss-20b,oss20,gauche,grass,0.0,0.0023980815347721396
