modele,cle_modele,camp,identite,item,famille,n_modalites,rejet,n_tentatives,motif_rejet,gs_decrit,gs_reel_w1,gs_reel_w1_sans_biais,gs_reel_w2,tv_decrit_reel,tv_plancher_w1_w2,pos_decrit,pos_reel_w1,pos_reel_w2
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natspac/y,depenses publiques (nat*),3,False,1,,0.635,0.6044085594833486,0.6058614646744144,0.607099931565539,0.24376498800959237,0.035971223021582774,0.375,0.5263788968824941,0.4916067146282973
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natenvir/y,depenses publiques (nat*),3,False,1,,0.615,0.25063114975645384,0.25123362848182995,0.2632368925003883,0.4061151079136691,0.014388489208633098,0.35,0.080335731414868,0.08273381294964025
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natheal/y,depenses publiques (nat*),3,False,1,,0.635,0.29687904352776784,0.29759269507470965,0.3342362081557775,0.4773381294964029,0.03357314148681051,0.42500000000000004,0.10791366906474811,0.1199040767386091
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natcity/y,depenses publiques (nat*),3,False,1,,0.62,0.5771497909586001,0.578537170263789,0.5785299817699796,0.06091127098321346,0.0239808153477218,0.45,0.41846522781774576,0.4004796163069544
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natdrug/y,depenses publiques (nat*),3,False,1,,0.635,0.46583740202082935,0.46695720346799485,0.43844061441494286,0.22146282973621106,0.02398081534772179,0.375,0.18585131894484405,0.1642685851318944
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,nateduc/y,depenses publiques (nat*),3,False,1,,0.635,0.32864643536968974,0.32943645083932843,0.2941416650851981,0.45095923261390897,0.023980815347721802,0.42500000000000004,0.11390887290167856,0.0959232613908872
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natrace/y,depenses publiques (nat*),3,False,1,,0.635,0.5171920017942481,0.5184352517985612,0.5371702637889688,0.15671462829736213,0.0647482014388489,0.375,0.22661870503597115,0.2517985611510791
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natarms/y,depenses publiques (nat*),3,False,1,,0.635,0.5347549298690544,0.5360403984504705,0.5367102001851757,0.3731414868105516,0.004796163069544307,0.575,0.24460431654676257,0.24700239808153468
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,nataid/y,depenses publiques (nat*),3,False,1,,0.635,0.5713529895508054,0.5727264342372257,0.5781849340671349,0.30839328537170263,0.038369304556354886,0.42500000000000004,0.7098321342925659,0.6894484412470023
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natfare/y,depenses publiques (nat*),3,False,1,,0.635,0.28507841209047136,0.28576369673491964,0.2848943866489543,0.4821342925659473,0.014388489208633146,0.42500000000000004,0.09352517985611505,0.0887290167865707
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natroad,depenses publiques (nat*),3,False,1,,0.635,0.5531344708405938,0.5544641210108837,0.5364341620228997,0.201558752997602,0.026378896882494,0.42500000000000004,0.26378896882493996,0.250599520383693
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natsoc,depenses publiques (nat*),3,False,1,,0.635,0.4252597921662671,0.42628205128205143,0.4454220796025051,0.35503597122302166,0.02158273381294968,0.42500000000000004,0.15587529976019174,0.1690647482014388
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natmass,depenses publiques (nat*),3,False,1,,0.635,0.5075306661145904,0.508750691754289,0.483929403239998,0.16402877697841728,0.03357314148681058,0.375,0.21942446043165464,0.197841726618705
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natpark,depenses publiques (nat*),3,False,1,,0.635,0.5074501549839265,0.5086699870872533,0.5071741168216506,0.2567146282973622,0.004796163069544328,0.375,0.34652278177458024,0.3429256594724221
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natchld,depenses publiques (nat*),3,False,1,,0.615,0.42917033279850936,0.43020199225235195,0.4148853579007298,0.25983213429256596,0.01199040767386087,0.35,0.16187050359712227,0.15107913669064743
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natsci,depenses publiques (nat*),3,False,1,,0.615,0.5405057249164698,0.5418050175244421,0.5424494936424963,0.10839328537170263,0.031175059952038342,0.35,0.2997601918465227,0.2841726618705035
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natenrgy,depenses publiques (nat*),3,False,1,,0.5049999999999999,0.46457222711039803,0.46568898727172114,0.45307063701556727,0.06642685851318945,0.014388489208633108,0.225,0.1834532374100719,0.17386091127098313
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,uswary,hors famille,2,False,1,,0.2550000000000001,0.4960635807900442,0.49725604132078954,0.49364824687012987,0.30563549160671466,0.011990407673860948,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,prayer,hors famille,2,False,1,,0.34319999999999995,0.2289966587880774,0.22954713152554876,0.21830017999988494,0.08810551558752999,0.0071942446043165575,0.22,0.13189448441247,0.1247002398081534
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,courts,hors famille,3,False,1,,0.645,0.6589260965328456,0.660510053495665,0.6528187521924906,0.04712230215827337,0.026378896882494007,0.475,0.4844124700239808,0.4952038369304556
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,discaffw,hors famille,4,False,1,,0.725,0.6315293089269591,0.6330474082272644,0.6248123803115782,0.28896882494004794,0.01199040767386092,0.5166666666666666,0.3229416466826538,0.32374100719424453
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,discaffm,hors famille,4,False,1,,0.725,0.619728677489663,0.6212184098874748,0.630528670588709,0.34892086330935246,0.028776978417266154,0.4833333333333333,0.2669864108713029,0.2749800159872102
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,fehire,roles de genre (fe*),5,False,1,,0.735,0.7051509871239698,0.7068460616122487,0.7098896422430401,0.2516786570743405,0.028776978417266112,0.4375,0.303956834532374,0.3093525179856114
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,fechld,roles de genre (fe*),4,False,1,,0.3665999999999999,0.5827510653347825,0.5841519092418374,0.5771957973189794,0.3327817745803358,0.06474820143884899,0.10666666666666666,0.21103117505995198,0.1966426858513188
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,fepresch,roles de genre (fe*),4,False,1,,0.705,0.6095727734359275,0.6110380926028409,0.6034539275054777,0.19892086330935252,0.04076738609112715,0.4000000000000001,0.27338129496402874,0.2901678657074339
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,fefam,roles de genre (fe*),4,False,1,,0.625,0.6144954539965152,0.6159726065301607,0.6304711626382349,0.3272182254196643,0.03357314148681059,0.41666666666666674,0.23021582733812943,0.24380495603517177
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,fepol,roles de genre (fe*),2,False,1,,0.2550000000000001,0.1577558097406967,0.15813503043718877,0.20739667258998562,0.06366906474820147,0.031175059952038398,0.15,0.0863309352517985,0.1175059952038369
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,mobile16,hors famille,3,False,1,,0.36419999999999997,0.6567868007752073,0.6583656152001478,0.657752934343173,0.3675299760191847,0.011990407673860864,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,incom16,hors famille,5,False,1,,0.775,0.6773861486350489,0.679014480723114,0.6826768800786709,0.18285371702637893,0.02637889688249405,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,dwelown16,hors famille,3,False,1,,0.5049999999999999,0.43057352679007876,0.43160855930640113,0.44925210910408364,0.08081534772182254,0.01678657074340524,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,divorced,hors famille,2,False,1,,0.4949999999999999,0.3544330003623002,0.3552850027670173,0.35700935654354216,0.21978417266187047,0.0023980815347721257,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,posslq/y,hors famille,4,False,1,,0.6849999999999999,0.6648609170217783,0.6664591403800038,0.6564072483020779,0.3652278177458034,0.019184652278177464,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,wrkstat,hors famille,8,False,2,,0.8520634920634921,0.7952084375664936,0.7971199963106439,0.7777490238025409,0.22521411442274747,0.057553956834532315,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,evwork,hors famille,2,False,1,,0.45499999999999996,0.14574814968169347,0.14609850581073602,0.1617123567333183,0.270863309352518,0.009592326139088746,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,wrkgovt1,hors famille,2,False,1,,0.45499999999999996,0.266445836136846,0.2670863309352519,0.3011116286826654,0.19172661870503596,0.02637889688249398,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,wrkgovt2,hors famille,2,False,1,,0.45499999999999996,0.3695460897469076,0.3704344216934146,0.3695460897469076,0.10539568345323737,0.0,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,partfull,hors famille,3,False,1,,0.5049999999999999,0.6413976732283239,0.6429394945581997,0.6281248382588893,0.202158273381295,0.03117505995203844,,,
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,wksub1,hors famille,3,False,1,,0.5049999999999999,0.6382232343621507,0.6397574248293675,0.6414666827688928,0.27410071942446046,0.016786570743405282,,,
