modele,cle_modele,camp,identite,item,famille,n_modalites,rejet,n_tentatives,motif_rejet,gs_decrit,gs_reel_w1,gs_reel_w1_sans_biais,gs_reel_w2,tv_decrit_reel,tv_plancher_w1_w2,pos_decrit,pos_reel_w1,pos_reel_w2
gpt-oss-20b,oss20,droite,journaliste,natspac/y,depenses publiques (nat*),3,False,1,,0.635,0.6121897227464074,0.6140392385250975,0.6248911307882131,0.15722891566265057,0.021084337349397533,0.42500000000000004,0.5496987951807228,0.5391566265060241
gpt-oss-20b,oss20,droite,journaliste,natenvir/y,depenses publiques (nat*),3,False,1,,0.635,0.6627776164900567,0.6647799657845886,0.6561003048337931,0.10963855421686747,0.03313253012048198,0.42500000000000004,0.4563253012048193,0.4292168674698794
Qwen3-30B-A3B-Instruct-2507,q30,droite,journaliste,natspac/y,depenses publiques (nat*),3,False,1,,0.605,0.6121897227464074,0.6140392385250975,0.6248911307882131,0.2078313253012048,0.021084337349397533,0.675,0.5496987951807228,0.5391566265060241
Qwen3-30B-A3B-Instruct-2507,q30,droite,journaliste,natenvir/y,depenses publiques (nat*),3,False,1,,0.6622,0.6627776164900567,0.6647799657845886,0.6561003048337931,0.09349397590361441,0.03313253012048198,0.5449999999999999,0.4563253012048193,0.4292168674698794
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natspac/y,depenses publiques (nat*),3,False,1,,0.635,0.6044085594833486,0.6058614646744144,0.607099931565539,0.24376498800959237,0.035971223021582774,0.375,0.5263788968824941,0.4916067146282973
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natenvir/y,depenses publiques (nat*),3,False,1,,0.615,0.25063114975645384,0.25123362848182995,0.2632368925003883,0.4061151079136691,0.014388489208633098,0.35,0.080335731414868,0.08273381294964025
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natheal/y,depenses publiques (nat*),3,False,1,,0.635,0.29687904352776784,0.29759269507470965,0.3342362081557775,0.4773381294964029,0.03357314148681051,0.42500000000000004,0.10791366906474811,0.1199040767386091
Qwen3-4B-Instruct-2507,q4,gauche,adversaire,natspac/y,depenses publiques (nat*),3,False,1,,0.5049999999999999,0.6044085594833486,0.6058614646744144,0.607099931565539,0.44376498800959235,0.035971223021582774,0.225,0.5263788968824941,0.4916067146282973
Qwen3-4B-Instruct-2507,q4,gauche,adversaire,natenvir/y,depenses publiques (nat*),3,False,1,,0.615,0.25063114975645384,0.25123362848182995,0.2632368925003883,0.4061151079136691,0.014388489208633098,0.35,0.080335731414868,0.08273381294964025
Qwen3-4B-Instruct-2507,q4,gauche,adversaire,natheal/y,depenses publiques (nat*),3,False,1,,0.62,0.29687904352776784,0.29759269507470965,0.3342362081557775,0.5273381294964029,0.03357314148681051,0.45,0.10791366906474811,0.1199040767386091
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natcity/y,depenses publiques (nat*),3,False,1,,0.62,0.5771497909586001,0.578537170263789,0.5785299817699796,0.06091127098321346,0.0239808153477218,0.45,0.41846522781774576,0.4004796163069544
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natdrug/y,depenses publiques (nat*),3,False,1,,0.635,0.46583740202082935,0.46695720346799485,0.43844061441494286,0.22146282973621106,0.02398081534772179,0.375,0.18585131894484405,0.1642685851318944
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,nateduc/y,depenses publiques (nat*),3,False,1,,0.635,0.32864643536968974,0.32943645083932843,0.2941416650851981,0.45095923261390897,0.023980815347721802,0.42500000000000004,0.11390887290167856,0.0959232613908872
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natrace/y,depenses publiques (nat*),3,False,1,,0.635,0.5171920017942481,0.5184352517985612,0.5371702637889688,0.15671462829736213,0.0647482014388489,0.375,0.22661870503597115,0.2517985611510791
Qwen3-4B-Instruct-2507,q4,gauche,journaliste,natarms/y,depenses publiques (nat*),3,False,1,,0.635,0.5347549298690544,0.5360403984504705,0.5367102001851757,0.3731414868105516,0.004796163069544307,0.575,0.24460431654676257,0.24700239808153468
Qwen3-4B-Instruct-2507,q4,gauche,adversaire,natcity/y,depenses publiques (nat*),3,False,1,,0.635,0.5771497909586001,0.578537170263789,0.5785299817699796,0.2087529976019185,0.0239808153477218,0.375,0.41846522781774576,0.4004796163069544
Qwen3-4B-Instruct-2507,q4,gauche,adversaire,natdrug/y,depenses publiques (nat*),3,False,1,,0.635,0.46583740202082935,0.46695720346799485,0.43844061441494286,0.22146282973621106,0.02398081534772179,0.375,0.18585131894484405,0.1642685851318944
Qwen3-4B-Instruct-2507,q4,gauche,adversaire,nateduc/y,depenses publiques (nat*),3,False,1,,0.62,0.32864643536968974,0.32943645083932843,0.2941416650851981,0.500959232613909,0.023980815347721802,0.45,0.11390887290167856,0.0959232613908872
Qwen3-4B-Instruct-2507,q4,gauche,adversaire,natrace/y,depenses publiques (nat*),3,False,1,,0.635,0.5171920017942481,0.5184352517985612,0.5371702637889688,0.15671462829736213,0.0647482014388489,0.375,0.22661870503597115,0.2517985611510791
Qwen3-4B-Instruct-2507,q4,gauche,adversaire,natarms/y,depenses publiques (nat*),3,False,1,,0.62,0.5347549298690544,0.5360403984504705,0.5367102001851757,0.3731414868105516,0.004796163069544307,0.55,0.24460431654676257,0.24700239808153468
Qwen3-4B-Instruct-2507,q4,centre,journaliste,natspac/y,depenses publiques (nat*),3,False,1,,0.635,0.5941683277238615,0.596135772517649,0.607696413205677,0.27508250825082514,0.04620462046204621,0.375,0.5528052805280528,0.5808580858085808
Qwen3-4B-Instruct-2507,q4,centre,journaliste,natenvir/y,depenses publiques (nat*),3,False,1,,0.5832,0.4427452646254725,0.44421130854807334,0.46352754087289916,0.2862706270627063,0.033003300330032986,0.33999999999999997,0.17656765676567654,0.18646864686468645
Qwen3-4B-Instruct-2507,q4,centre,journaliste,natheal/y,depenses publiques (nat*),3,False,1,,0.6392,0.4368199196157241,0.43826634319061053,0.3936868934418194,0.2730693069306931,0.06600660066006604,0.39,0.16336633663366334,0.14356435643564355
Qwen3-4B-Instruct-2507,q4,centre,journaliste,natcity/y,depenses publiques (nat*),3,False,1,,0.635,0.6171072552799834,0.619150656787533,0.641767147011731,0.21567656765676568,0.05280528052805285,0.375,0.5082508250825082,0.504950495049505
Qwen3-4B-Instruct-2507,q4,centre,journaliste,natdrug/y,depenses publiques (nat*),3,False,1,,0.635,0.5409273600627389,0.5427185102616221,0.5376379222080623,0.1372937293729373,0.0033003300330033195,0.375,0.2524752475247525,0.24917491749174916
Qwen3-4B-Instruct-2507,q4,centre,journaliste,nateduc/y,depenses publiques (nat*),3,False,1,,0.6392,0.46065200579463894,0.46217734356217083,0.4717184589746103,0.2664686468646865,0.013201320132013167,0.39,0.18646864686468645,0.19306930693069305
Qwen3-4B-Instruct-2507,q4,centre,journaliste,natrace/y,depenses publiques (nat*),3,False,1,,0.635,0.631746342951127,0.6338382182589121,0.6239039745558715,0.11204620462046207,0.019801980198019806,0.375,0.429042904290429,0.41254125412541254
Qwen3-4B-Instruct-2507,q4,centre,journaliste,natarms/y,depenses publiques (nat*),3,False,1,,0.635,0.6169111960701021,0.61895394837497,0.6195906719384809,0.15528052805280526,0.006600660066006611,0.575,0.44719471947194717,0.45214521452145207
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natspac/y,depenses publiques (nat*),3,False,1,,0.635,0.5941683277238615,0.596135772517649,0.607696413205677,0.27508250825082514,0.04620462046204621,0.375,0.5528052805280528,0.5808580858085808
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natenvir/y,depenses publiques (nat*),3,False,1,,0.615,0.4427452646254725,0.44421130854807334,0.46352754087289916,0.30627062706270625,0.033003300330032986,0.375,0.17656765676567654,0.18646864686468645
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natheal/y,depenses publiques (nat*),3,False,1,,0.635,0.4368199196157241,0.43826634319061053,0.3936868934418194,0.3430693069306931,0.06600660066006604,0.42500000000000004,0.16336633663366334,0.14356435643564355
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natcity/y,depenses publiques (nat*),3,False,1,,0.615,0.6171072552799834,0.619150656787533,0.641767147011731,0.1656765676567657,0.05280528052805285,0.375,0.5082508250825082,0.504950495049505
Qwen3-4B-Instruct-2507,q4,centre,adversaire,natdrug/y,depenses publiques (nat*),3,False,1,,0.635,0.5409273600627389,0.5427185102616221,0.5376379222080623,0.1372937293729373,0.0033003300330033195,0.375,0.2524752475247525,0.24917491749174916
