modele,cle_modele,identite,item,tv_camps_decrit,tv_camps_reel_w1,tv_camps_reel_w2,gap_signe_decrit,gap_signe_reel_w1,gap_signe_reel_w2
Olmo-3-1025-7B,olmo3base,journaliste,natspac/y,0.07999999999999996,0.033175868943399495,0.06674901043021014,-0.06999999999999995,0.02331989829822878,0.047549911877726836
Olmo-3-1025-7B,olmo3base,journaliste,natenvir/y,0.07999999999999996,0.48262113201005474,0.4519444685215682,-0.06999999999999995,0.3759895697899513,0.3464830545202392
Olmo-3-1025-7B,olmo3base,journaliste,natheal/y,0.07999999999999996,0.22794053913495704,0.15097078963335353,-0.06999999999999995,0.15112247551356503,0.10599953771922209
Olmo-3-1025-7B,olmo3base,journaliste,natcity/y,0.13000000000000003,0.3880197047181532,0.37290167865707446,-0.08499999999999996,0.28032995290514584,0.28626737164485283
Olmo-3-1025-7B,olmo3base,journaliste,natdrug/y,0.07999999999999996,0.16543873335066892,0.2147438675565572,-0.06999999999999995,0.14246193406720412,0.20169527028979228
Olmo-3-1025-7B,olmo3base,journaliste,nateduc/y,0.07999999999999996,0.21662188321631853,0.24963884314235363,-0.06999999999999995,0.17675377770073103,0.2037755337898357
Olmo-3-1025-7B,olmo3base,journaliste,natrace/y,0.13000000000000003,0.48924474877928986,0.4407269365230707,-0.08499999999999996,0.4631403311086071,0.43645445089711354
Olmo-3-1025-7B,olmo3base,journaliste,natarms/y,0.11,0.38940654705151545,0.42075496229522413,0.09499999999999997,0.38641977983877956,0.40962410794256165
Olmo-3-1025-7B,olmo3base,journaliste,nataid/y,0.13000000000000003,0.35004044956805647,0.4064820432810378,-0.08499999999999996,0.20733654040622929,0.24127445031926276
Olmo-3-1025-7B,olmo3base,journaliste,natfare/y,0.07999999999999996,0.32912224437317616,0.3237121146456329,-0.06999999999999995,0.2528603623125595,0.2516324289965618
Olmo-3-1025-7B,olmo3base,journaliste,natroad,0.07999999999999996,0.009859582213747102,0.024450319262662133,-0.06999999999999995,-0.00927089653578339,0.01747276877293341
Olmo-3-1025-7B,olmo3base,journaliste,natsoc,0.07999999999999996,0.05249053769032964,0.03263413365692993,-0.06999999999999995,0.051956025541013,0.025212360232296088
Olmo-3-1025-7B,olmo3base,journaliste,natmass,0.13000000000000003,0.3410982057727312,0.3867195400306261,-0.08499999999999996,0.23388879258039352,0.26902574326081297
Olmo-3-1025-7B,olmo3base,journaliste,natpark,0.07999999999999996,0.11819219323336512,0.1019040189535119,-0.06999999999999995,0.09173023027361249,0.07424301522637305
Olmo-3-1025-7B,olmo3base,journaliste,natchld,0.13000000000000003,0.32428996561786716,0.3579786772991246,-0.08499999999999996,0.22969576146311868,0.24349917656236464
Olmo-3-1025-7B,olmo3base,journaliste,natsci,0.07999999999999996,0.2291756955881079,0.2663748519256884,-0.06999999999999995,0.1851795671896218,0.20227312126202657
Olmo-3-1025-7B,olmo3base,journaliste,natenrgy,0.07999999999999996,0.3714859437751004,0.4124266851578979,-0.06999999999999995,0.3195588107826992,0.3517414983675712
Olmo-3-1025-7B,olmo3base,journaliste,uswary,0.25,0.15279824333304443,0.1768368437779897,,,
Olmo-3-1025-7B,olmo3base,journaliste,prayer,0.23,0.36810551558753,0.34819132645690676,0.22999999999999998,0.36810551558753,0.34819132645690676
Olmo-3-1025-7B,olmo3base,journaliste,courts,0.009999999999999981,0.4459420415474849,0.47846060500996795,0.0050000000000000044,0.3348646384097541,0.34816965704544806
Olmo-3-1025-7B,olmo3base,journaliste,discaffw,0.11999999999999998,0.3582459333737829,0.3811143855999538,-0.033333333333333326,0.23629530110851082,0.2334879084684059
Olmo-3-1025-7B,olmo3base,journaliste,discaffm,0.11000000000000001,0.28265580306838867,0.333362225881945,0.036666666666666625,0.2008850750724721,0.23907620891238812
Olmo-3-1025-7B,olmo3base,journaliste,fechld,0.21999999999999997,0.16881916153823928,0.2203490219872296,0.11333333333333334,0.12230215827338128,0.15476293663864102
Olmo-3-1025-7B,olmo3base,journaliste,fepresch,0.19999999999999998,0.25253532114067784,0.20858253156510947,0.016666666666666663,0.1613576608592644,0.12750281702348976
Olmo-3-1025-7B,olmo3base,journaliste,fefam,0.4,0.3687772673427523,0.3496504001617983,0.19,0.2808283493686978,0.27727938131422586
Olmo-3-1025-7B,olmo3base,journaliste,fepol,0.0,0.3323437635433822,0.3704458120250787,0.0,0.33234376354338224,0.37044581202507876
Olmo-3-1025-7B,olmo3base,journaliste,mobile16,0.24999999999999997,0.08628037329172802,0.09408858455404351,,,
Olmo-3-1025-7B,olmo3base,journaliste,dwelown16,0.15,0.04864782872497184,0.055842073329288366,,,
Olmo-3-1025-7B,olmo3base,journaliste,divorced,0.020000000000000018,0.1402661003727139,0.12581982606685738,,,
Olmo-3-1025-7B,olmo3base,journaliste,posslq/y,0.2,0.1423969258328277,0.13163445147496464,,,
Olmo-3-1025-7B,olmo3base,journaliste,evwork,0.36,0.030943919563144632,0.03451214931669116,,,
Olmo-3-1025-7B,olmo3base,journaliste,wrkgovt1,0.0,0.007389269307445573,0.02200167576781946,,,
Olmo-3-1025-7B,olmo3base,journaliste,wrkgovt2,0.3999999999999999,0.020455924417092777,0.026480020802634993,,,
Olmo-3-1025-7B,olmo3base,journaliste,partfull,0.0,0.07113345468203754,0.05597208979804104,,,
Olmo-3-1025-7B,olmo3base,journaliste,wksub1,0.0,0.03940221316922374,0.06533327554823609,,,
Olmo-3-1025-7B,olmo3base,journaliste,wksup1,0.0,0.050850885556614905,0.05581318078067668,,,
Olmo-3-1025-7B,olmo3base,journaliste,conarmy,0.18,0.114580624656901,0.11519459131489995,0.17499999999999993,0.10031131721129127,0.09576435237352288
Olmo-3-1025-7B,olmo3base,journaliste,conbus,0.04000000000000001,0.19080639103175295,0.1565037126924966,-0.020000000000000018,0.11733263991216664,0.11878087891132882
Olmo-3-1025-7B,olmo3base,journaliste,conclerg,0.10000000000000002,0.31086215365057346,0.3144303834041201,0.07999999999999996,0.22039236081014704,0.22635867209846589
Olmo-3-1025-7B,olmo3base,journaliste,coneduc,0.04000000000000001,0.2274204732599463,0.2528603623125596,0.020000000000000018,0.18943038340412016,0.21988674120944207
Olmo-3-1025-7B,olmo3base,journaliste,confed,0.04000000000000001,0.30253387651324726,0.30744560977723845,0.020000000000000018,0.20295931929155475,0.20092600618300538
Olmo-3-1025-7B,olmo3base,journaliste,confinan,0.04000000000000001,0.07926670711623474,0.07736702204501467,-0.020000000000000018,0.04996605125538123,0.05498252000809001
Olmo-3-1025-7B,olmo3base,journaliste,conjudge,0.04000000000000001,0.37858628759642887,0.44087862240328224,-0.020000000000000018,0.32949784750512845,0.35311389442662744
Olmo-3-1025-7B,olmo3base,journaliste,conlabor,0.0,0.30646326312444017,0.2859928924330416,0.0,0.2806838866256392,0.2475513565051573
Olmo-3-1025-7B,olmo3base,journaliste,conlegis,0.10000000000000002,0.08927797521019337,0.11571465718991074,,,
Olmo-3-1025-7B,olmo3base,journaliste,conmedic,0.04000000000000001,0.26942301580422406,0.27377856750743984,0.020000000000000018,0.20229117910490885,0.20717401982028835
Olmo-3-1025-7B,olmo3base,journaliste,conpress,0.07999999999999999,0.43310652682673134,0.445826471353038,-0.07499999999999996,0.2758335500274479,0.2782894166594435
Olmo-3-1025-7B,olmo3base,journaliste,consci,0.09999999999999999,0.4765031348415244,0.4836973794458409,0.09999999999999998,0.3356158446736587,0.31662260553003385
Olmo-3-1025-7B,olmo3base,journaliste,contv,0.10000000000000002,0.23588599000317828,0.25793100459391527,,,
Olmo-3-1025-7B,olmo3base,journaliste,joblose,0.05,0.025562682384213165,0.058969691716506255,,,
Olmo-3-1025-7B,olmo3base,journaliste,jobfind,0.10999999999999999,0.06482043281037828,0.04854670480483083,,,
Olmo-3-1025-7B,olmo3base,journaliste,happy,0.009999999999999981,0.06640229984686954,0.04200976568143086,,,
Olmo-3-1025-7B,olmo3base,journaliste,hapmar,0.020000000000000004,0.17219236658865683,0.14224523995261623,,,
Olmo-3-1025-7B,olmo3base,journaliste,spjew,0.6900000000000001,0.18103348646384101,0.16050533067521883,,,
Olmo-3-1025-7B,olmo3base,journaliste,spfund,0.0,0.2817529109242727,0.31845367079830117,,,
Olmo-3-1025-7B,olmo3base,journaliste,unemp,0.05999999999999997,0.1351304498569819,0.11448672387391295,,,
Olmo-3-1025-7B,olmo3base,journaliste,union1,0.31999999999999995,0.038080379070237834,0.0530828349368697,,,
Olmo-3-1025-7B,olmo3base,journaliste,spkath/y,0.21999999999999997,0.09038311519459129,0.08435901880904913,0.21999999999999997,0.09038311519459127,0.08435901880904909
Olmo-3-1025-7B,olmo3base,journaliste,colath,0.30999999999999994,0.15927739735922103,0.12798676721273589,0.31,0.159277397359221,0.1279867672127359
Olmo-3-1025-7B,olmo3base,journaliste,spkrac/y,0.37,0.1163069544364509,0.142974776805062,,,
Olmo-3-1025-7B,olmo3base,journaliste,colrac,0.42000000000000004,0.17149894542197566,0.19436739764814653,,,
Olmo-3-1025-7B,olmo3base,journaliste,librac/y,0.37,0.032894166594435365,0.04254427783074746,,,
Olmo-3-1025-7B,olmo3base,journaliste,spkcom/y,0.0,0.1330718557683974,0.11242812978532837,0.0,0.13307185576839736,0.11242812978532829
Olmo-3-1025-7B,olmo3base,journaliste,colcom/y,0.82,0.13909595215393952,0.17930715668429115,0.82,0.1390959521539395,0.1793071566842912
Olmo-3-1025-7B,olmo3base,journaliste,libcom/y,0.0,0.13825084510704694,0.12731501545751353,0.0,0.1382508451070469,0.1273150154575135
Olmo-3-1025-7B,olmo3base,journaliste,spkhomo/y,0.44999999999999996,0.06638063043541068,0.05266389298199991,0.44999999999999996,0.0663806304354107,0.0526638929819999
Olmo-3-1025-7B,olmo3base,journaliste,colhomo,0.36,0.07363266013695069,0.05389182629799781,0.36,0.07363266013695069,0.053891826297997804
Olmo-3-1025-7B,olmo3base,journaliste,libhomo/y,0.0,0.1977983877957875,0.20510820259455093,0.0,0.19779838779578748,0.20510820259455087
Olmo-3-1025-7B,olmo3base,journaliste,cappun,0.03,0.39537285833983415,0.39543064343705764,0.030000000000000027,0.39537285833983415,0.39543064343705764
Olmo-3-1025-7B,olmo3base,journaliste,polhitok/y,0.12,0.16738175724480656,0.20703678021438268,0.12000000000000001,0.16738175724480653,0.20703678021438265
Olmo-3-1025-7B,olmo3base,journaliste,polabuse/y,0.0,0.05199214122677762,0.06693681199618608,0.0,0.0519921412267776,0.0669368119961862
Olmo-3-1025-7B,olmo3base,journaliste,polattak/y,0.37,0.0537690329663979,0.06833087746670136,0.37,0.0537690329663979,0.0683308774667013
Olmo-3-1025-7B,olmo3base,journaliste,grass,0.23000000000000004,0.21030886134465926,0.22174308745774463,0.22999999999999998,0.2103088613446593,0.2217430874577446
Olmo-3-1025-7B,olmo3base,journaliste,gunlaw,0.09,0.3200860997948629,0.28332755482361105,0.09000000000000002,0.32008609979486297,0.283327554823611
Olmo-3-1025-7B,olmo3base,journaliste,owngun,0.26,0.2093698535147786,0.21366762012077084,,,
Olmo-3-1025-7B,olmo3base,journaliste,hunt1,0.36,0.1424113721071335,0.12384068648695494,,,
Olmo-3-1025-7B,olmo3base,journaliste,class,0.08,0.03620958654762935,0.04241426136199466,,,
Olmo-3-1025-7B,olmo3base,journaliste,satfin,0.04999999999999999,0.05671607292479264,0.056759411747710306,,,
Olmo-3-1025-7B,olmo3base,journaliste,finalter,0.049999999999999975,0.11467452543988899,0.13765854786050674,,,
Olmo-3-1025-7B,olmo3base,journaliste,finrela,0.15000000000000002,0.02301291496922946,0.026855623934587226,,,
Olmo-3-1025-7B,olmo3base,journaliste,racdif1,0.0,0.6027202334517927,0.5877755626823842,0.0,0.6027202334517928,0.5877755626823842
Olmo-3-1025-7B,olmo3base,journaliste,racdif2,0.37,0.014735199791973689,0.04184363352691342,0.37,0.014735199791973692,0.0418436335269134
Olmo-3-1025-7B,olmo3base,journaliste,racdif3,0.0,0.4573762676605703,0.46764034555488143,0.0,0.4573762676605703,0.46764034555488143
Olmo-3-1025-7B,olmo3base,journaliste,racdif4,0.12,0.36202363410476435,0.36091127098321346,0.12000000000000001,0.3620236341047644,0.3609112709832135
Olmo-3-1025-7B,olmo3base,journaliste,wlthwhts,0.06999999999999998,0.2209629886452284,0.13975325763485602,,,
Olmo-3-1025-7B,olmo3base,journaliste,wlthhsps,0.492857,0.12014244026465574,0.13458871457051227,,,
Olmo-3-1025-7B,olmo3base,journaliste,letin1a,0.05,0.5739432550345265,0.6063462483025628,-0.012500000000000067,0.3771669411458785,0.38591054866949814
Olmo-3-1025-7B,olmo3base,journaliste,getahead,0.15,0.35619456242235126,0.32417439542342036,0.12,0.2151808673543093,0.19615873566207287
Olmo-3-1025-7B,olmo3base,journaliste,aged,0.0,0.0508797781052267,0.0568966513536159,,,
Olmo-3-1025-7B,olmo3base,journaliste,parsol,0.07999999999999999,0.0801623761231979,0.031969605038860496,,,
Olmo-3-1025-7B,olmo3base,journaliste,kidssol,0.05000000000000001,0.15784721620294134,0.14407269365230707,,,
Olmo-3-1025-7B,olmo3base,journaliste,spanking,0.4,0.3899988442980556,0.35034382132847947,0.19,0.3089552454422005,0.28248004006433414
Olmo-3-1025-7B,olmo3base,journaliste,divlaw,0.0,0.2387102366299731,0.26336280373291726,0.0,0.22553523446303197,0.24151642541388563
Olmo-3-1025-7B,olmo3base,journaliste,sexeduc,0.43999999999999995,0.2526292219236658,0.24242292912657823,0.43999999999999995,0.2526292219236659,0.2424229291265782
Olmo-3-1025-7B,olmo3base,journaliste,pillok,0.21999999999999997,0.38500765652538216,0.36102684117766026,0.11333333333333334,0.3406022170215635,0.3294111698592932
Olmo-3-1025-7B,olmo3base,journaliste,xmarsex,0.28,0.38414810320418363,0.4225174077605386,0.19,0.1887550200803213,0.21119489950208492
Olmo-3-1025-7B,olmo3base,journaliste,homosex,0.13,0.45346132732368327,0.5010401317500217,-0.05333333333333337,0.4311153486849076,0.4524043415869714
Olmo-3-1025-7B,olmo3base,journaliste,marhomo,0.15,0.5258082690474126,0.5528589176851291,0.08750000000000002,0.39732852272398944,0.41613937765450304
Olmo-3-1025-7B,olmo3base,journaliste,discaff,0.09999999999999999,0.4008768888503655,0.408071133454682,0.09999999999999998,0.30717474213400364,0.30173571985784864
Olmo-3-1025-7B,olmo3base,journaliste,abdefect,0.44999999999999996,0.2743853110282859,0.29061570021091565,0.44999999999999996,0.2743853110282858,0.2906157002109156
Olmo-3-1025-7B,olmo3base,journaliste,abnomore,0.44999999999999996,0.5385643292594839,0.5578645517321084,0.44999999999999996,0.5385643292594839,0.5578645517321084
