modele,cle_modele,identite,camp,item,famille,n_modalites,tv_decrit_reel,tv_plancher_w1_w2,part_modale_reelle,modalite_modale_reelle,part_decrite_de_cette_modalite,part_modale_decrite,gs_decrit,gs_reel_w1,pos_decrit,pos_reel_w1,derive_agregee,exces_de_variete,deficit_sur_la_modale
gpt-oss-20b,oss20,adversaire,centre,fucitzn,hors famille,5,1.0,0.00990099009900996,1.0,Inapplicable (I am already a U.S. citizen),0.0,0.95,0.09500000000000008,0.0,,,,0.09500000000000008,-1.0
gpt-oss-20b,oss20,journaliste,gauche,mnthsusa,hors famille,6,0.9832134292565948,0.011990407673860979,0.9832134292565948,10+ months,0.0,1.0,0.0,0.03300956357216367,,,,-0.03300956357216367,-0.9832134292565948
gpt-oss-20b,oss20,adversaire,gauche,mnthsusa,hors famille,6,0.9832134292565948,0.011990407673860979,0.9832134292565948,10+ months,0.0,1.0,0.0,0.03300956357216367,,,,-0.03300956357216367,-0.9832134292565948
gpt-oss-20b,oss20,journaliste,droite,mnthsusa,hors famille,6,0.9819277108433735,0.006024096385542122,0.9819277108433736,10+ months,0.0,1.0,0.0,0.03549136304253131,,,,-0.03549136304253131,-0.9819277108433736
gpt-oss-20b,oss20,adversaire,droite,mnthsusa,hors famille,6,0.9819277108433735,0.006024096385542122,0.9819277108433736,10+ months,0.0,1.0,0.0,0.03549136304253131,,,,-0.03549136304253131,-0.9819277108433736
gpt-oss-20b,oss20,journaliste,centre,mnthsusa,hors famille,6,0.9801980198019802,0.006600660066006585,0.9801980198019802,10+ months,0.0,1.0,0.0,0.038819723556514196,,,,-0.038819723556514196,-0.9801980198019802
gpt-oss-20b,oss20,adversaire,centre,mnthsusa,hors famille,6,0.9801980198019802,0.006600660066006585,0.9801980198019802,10+ months,0.0,1.0,0.0,0.038819723556514196,,,,-0.038819723556514196,-0.9801980198019802
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,droite,fucitzn,hors famille,5,0.9579518072289157,0.00602409638554215,0.9879518072289156,Inapplicable (I am already a U.S. citizen),0.03,0.8,0.34619999999999984,0.02389679198722605,,,,0.3223032080127738,-0.9579518072289156
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,centre,fucitzn,hors famille,5,0.95,0.00990099009900996,1.0,Inapplicable (I am already a U.S. citizen),0.05,0.75,0.4182,0.0,,,,0.4182,-0.95
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,centre,fucitzn,hors famille,5,0.95,0.00990099009900996,1.0,Inapplicable (I am already a U.S. citizen),0.05,0.65,0.5371999999999999,0.0,,,,0.5371999999999999,-0.95
gpt-oss-20b,oss20,adversaire,droite,fucitzn,hors famille,5,0.9469879518072288,0.00602409638554215,0.9879518072289156,Inapplicable (I am already a U.S. citizen),0.05,0.95,0.09500000000000008,0.02389679198722605,,,,0.07110320801277403,-0.9379518072289156
gpt-oss-20b,oss20,journaliste,droite,fucitzn,hors famille,5,0.9439759036144578,0.00602409638554215,0.9879518072289156,Inapplicable (I am already a U.S. citizen),0.05,0.9,0.18500000000000005,0.02389679198722605,,,,0.161103208012774,-0.9379518072289156
Qwen3-4B-Instruct-2507,q4,journaliste,droite,fucitzn,hors famille,5,0.9379518072289157,0.00602409638554215,0.9879518072289156,Inapplicable (I am already a U.S. citizen),0.05,0.4,0.715,0.02389679198722605,,,,0.6911032080127739,-0.9379518072289156
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,droite,fucitzn,hors famille,5,0.9379518072289157,0.00602409638554215,0.9879518072289156,Inapplicable (I am already a U.S. citizen),0.05,0.7,0.4822000000000001,0.02389679198722605,,,,0.458303208012774,-0.9379518072289156
Qwen3-4B-Instruct-2507,q4,adversaire,droite,fucitzn,hors famille,5,0.9379518072289157,0.00602409638554215,0.9879518072289156,Inapplicable (I am already a U.S. citizen),0.05,0.7,0.4850000000000001,0.02389679198722605,,,,0.46110320801277405,-0.9379518072289156
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,gauche,fucitzn,hors famille,5,0.935611510791367,0.007194244604316462,0.9856115107913668,Inapplicable (I am already a U.S. citizen),0.05,0.7,0.4782000000000002,0.028500940254990503,,,,0.4496990597450097,-0.9356115107913667
Qwen3-30B-A3B-Instruct-2507,q30,journaliste,gauche,fucitzn,hors famille,5,0.935611510791367,0.007194244604316462,0.9856115107913668,Inapplicable (I am already a U.S. citizen),0.05,0.65,0.5371999999999999,0.028500940254990503,,,,0.5086990597450094,-0.9356115107913667
Qwen3-4B-Instruct-2507,q4,journaliste,centre,fucitzn,hors famille,5,0.9,0.00990099009900996,1.0,Inapplicable (I am already a U.S. citizen),0.1,0.4,0.7349999999999999,0.0,,,,0.7349999999999999,-0.9
gpt-oss-20b,oss20,adversaire,gauche,if16who,hors famille,3,0.8848920863309352,0.007194244604316551,0.829736211031175,Clinton,0.0,1.0,0.0,0.2952458177343018,,,,-0.2952458177343018,-0.829736211031175
Qwen3-4B-Instruct-2507,q4,journaliste,gauche,mnthsusa,hors famille,6,0.8832134292565947,0.011990407673860979,0.9832134292565948,10+ months,0.1,0.25,0.8200000000000001,0.03300956357216367,,,,0.7869904364278364,-0.8832134292565949
Qwen3-4B-Instruct-2507,q4,adversaire,gauche,mnthsusa,hors famille,6,0.8832134292565947,0.011990407673860979,0.9832134292565948,10+ months,0.1,0.25,0.815,0.03300956357216367,,,,0.7819904364278363,-0.8832134292565949
gpt-oss-20b,oss20,journaliste,centre,fucitzn,hors famille,5,0.87,0.00990099009900996,1.0,Inapplicable (I am already a U.S. citizen),0.13,0.7,0.48020000000000007,0.0,,,,0.48020000000000007,-0.87
Qwen3-30B-A3B-Instruct-2507,q30,adversaire,droite,mnthsusa,hors famille,6,0.8619277108433735,0.006024096385542122,0.9819277108433736,10+ months,0.12,0.21,0.827,0.03549136304253131,,,,0.7915086369574686,-0.8619277108433736
Qwen3-4B-Instruct-2507,q4,adversaire,gauche,spjew,hors famille,5,0.8520383693045565,0.011990407673860878,0.7817745803357314,Inapplicable (I currently do not have a spouse OR my spouse is not Jewish),0.05,0.4,0.705,0.3590451379903271,,,,0.34595486200967285,-0.7317745803357314
Qwen3-4B-Instruct-2507,q4,adversaire,centre,fucitzn,hors famille,5,0.8500000000000001,0.00990099009900996,1.0,Inapplicable (I am already a U.S. citizen),0.15,0.4,0.7449999999999999,0.0,,,,0.7449999999999999,-0.85
Qwen3-4B-Instruct-2507,q4,journaliste,gauche,hunt1,hors famille,4,0.8496402877697842,0.021582733812949714,0.9496402877697842,"Neither hunt (you don't hunt, if you don't have a spouse/partner)",0.1,0.4,0.7,0.09701591244989627,,,,0.6029840875501037,-0.8496402877697842
Qwen3-4B-Instruct-2507,q4,adversaire,gauche,hunt1,hors famille,4,0.8496402877697842,0.021582733812949714,0.9496402877697842,"Neither hunt (you don't hunt, if you don't have a spouse/partner)",0.1,0.45,0.675,0.09701591244989627,,,,0.5779840875501038,-0.8496402877697842
gpt-oss-20b,oss20,journaliste,gauche,if16who,hors famille,3,0.8448441247002398,0.007194244604316551,0.829736211031175,Clinton,0.05,0.9,0.18500000000000005,0.2952458177343018,,,,-0.11024581773430175,-0.779736211031175
Qwen3-4B-Instruct-2507,q4,journaliste,gauche,fucitzn,hors famille,5,0.835611510791367,0.007194244604316462,0.9856115107913668,Inapplicable (I am already a U.S. citizen),0.15,0.35,0.76,0.028500940254990503,,,,0.7314990597450095,-0.8356115107913668
Qwen3-4B-Instruct-2507,q4,adversaire,gauche,fucitzn,hors famille,5,0.8356115107913669,0.007194244604316462,0.9856115107913668,Inapplicable (I am already a U.S. citizen),0.15,0.3,0.775,0.028500940254990503,,,,0.7464990597450095,-0.8356115107913668
Qwen3-4B-Instruct-2507,q4,journaliste,gauche,jew,hors famille,5,0.8352517985611511,0.021582733812949624,0.7889688249400479,Inapplicable (not Jewish),0.05,0.4,0.705,0.35444450195239496,,,,0.350555498047605,-0.7389688249400479
