modele,cle_modele,camp,identite,n_items,gs_decrit_moyen,gs_reel_moyen,ratio,ic_bas,ic_haut,ratio_plancher_w2_w1,part_items_sous_1,p,p_holm,perimetre_analyse,famille,perimetre,ecart_decrit_moyen,ecart_reel_moyen,facteur,facteur_plancher_w2_w1,hypothese,tv_entre_identites_moyenne,plancher_humain_moyen,rapport_au_plancher,part_items_identiques,part_items_au_dessus_du_plancher
gpt-oss-20b,oss20,gauche,journaliste,149,0.4967275167785234,0.45266808136224834,1.097332763740893,1.0429807542198362,1.1558016823429522,1.0046638983403173,0.3087248322147651,9.99950002499875e-05,0.001399930003499825,"principal, critere 2 applique",H1,,,,,,,,,,,
gpt-oss-20b,oss20,gauche,adversaire,149,0.4799959731543624,0.45266808136224834,1.0603707063017878,1.0070677123473466,1.1143099184245384,1.0046638983403173,0.3691275167785235,0.06944652767361632,0.13889305534723265,"principal, critere 2 applique",H1,,,,,,,,,,,
gpt-oss-20b,oss20,centre,journaliste,149,0.551938255033557,0.5022784024697905,1.098869177570806,1.0542054984067217,1.1485978310954634,1.0082579700180676,0.2550335570469799,0.000199990000499975,0.002199890005499725,"principal, critere 2 applique",H1,,,,,,,,,,,
gpt-oss-20b,oss20,centre,adversaire,149,0.5407624161073824,0.5022784024697905,1.0766188899390443,1.0298573323847262,1.1221190354375108,1.0082579700180676,0.28187919463087246,0.0017499125043747813,0.01224938753062347,"principal, critere 2 applique",H1,,,,,,,,,,,
gpt-oss-20b,oss20,droite,journaliste,149,0.529124832214765,0.5077887761931531,1.0420175809744485,0.9990836104391828,1.0853215906948799,0.9955441540043978,0.37583892617449666,0.004649767511624419,0.027898605069746514,"principal, critere 2 applique",H1,,,,,,,,,,,
gpt-oss-20b,oss20,droite,adversaire,149,0.5125643766336644,0.5077887761931531,1.0094046986944327,0.965649751017794,1.0544300315360815,0.9955441540043978,0.4429530201342282,0.44452777361131945,0.44452777361131945,"principal, critere 2 applique",H1,,,,,,,,,,,
Qwen3-30B-A3B-Instruct-2507,q30,gauche,journaliste,148,0.4902387824463582,0.45122455409190054,1.0864629994105146,1.0383305487576235,1.1400254636726057,1.0044741357648235,0.36486486486486486,0.0005499725013749313,0.004949752512374382,"principal, critere 2 applique",H1,,,,,,,,,,,
Qwen3-30B-A3B-Instruct-2507,q30,gauche,adversaire,149,0.483710067114094,0.45266808136224834,1.0685756010417802,1.0215119863353486,1.1205900794215857,1.0046638983403173,0.4228187919463087,0.007299635018249088,0.02919854007299635,"principal, critere 2 applique",H1,,,,,,,,,,,
Qwen3-30B-A3B-Instruct-2507,q30,centre,journaliste,149,0.5541409395973155,0.5022784024697905,1.1032545633507391,1.0610237275517018,1.1490473257963691,1.0082579700180676,0.2751677852348993,9.99950002499875e-05,0.001399930003499825,"principal, critere 2 applique",H1,,,,,,,,,,,
Qwen3-30B-A3B-Instruct-2507,q30,centre,adversaire,149,0.5389087248322147,0.5022784024697905,1.0729283245751888,1.030382412106286,1.1189903652217588,1.0082579700180676,0.3422818791946309,0.0263986800659967,0.07919604019799009,"principal, critere 2 applique",H1,,,,,,,,,,,
