condition_llm,definition_raretes,personnes,famille,hypothese,adversaire,quantite,difference_llm_moins_adversaire,ic_bas,ic_haut,p_bootstrap,signe_attendu,p_holm,p_bh
C3F gpt-oss-20b,perimetre,150,F1 primaire,H1a,plancher de segment,"exces de rappel, stables",0.031460,-0.035458,0.101522,0.340500,positif,1.000000,0.476700
C3F gpt-oss-20b,perimetre,150,F1 primaire,H1b,E1 famille retiree (argmax),"rappel, raretes stables",0.037736,-0.051027,0.125984,0.455000,positif,1.000000,0.530833
C3F gpt-oss-20b,perimetre,150,F1 primaire,H1b,E2 famille retiree (tirage),"rappel, raretes stables",-0.047170,-0.134336,0.034195,0.302000,positif,1.000000,0.476700
C3F gpt-oss-20b,perimetre,150,F1 primaire,H1b,PMM k=10 famille retiree,"rappel, raretes stables",-0.094340,-0.172932,-0.009901,0.040000,positif,0.240000,0.140000
C3F gpt-oss-20b,perimetre,150,F1 primaire,H1b,"IM m=10 mode, famille retiree","rappel, raretes stables",-0.009434,-0.086957,0.066038,0.883000,positif,1.000000,0.883000
C3F gpt-oss-20b,perimetre,150,F1 primaire,H1b,B2 famille retiree (argmax),"rappel, raretes stables",0.150943,0.057471,0.236224,0.002500,positif,0.017500,0.017500
C3F gpt-oss-20b,perimetre,150,F1 primaire,H1b,B2 famille retiree (tirage),"rappel, raretes stables",0.047170,-0.034195,0.122642,0.280000,positif,1.000000,0.476700
C3F gpt-oss-20b,perimetre,150,F2 secondaire,H2a,plancher de segment sur les cellules osees,"precision, raretes stables",-0.525360,-0.567105,-0.476983,0.000250,positif,0.001750,0.000350
C3F gpt-oss-20b,perimetre,150,F2 secondaire,H2b,E1 famille retiree (argmax),"precision, raretes stables",-0.293626,-0.425884,-0.155827,0.000250,positif,0.001750,0.000350
C3F gpt-oss-20b,perimetre,150,F2 secondaire,H2b,E2 famille retiree (tirage),"precision, raretes stables",-0.096402,-0.147091,-0.048885,0.000250,positif,0.001750,0.000350
C3F gpt-oss-20b,perimetre,150,F2 secondaire,H2b,PMM k=10 famille retiree,"precision, raretes stables",-0.164778,-0.243996,-0.089789,0.000250,positif,0.001750,0.000350
C3F gpt-oss-20b,perimetre,150,F2 secondaire,H2b,"IM m=10 mode, famille retiree","precision, raretes stables",-0.245799,-0.358102,-0.136165,0.000250,positif,0.001750,0.000350
C3F gpt-oss-20b,perimetre,150,F2 secondaire,H2b,B2 famille retiree (argmax),"precision, raretes stables",-0.345799,-0.683717,-0.035637,0.040500,positif,0.040500,0.040500
C3F gpt-oss-20b,perimetre,150,F2 secondaire,H2b,B2 famille retiree (tirage),"precision, raretes stables",-0.043202,-0.083319,-0.008204,0.014000,positif,0.028000,0.016333
C3F gpt-oss-20b,perimetre,150,F3 tertiaire,H3a,E1 famille retiree (argmax),exactitude par personne,-0.136181,-0.150922,-0.121724,0.000250,bilateral,0.001500,0.000250
C3F gpt-oss-20b,perimetre,150,F3 tertiaire,H3a,E2 famille retiree (tirage),exactitude par personne,-0.068144,-0.082761,-0.053445,0.000250,bilateral,0.001500,0.000250
C3F gpt-oss-20b,perimetre,150,F3 tertiaire,H3a,PMM k=10 famille retiree,exactitude par personne,-0.097333,-0.112414,-0.082529,0.000250,bilateral,0.001500,0.000250
C3F gpt-oss-20b,perimetre,150,F3 tertiaire,H3a,"IM m=10 mode, famille retiree",exactitude par personne,-0.118948,-0.132759,-0.105057,0.000250,bilateral,0.001500,0.000250
C3F gpt-oss-20b,perimetre,150,F3 tertiaire,H3a,B2 famille retiree (argmax),exactitude par personne,-0.126827,-0.140690,-0.112989,0.000250,bilateral,0.001500,0.000250
C3F gpt-oss-20b,perimetre,150,F3 tertiaire,H3a,B2 famille retiree (tirage),exactitude par personne,-0.046715,-0.061264,-0.032644,0.000250,bilateral,0.001500,0.000250
C3F gpt-oss-20b,perimetre,150,F4 quaternaire,H4a,E2 famille retiree (tirage),diversite conservee,-0.552258,-0.584479,-0.519072,0.000250,bilateral,0.001500,0.000250
C3F gpt-oss-20b,perimetre,150,F4 quaternaire,H4a,PMM k=10 famille retiree,diversite conservee,-0.539801,-0.568632,-0.510091,0.000250,bilateral,0.001500,0.000250
C3F gpt-oss-20b,perimetre,150,F4 quaternaire,H4a,B2 famille retiree (tirage),diversite conservee,-0.511769,-0.547742,-0.474731,0.000250,bilateral,0.001500,0.000250
C3F gpt-oss-20b,perimetre,150,F4 quaternaire,H4b,E2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.558748,0.516159,0.595182,0.000250,"bilateral, negatif = plus proche de 1",0.001500,0.000250
C3F gpt-oss-20b,perimetre,150,F4 quaternaire,H4b,PMM k=10 famille retiree,ecart absolu a 1 du ratio intra,0.532985,0.499216,0.565614,0.000250,"bilateral, negatif = plus proche de 1",0.001500,0.000250
C3F gpt-oss-20b,perimetre,150,F4 quaternaire,H4b,B2 famille retiree (tirage),ecart absolu a 1 du ratio intra,0.528756,0.484274,0.573268,0.000250,"bilateral, negatif = plus proche de 1",0.001500,0.000250
C3F gpt-oss-20b,population,150,F1 primaire,H1a,plancher de segment,"exces de rappel, stables",0.042403,-0.030284,0.120781,0.262000,positif,,
C3F gpt-oss-20b,population,150,F1 primaire,H1b,E1 famille retiree (argmax),"rappel, raretes stables",0.052083,-0.017711,0.130961,0.196500,positif,,
