condition_llm,personnes,segmentation,methode,exactitude,exactitude_permutee,chute,chute_relative,camps_exploitables,taille_camp_max
C3F gpt-oss-20b,150,S_fin,C3F gpt-oss-20b,,,,,0,8
C3F gpt-oss-20b,150,S_fin,E1 famille retiree (argmax),,,,,0,8
C3F gpt-oss-20b,150,S_fin,E2 famille retiree (tirage),,,,,0,8
C3F gpt-oss-20b,150,S_fin,PMM k=10 famille retiree,,,,,0,8
C3F gpt-oss-20b,150,S_fin,"IM m=10 mode, famille retiree",,,,,0,8
C3F gpt-oss-20b,150,S_fin,B2 famille retiree (argmax),,,,,0,8
C3F gpt-oss-20b,150,S_fin,B2 famille retiree (tirage),,,,,0,8
C3F gpt-oss-20b,150,S_fin,humains vague 2,,,,,0,8
C3F gpt-oss-20b,150,S_ideo,C3F gpt-oss-20b,0.532759,0.510283,0.022475,0.042187,6,45
C3F gpt-oss-20b,150,S_ideo,E1 famille retiree (argmax),0.668966,0.593241,0.075724,0.113196,6,45
C3F gpt-oss-20b,150,S_ideo,E2 famille retiree (tirage),0.601034,0.544489,0.056546,0.094081,6,45
C3F gpt-oss-20b,150,S_ideo,PMM k=10 famille retiree,0.630230,0.553109,0.077121,0.122369,6,45
C3F gpt-oss-20b,150,S_ideo,"IM m=10 mode, famille retiree",0.651839,0.579219,0.072620,0.111408,6,45
C3F gpt-oss-20b,150,S_ideo,B2 famille retiree (argmax),0.659655,0.618028,0.041627,0.063104,6,45
C3F gpt-oss-20b,150,S_ideo,B2 famille retiree (tirage),0.579540,0.550440,0.029100,0.050212,6,45
C3F gpt-oss-20b,150,S_ideo,humains vague 2,0.776092,0.554209,0.221883,0.285898,6,45
C3F gpt-oss-20b,150,S_camp,C3F gpt-oss-20b,0.532759,0.507881,0.024878,0.046696,3,63
C3F gpt-oss-20b,150,S_camp,E1 famille retiree (argmax),0.668966,0.587273,0.081693,0.122118,3,63
C3F gpt-oss-20b,150,S_camp,E2 famille retiree (tirage),0.601034,0.540591,0.060443,0.100565,3,63
C3F gpt-oss-20b,150,S_camp,PMM k=10 famille retiree,0.630230,0.547415,0.082815,0.131404,3,63
C3F gpt-oss-20b,150,S_camp,"IM m=10 mode, famille retiree",0.651839,0.573302,0.078537,0.120486,3,63
C3F gpt-oss-20b,150,S_camp,B2 famille retiree (argmax),0.659655,0.612528,0.047127,0.071442,3,63
C3F gpt-oss-20b,150,S_camp,B2 famille retiree (tirage),0.579540,0.549315,0.030225,0.052154,3,63
C3F gpt-oss-20b,150,S_camp,humains vague 2,0.776092,0.545303,0.230789,0.297373,3,63
C3 gpt-oss-20b,105,S_fin,C3 gpt-oss-20b,,,,,0,6
C3 gpt-oss-20b,105,S_fin,E1 famille retiree (argmax),,,,,0,6
C3 gpt-oss-20b,105,S_fin,E2 famille retiree (tirage),,,,,0,6
C3 gpt-oss-20b,105,S_fin,PMM k=10 famille retiree,,,,,0,6
C3 gpt-oss-20b,105,S_fin,"IM m=10 mode, famille retiree",,,,,0,6
C3 gpt-oss-20b,105,S_fin,B2 famille retiree (argmax),,,,,0,6
C3 gpt-oss-20b,105,S_fin,B2 famille retiree (tirage),,,,,0,6
C3 gpt-oss-20b,105,S_fin,humains vague 2,,,,,0,6
C3 gpt-oss-20b,105,S_ideo,C3 gpt-oss-20b,0.606240,0.527481,0.078759,0.129913,4,31
C3 gpt-oss-20b,105,S_ideo,E1 famille retiree (argmax),0.677340,0.603894,0.073446,0.108433,4,31
C3 gpt-oss-20b,105,S_ideo,E2 famille retiree (tirage),0.608867,0.551833,0.057034,0.093673,4,31
C3 gpt-oss-20b,105,S_ideo,PMM k=10 famille retiree,0.643514,0.562306,0.081208,0.126194,4,31
C3 gpt-oss-20b,105,S_ideo,"IM m=10 mode, famille retiree",0.660755,0.587696,0.073059,0.110569,4,31
