condition_llm,definition_raretes,personnes,items,methode,regime_severe,conditionnement,exactitude,exactitude_ic_bas,exactitude_ic_haut,diversite_conservee,accord_par_paires,ratio_intra,ratio_inter,cellules_rares_stables,raretes_stables_osees,rappel_stables,rappel_stables_ic_bas,rappel_stables_ic_haut,precision_stables,precision_stables_ic_bas,precision_stables_ic_haut,f1_stables,plancher_segment,exces_segment_stables,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p,rappel_instables,rappel_ensemble,cellules_rares_ensemble
C3F gpt-oss-20b,perimetre,150,58,C3F gpt-oss-20b,voir a41,,0.532759,0.517698,0.548161,0.443838,0.784530,0.427978,0.730494,106,369,0.188679,0.114279,0.265311,0.054201,0.028168,0.085960,0.084211,0.164416,0.031460,-0.035458,0.101522,0.340500,0.129032,0.156522,230
C3F gpt-oss-20b,perimetre,150,58,E1 famille retiree (argmax),oui,"149 moins la famille, et 11 demographies",0.668966,0.652759,0.685057,0.795667,0.615114,0.741904,1.719473,106,46,0.150943,0.080799,0.216495,0.347826,0.200000,0.492935,0.210526,0.164416,-0.030395,-0.077958,0.019607,0.218000,0.056452,0.100000,230
C3F gpt-oss-20b,perimetre,150,58,E2 famille retiree (tirage),oui,"149 moins la famille, et 11 demographies",0.601034,0.585402,0.616552,0.995011,0.514710,0.998875,1.003138,106,166,0.235849,0.152174,0.317308,0.150602,0.089283,0.219789,0.183824,0.164416,0.062388,0.004386,0.130334,0.035000,0.129032,0.178261,230
C3F gpt-oss-20b,perimetre,150,58,PMM k=10 famille retiree,oui,"149 moins la famille, et 11 demographies",0.630230,0.614713,0.645980,0.982841,0.520327,0.961606,1.463593,106,137,0.283019,0.181797,0.380962,0.218978,0.126866,0.322986,0.246914,0.164416,0.124244,0.047267,0.195800,0.001000,0.201613,0.239130,230
C3F gpt-oss-20b,perimetre,150,58,"IM m=10 mode, famille retiree",oui,"149 moins la famille, et 11 demographies",0.651839,0.636322,0.667126,0.853734,0.586520,0.821100,1.405019,106,70,0.198113,0.120370,0.273506,0.300000,0.175418,0.432107,0.238636,0.164416,0.021151,-0.031606,0.079059,0.431000,0.072581,0.130435,230
C3F gpt-oss-20b,perimetre,150,58,B2 famille retiree (argmax),oui,149 moins la famille,0.659655,0.643216,0.676210,0.589705,0.713060,0.505551,2.155156,106,10,0.037736,0.007937,0.081641,0.400000,0.090909,0.750000,0.068966,0.164416,-0.143797,-0.205792,-0.078414,0.000250,0.024194,0.030435,230
C3F gpt-oss-20b,perimetre,150,58,B2 famille retiree (tirage),oui,149 moins la famille,0.579540,0.564368,0.594945,0.955101,0.538437,0.957340,0.819955,106,154,0.141509,0.087368,0.197674,0.097403,0.054050,0.147651,0.115385,0.164416,-0.030395,-0.093909,0.040550,0.396000,0.104839,0.121739,230
C3F gpt-oss-20b,perimetre,150,58,humains vague 2,sans objet,la personne elle meme,0.776092,0.756437,0.793793,0.991982,0.516612,0.983777,1.204555,106,106,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.164416,0.835584,0.776825,0.894345,0.000250,0.000000,0.460870,230
C3F gpt-oss-20b,perimetre,150,58,B3 foret,"sans objet, aucun item vu",11 demographies,0.648276,0.629770,0.665977,0.467318,0.770629,0.322382,3.223887,106,9,0.018868,0.000000,0.048198,0.222222,0.000000,0.555556,0.034783,0.164416,-0.154107,-0.216094,-0.092605,0.000250,0.008065,0.013043,230
C3F gpt-oss-20b,perimetre,150,58,B0 mode,"sans objet, aucun item vu",rien,0.620460,0.603101,0.637126,0.047876,0.975006,0.054497,-0.004375,106,0,0.000000,0.000000,0.000000,,,,0.000000,0.164416,-0.164416,-0.223175,-0.105655,0.000250,0.000000,0.000000,230
C3F gpt-oss-20b,perimetre,150,58,B0 tirage,"sans objet, aucun item vu",rien,0.516437,0.503675,0.529310,0.985372,0.522101,1.044026,-0.120729,106,184,0.094340,0.034884,0.158884,0.054348,0.017241,0.099448,0.068966,0.164416,-0.071632,-0.153655,0.017918,0.109500,0.064516,0.078261,230
C3F gpt-oss-20b,perimetre,150,58,B1 argmax,"sans objet, aucun item vu",11 demographies,0.640460,0.623333,0.657126,0.705960,0.665903,0.554468,3.136827,106,57,0.113208,0.035289,0.196431,0.210526,0.064499,0.365385,0.147239,0.164416,-0.040705,-0.111950,0.030180,0.268000,0.016129,0.060870,230
C3F gpt-oss-20b,population,150,58,C3F gpt-oss-20b,voir a41,,0.532759,0.517698,0.548161,0.443838,0.784530,0.427978,0.730494,96,345,0.166667,0.096386,0.241379,0.046377,0.023737,0.074535,0.072562,0.130011,0.042403,-0.030284,0.120781,0.262000,0.119403,0.139130,230
C3F gpt-oss-20b,population,150,58,E1 famille retiree (argmax),oui,"149 moins la famille, et 11 demographies",0.668966,0.652759,0.685057,0.795667,0.615114,0.741904,1.719473,96,28,0.114583,0.047619,0.179251,0.392857,0.200000,0.588235,0.177419,0.130011,-0.038057,-0.072246,-0.001741,0.041500,0.059701,0.082609,230
C3F gpt-oss-20b,population,150,58,E2 famille retiree (tirage),oui,"149 moins la famille, et 11 demographies",0.601034,0.585402,0.616552,0.995011,0.514710,0.998875,1.003138,96,128,0.166667,0.100000,0.234043,0.125000,0.068490,0.190149,0.142857,0.130011,0.030909,-0.030995,0.105782,0.346500,0.134328,0.147826,230
C3F gpt-oss-20b,population,150,58,PMM k=10 famille retiree,oui,"149 moins la famille, et 11 demographies",0.630230,0.614713,0.645980,0.982841,0.520327,0.961606,1.463593,96,114,0.260417,0.146341,0.370378,0.219298,0.115385,0.330580,0.238095,0.130011,0.134357,0.046685,0.218671,0.005500,0.186567,0.217391,230
C3F gpt-oss-20b,population,150,58,"IM m=10 mode, famille retiree",oui,"149 moins la famille, et 11 demographies",0.651839,0.636322,0.667126,0.853734,0.586520,0.821100,1.405019,96,49,0.156250,0.080799,0.234795,0.306122,0.159091,0.462963,0.206897,0.130011,0.007920,-0.047305,0.073419,0.833500,0.082090,0.113043,230
C3F gpt-oss-20b,population,150,58,B2 famille retiree (argmax),oui,149 moins la famille,0.659655,0.643216,0.676210,0.589705,0.713060,0.505551,2.155156,96,3,0.010417,0.000000,0.037037,0.333333,0.000000,1.000000,0.020202,0.130011,-0.130011,-0.192360,-0.072259,0.000250,0.014925,0.013043,230
C3F gpt-oss-20b,population,150,58,B2 famille retiree (tirage),oui,149 moins la famille,0.579540,0.564368,0.594945,0.955101,0.538437,0.957340,0.819955,96,133,0.135417,0.080448,0.193548,0.097744,0.052971,0.146796,0.113537,0.130011,-0.003574,-0.075197,0.078907,0.923500,0.067164,0.095652,230
C3F gpt-oss-20b,population,150,58,humains vague 2,sans objet,la personne elle meme,0.776092,0.756437,0.793793,0.991982,0.516612,0.983777,1.204555,96,96,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.130011,0.869989,0.807640,0.927741,0.000250,0.000000,0.417391,230
C3F gpt-oss-20b,population,150,58,B3 foret,"sans objet, aucun item vu",11 demographies,0.648276,0.629770,0.665977,0.467318,0.770629,0.322382,3.223887,96,5,0.010417,0.000000,0.037978,0.200000,0.000000,1.000000,0.019802,0.130011,-0.130011,-0.192360,-0.072259,0.000250,0.007463,0.008696,230
C3F gpt-oss-20b,population,150,58,B0 mode,"sans objet, aucun item vu",rien,0.620460,0.603101,0.637126,0.047876,0.975006,0.054497,-0.004375,96,0,0.000000,0.000000,0.000000,,,,0.000000,0.130011,-0.130011,-0.192360,-0.072259,0.000250,0.000000,0.000000,230
C3F gpt-oss-20b,population,150,58,B0 tirage,"sans objet, aucun item vu",rien,0.516437,0.503675,0.529310,0.985372,0.522101,1.044026,-0.120729,96,161,0.093750,0.037037,0.157407,0.055901,0.018750,0.103664,0.070039,0.130011,-0.038057,-0.116511,0.045301,0.355500,0.044776,0.065217,230
C3F gpt-oss-20b,population,150,58,B1 argmax,"sans objet, aucun item vu",11 demographies,0.640460,0.623333,0.657126,0.705960,0.665903,0.554468,3.136827,96,38,0.062500,0.011364,0.118526,0.157895,0.028571,0.303063,0.089552,0.130011,-0.072539,-0.116520,-0.020343,0.006500,0.022388,0.039130,230
C3 gpt-oss-20b,perimetre,105,58,C3 gpt-oss-20b,voir a41,,0.606240,0.587681,0.624306,0.678770,0.677463,0.676735,0.657877,87,190,0.482759,0.365079,0.574481,0.221053,0.140449,0.300471,0.303249,0.170868,0.349132,0.236790,0.466478,0.000250,0.178947,0.324176,182
C3 gpt-oss-20b,perimetre,105,58,E1 famille retiree (argmax),oui,"149 moins la famille, et 11 demographies",0.677340,0.656650,0.698034,0.802219,0.616607,0.751581,1.664968,87,39,0.183908,0.098353,0.268817,0.410256,0.250000,0.558157,0.253968,0.170868,-0.024202,-0.083387,0.041366,0.460500,0.063158,0.120879,182
C3 gpt-oss-20b,perimetre,105,58,E2 famille retiree (tirage),oui,"149 moins la famille, et 11 demographies",0.608867,0.590312,0.627094,1.000819,0.518561,1.020995,0.800533,87,128,0.241379,0.154759,0.329268,0.164062,0.097824,0.240008,0.195349,0.170868,0.042465,-0.016463,0.109310,0.171000,0.168421,0.203297,182
C3 gpt-oss-20b,perimetre,105,58,PMM k=10 famille retiree,oui,"149 moins la famille, et 11 demographies",0.643514,0.623805,0.663383,0.985428,0.526364,0.971997,1.329811,87,108,0.310345,0.188235,0.423077,0.250000,0.134018,0.376000,0.276923,0.170868,0.135798,0.036299,0.214162,0.007500,0.189474,0.247253,182
C3 gpt-oss-20b,perimetre,105,58,"IM m=10 mode, famille retiree",oui,"149 moins la famille, et 11 demographies",0.660755,0.641544,0.679803,0.858960,0.589516,0.833138,1.307204,87,62,0.241379,0.133333,0.343756,0.338710,0.188679,0.486111,0.281879,0.170868,0.029132,-0.043580,0.099059,0.413000,0.084211,0.159341,182
C3 gpt-oss-20b,perimetre,105,58,B2 famille retiree (argmax),oui,149 moins la famille,0.667323,0.647126,0.687521,0.600492,0.711125,0.522677,1.983353,87,12,0.057471,0.009901,0.125036,0.416667,0.100000,0.714286,0.101010,0.170868,-0.144202,-0.215798,-0.072029,0.000250,0.021053,0.038462,182
C3 gpt-oss-20b,perimetre,105,58,B2 famille retiree (tirage),oui,149 moins la famille,0.588342,0.570279,0.606076,0.954825,0.546226,0.965741,0.697456,87,133,0.195402,0.121622,0.272727,0.127820,0.070309,0.186216,0.154545,0.170868,0.015798,-0.063548,0.113444,0.696000,0.084211,0.137363,182
C3 gpt-oss-20b,perimetre,105,58,humains vague 2,sans objet,la personne elle meme,0.781609,0.759109,0.803120,0.998057,0.522922,0.990204,1.153272,87,87,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.170868,0.829132,0.763467,0.889749,0.000250,0.000000,0.478022,182
