condition_llm,definition_raretes,personnes,items,methode,regime_severe,conditionnement,exactitude,exactitude_ic_bas,exactitude_ic_haut,diversite_conservee,accord_par_paires,ratio_intra,ratio_inter,cellules_rares_stables,raretes_stables_osees,rappel_stables,rappel_stables_ic_bas,rappel_stables_ic_haut,precision_stables,precision_stables_ic_bas,precision_stables_ic_haut,f1_stables,plancher_segment,exces_segment_stables,exces_segment_ic_bas,exces_segment_ic_haut,exces_segment_p,rappel_instables,rappel_ensemble,cellules_rares_ensemble
C3F Qwen3-4B,perimetre,60,58,C3F Qwen3-4B,voir a41,,0.557184,0.531307,0.583915,0.589760,0.711913,0.640714,0.303760,31,110,0.258065,0.105263,0.476242,0.072727,0.027765,0.126244,0.113475,0.125451,0.124549,-0.046679,0.394537,0.245000,0.301887,0.285714,84
C3F Qwen3-4B,perimetre,60,58,E1 famille retiree (argmax),oui,"149 moins la famille, et 11 demographies",0.691667,0.661207,0.722134,0.802749,0.618751,0.753654,1.614088,31,16,0.096774,0.000000,0.190476,0.187500,0.000000,0.315789,0.127660,0.125451,-0.042117,-0.150394,0.069426,0.385000,0.094340,0.095238,84
C3F Qwen3-4B,perimetre,60,58,E2 famille retiree (tirage),oui,"149 moins la famille, et 11 demographies",0.621552,0.593958,0.647414,0.994562,0.526378,1.051509,0.523058,31,52,0.225806,0.090909,0.363692,0.134615,0.046460,0.212775,0.168675,0.125451,0.041216,-0.095785,0.183893,0.645000,0.226415,0.226190,84
C3F Qwen3-4B,perimetre,60,58,PMM k=10 famille retiree,oui,"149 moins la famille, et 11 demographies",0.655460,0.626422,0.682471,0.980275,0.533528,0.971641,1.338112,31,44,0.129032,0.000000,0.225876,0.090909,0.000000,0.175439,0.106667,0.125451,-0.000451,-0.141230,0.112121,0.960000,0.226415,0.190476,84
C3F Qwen3-4B,perimetre,60,58,"IM m=10 mode, famille retiree",oui,"149 moins la famille, et 11 demographies",0.668103,0.641947,0.692838,0.854373,0.594078,0.845732,1.161692,31,26,0.096774,0.000000,0.235294,0.115385,0.000000,0.263246,0.105263,0.125451,-0.083784,-0.171342,0.055395,0.235000,0.094340,0.095238,84
C3F Qwen3-4B,perimetre,60,58,B2 famille retiree (argmax),oui,149 moins la famille,0.682184,0.656034,0.710927,0.617042,0.707471,0.531299,1.842541,31,5,0.032258,0.000000,0.107143,0.200000,0.000000,0.435714,0.055556,0.125451,-0.125451,-0.177961,-0.065615,0.002500,0.037736,0.035714,84
C3F Qwen3-4B,perimetre,60,58,B2 famille retiree (tirage),oui,149 moins la famille,0.600862,0.573829,0.626731,0.936985,0.559780,0.965859,0.633976,31,51,0.129032,0.000000,0.238095,0.078431,0.000000,0.152249,0.097561,0.125451,-0.000451,-0.120008,0.143418,0.910000,0.113208,0.119048,84
C3F Qwen3-4B,perimetre,60,58,humains vague 2,sans objet,la personne elle meme,0.777299,0.744813,0.804598,0.977101,0.537103,0.991983,0.970508,31,31,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.125451,0.874549,0.822039,0.934385,0.002500,0.000000,0.369048,84
C3F Qwen3-4B,perimetre,60,58,B3 foret,"sans objet, aucun item vu",11 demographies,0.662356,0.634468,0.691394,0.480807,0.766180,0.326746,2.732049,31,7,0.064516,0.000000,0.142962,0.285714,0.000000,0.716071,0.105263,0.125451,-0.083784,-0.158390,-0.036200,0.002500,0.000000,0.023810,84
C3F Qwen3-4B,perimetre,60,58,B0 mode,"sans objet, aucun item vu",rien,0.637644,0.614080,0.660941,0.015859,0.991233,0.020470,-0.003263,31,0,0.000000,0.000000,0.000000,,,,0.000000,0.125451,-0.125451,-0.177961,-0.065615,0.002500,0.000000,0.000000,84
