personnes_communes,llm,adversaire,quantite,difference,ic_bas,ic_haut,p_bootstrap
60,C3F gpt-oss-20b,E1 famille retiree (argmax),rappel des raretes stables,0.064516,-0.055556,0.230769,0.435000
60,C3F gpt-oss-20b,E1 famille retiree (argmax),exactitude,-0.143678,-0.166092,-0.120402,0.000250
60,C3F gpt-oss-20b,E2 famille retiree (tirage),rappel des raretes stables,-0.064516,-0.227273,0.111111,0.586500
60,C3F gpt-oss-20b,E2 famille retiree (tirage),exactitude,-0.073563,-0.095690,-0.050000,0.000250
60,C3F gpt-oss-20b,PMM k=10 famille retiree,rappel des raretes stables,0.032258,-0.093750,0.222222,0.825500
60,C3F gpt-oss-20b,PMM k=10 famille retiree,exactitude,-0.107471,-0.131322,-0.083614,0.000250
60,C3F gpt-oss-20b,"IM m=10 mode, famille retiree",rappel des raretes stables,0.064516,-0.058824,0.200000,0.424500
60,C3F gpt-oss-20b,"IM m=10 mode, famille retiree",exactitude,-0.120115,-0.141092,-0.100568,0.000250
60,C3F gpt-oss-20b,B2 famille retiree (argmax),rappel des raretes stables,0.129032,0.000000,0.290356,0.125500
60,C3F gpt-oss-20b,B2 famille retiree (argmax),exactitude,-0.134195,-0.155747,-0.111782,0.000250
60,C3F gpt-oss-20b,B2 famille retiree (tirage),rappel des raretes stables,0.032258,-0.074074,0.173913,0.776500
60,C3F gpt-oss-20b,B2 famille retiree (tirage),exactitude,-0.052874,-0.074713,-0.030747,0.000250
60,C3F Qwen3-4B,E1 famille retiree (argmax),rappel des raretes stables,0.161290,0.000000,0.380952,0.057000
60,C3F Qwen3-4B,E1 famille retiree (argmax),exactitude,-0.134483,-0.155747,-0.112931,0.000250
60,C3F Qwen3-4B,E2 famille retiree (tirage),rappel des raretes stables,0.032258,-0.133333,0.230833,0.828000
60,C3F Qwen3-4B,E2 famille retiree (tirage),exactitude,-0.064368,-0.085639,-0.040517,0.000250
60,C3F Qwen3-4B,PMM k=10 famille retiree,rappel des raretes stables,0.129032,-0.032258,0.375000,0.190000
60,C3F Qwen3-4B,PMM k=10 famille retiree,exactitude,-0.098276,-0.121552,-0.074713,0.000250
60,C3F Qwen3-4B,"IM m=10 mode, famille retiree",rappel des raretes stables,0.161290,0.000000,0.344828,0.057500
60,C3F Qwen3-4B,"IM m=10 mode, famille retiree",exactitude,-0.110920,-0.129598,-0.092241,0.000250
60,C3F Qwen3-4B,B2 famille retiree (argmax),rappel des raretes stables,0.225806,0.045455,0.454545,0.020500
60,C3F Qwen3-4B,B2 famille retiree (argmax),exactitude,-0.125000,-0.148276,-0.101724,0.000250
60,C3F Qwen3-4B,B2 famille retiree (tirage),rappel des raretes stables,0.129032,0.000000,0.333333,0.115500
60,C3F Qwen3-4B,B2 famille retiree (tirage),exactitude,-0.043678,-0.065230,-0.022414,0.000250
