contraste,avec,sans,mesure,sens_predit,personnes,valeur_avec,valeur_sans,effet,ic_bas,ic_haut,p_bootstrap,tirages,p_holm,p_bh,famille
H1,C3E,C3,chute permutation S_ideo,baisse,94,0.07552549523110796,0.07601063829787236,-0.000485143066764393,-0.006548514306676326,0.0069717534849593815,0.475,200,0.95,0.59375,F1
H1,C3E,C3,chute permutation S_gra,baisse,94,0.07738628026412331,0.0695212765957447,0.007865003668378612,0.00037784299339703735,0.010686216067498238,0.9883720930232558,200,0.9883720930232558,0.9883720930232558,F1
H1,C3E,C3,ratio inter (S_ideo),hausse,94,2.344111146210204,0.7957638865594046,1.5483472596507997,0.5565402185024383,1.1264174316229882,0.0005,2000,,,
H1,C3E,C3,ratio inter (S_gra),hausse,94,0.37694513360963694,0.05069764414000571,0.3262474894696312,0.04204183991173588,0.24214632691315435,0.0015,2000,0.0075,0.0050150451354062184,F1
H1,C3E,C3,ratio intra (S_ideo),aucun,94,0.6718643976454045,0.6629561013745637,0.008908296270840776,-0.01648240342020849,0.0347614469110673,0.463,2000,,,
H1,C3E,C3,ratio intra (S_gra),aucun,94,0.796353613960618,0.6926070038910507,0.10374661006956731,0.05846824668023606,0.14446534620803114,0.0005,2000,,,
H1,C3E,C3,groupe sur personne,hausse,94,3.2325796262561743,0.8185471898506864,2.414032436405488,0.9102685776521094,7.550072596853519,0.0020060180541624875,2000,0.00802407221664995,0.0050150451354062184,F1
H1,C3E,C3,rappel des rares,aucun,94,0.1402805611222445,0.24849699398797595,-0.10821643286573146,-0.14452479338842975,-0.07604322086923039,0.0005,2000,,,
H1,C3E,C3,exactitude,hausse,94,0.6254585473220837,0.6205062362435804,0.0049523110785033575,-0.0029347028613351256,0.012843910491562869,0.1005,2000,0.3015,0.1675,F1
H2,C2,C2S,chute permutation S_ideo,baisse,130,-0.0025358090185676474,0.004062997347479946,-0.006598806366047594,-0.012767904509283837,-9.084880636594194e-05,0.02,200,0.08,0.05,F2
H2,C2,C2S,chute permutation S_gra,baisse,130,0.028336206896551808,0.0020358090185674804,0.026300397877984327,0.011914456233421623,0.03176757294429693,1.0,200,1.0,1.0,F2
H2,C2,C2S,ratio inter (S_ideo),hausse,130,10.076773987902625,0.03846326308748447,10.03831072481514,3.7041572929706414,6.843705608449482,0.0005,2000,0.0025,0.0025,F2
H2,C2,C2S,ratio inter (S_gra),hausse,130,0.5637305178394996,1.3084210985589513,-0.7446905807194517,-0.03254889681383396,0.5236959359498189,0.046,2000,,,
H2,C2,C2S,ratio intra (S_ideo),aucun,130,0.2514262527202376,0.25799838939215386,-0.006572136671916251,-0.06581907490166064,0.04820024011935262,0.766,2000,,,
H2,C2,C2S,ratio intra (S_gra),aucun,130,0.6867545533581937,0.20108567677568595,0.48566887658250774,0.3812733195981722,0.6087457313331598,0.0005,2000,,,
H2,C2,C2S,groupe sur personne,hausse,130,3.143666705356157,,,-34.22253157991916,26.689884834107076,0.29711751662971175,2000,0.6375,0.3713968957871397,F2
H2,C2,C2S,rappel des rares,aucun,130,0.11908396946564885,0.0015267175572519084,0.11755725190839694,0.08619573708291486,0.15184387062487179,0.0005,2000,,,
H2,C2,C2S,exactitude,hausse,130,0.5655172413793104,0.5579575596816975,0.007559681697612897,-0.01087533156498666,0.0250663129973473,0.2125,2000,0.6375,0.3541666666666667,F2
