camp,etendue,identite,condition_a,condition_b,famille,n_items,ratio_a,ratio_b,difference_de_ratios,ic_bas,ic_haut,p,p_holm
gauche,perimetre par paire,journaliste,q4nogab,q4,"F3, format seul, poids fixes",146,1.099049822342507,1.1753574501788602,-0.07630762783635342,-0.1179679065539939,-0.03688928983510931,9.99950002499875e-05,9.99950002499875e-05
gauche,perimetre par paire,journaliste,q4base,q4nogab,"F4, poids seuls, format fixe",144,1.165219288242764,1.0958929367372983,0.06932635150546573,0.01669973082027317,0.12275970555836871,0.0073496325183740815,0.014699265036748163
gauche,perimetre par paire,journaliste,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",145,1.2731556910880941,1.1760189478086671,0.09713674327942698,0.05045317985351755,0.14756572721192845,4.999750012499375e-05,
gauche,perimetre par paire,journaliste,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",144,1.2756451154189752,1.0980351905549808,0.17760992486399443,0.12834484007251906,0.23419082620396703,4.999750012499375e-05,
gauche,perimetre par paire,journaliste,q4base,q4,"hors famille, socle contre instruit sous gabarit",145,1.1636906423584563,1.1731595358404334,-0.009468893481977226,-0.06366291417865216,0.04210876286441066,0.7339133043347833,
gauche,perimetre par paire,adversaire,q4nogab,q4,"F3, format seul, poids fixes",147,1.0723067883622006,1.1766873200884025,-0.10438053172620182,-0.15279252289286482,-0.059756646116170466,4.999750012499375e-05,
gauche,perimetre par paire,adversaire,q4base,q4nogab,"F4, poids seuls, format fixe",144,1.093295735215242,1.066173287884648,0.027122447330594095,-0.03279130424930537,0.0855083769008093,0.36043197840107993,
gauche,perimetre par paire,adversaire,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",144,1.225352873449121,1.1802603134593344,0.04509255998978677,-0.0008805499529398978,0.09271830734538665,0.06604669766511674,
gauche,perimetre par paire,adversaire,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",143,1.2204843059681867,1.0641635361633677,0.15632076980481893,0.10433394831210946,0.21498699011187486,4.999750012499375e-05,
gauche,perimetre par paire,adversaire,q4base,q4,"hors famille, socle contre instruit sous gabarit",144,1.1080286836525932,1.1779229874854185,-0.06989430383282523,-0.12951045675996956,-0.01317896348806436,0.01239938003099845,
centre,perimetre par paire,journaliste,q4nogab,q4,"F3, format seul, poids fixes",143,1.1163470889557188,1.1051248780565532,0.011222210899165468,-0.01679971236514374,0.0371364015513795,0.43227838608069596,
centre,perimetre par paire,journaliste,q4base,q4nogab,"F4, poids seuls, format fixe",143,1.1469649033160443,1.119461012384379,0.02750389093166537,0.0012206146378161394,0.056018114424070294,0.044947752612369385,
centre,perimetre par paire,journaliste,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",143,1.1792833522601505,1.1156059129232871,0.06367743933686336,0.0329922950112628,0.09627918018877403,0.00014999250037498125,
centre,perimetre par paire,journaliste,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",144,1.1739749815532206,1.1211555972409122,0.05281938431230838,0.02387523095011522,0.08358124160443076,0.00039998000099995,
