identite,condition_a,condition_b,contraste,n_cellules,difference_moyenne_a,difference_moyenne_b,ecart,ic_bas,ic_haut,p,p_holm
journaliste,q4nogab,q4,"format seul, poids fixes",336,-0.006192063807780593,0.021484444992681956,-0.027676508800462546,-0.03978392794224946,-0.01549687353241954,4.999750012499375e-05,0.00024998750062496874
journaliste,q4base,q4nogab,"poids seuls, format fixe",336,-0.005719303592634532,-0.006192063807780593,0.0004727602151460613,-0.01182278161986108,0.013143746279582334,0.9416529173541323,0.9416529173541323
journaliste,q4hyb,q4nogab,"hybride contre instruit 2507, format fixe",330,0.004647448385584926,-0.008053750563639097,0.012701198949224023,-0.0015028699429757986,0.02744295698468708,0.07884605769711514,0.23653817309134542
journaliste,q4base,q4,socle contre instruit sous gabarit,336,-0.005719303592634532,0.021484444992681956,-0.02720374858531649,-0.0427628835273021,-0.011062968081978793,0.0010999450027498626,0.00439978001099945
journaliste,q4hyb,q4,hybride contre instruit sous gabarit,330,0.004647448385584926,0.01816643761879538,-0.013518989233210455,-0.02934390763836708,0.00376239745959081,0.10444477776111194,0.23653817309134542
adversaire,q4nogab,q4,"format seul, poids fixes",336,0.00505086954605661,0.023995547402375934,-0.018944677856319325,-0.030164352782174355,-0.007854038785027178,0.0012499375031248437,0.004999750012499375
adversaire,q4base,q4nogab,"poids seuls, format fixe",336,-0.00206680198649739,0.00505086954605661,-0.007117671532553997,-0.018659431515370518,0.004579579480086266,0.23413829308534573,0.5923203839808009
adversaire,q4hyb,q4nogab,"hybride contre instruit 2507, format fixe",330,0.009448626410796872,0.001963898531308298,0.007484727879488575,-0.00637130541123,0.02281396108699807,0.32693365331733415,0.5923203839808009
adversaire,q4base,q4,socle contre instruit sous gabarit,336,-0.00206680198649739,0.023995547402375934,-0.026062349388873324,-0.04005329931893056,-0.012110990787899602,0.0004999750012499375,0.0024998750062496873
adversaire,q4hyb,q4,hybride contre instruit sous gabarit,330,0.009448626410796872,0.019384438247668414,-0.009935811836871545,-0.024633764024104842,0.005400377835505818,0.1974401279936003,0.5923203839808009
