perimetre,etendue,identite,condition_a,condition_b,famille,n_items,valeur_a,valeur_b,difference,ic_bas,ic_haut,p,quantite,camp
79 items orientes,perimetre commun aux 4 conditions,journaliste,q4nogab,q4,"F3, format seul, poids fixes",79,0.727104001617492,0.24461877977591442,0.48248522184157755,0.30007306977428766,0.671469300464699,4.999750012499375e-05,facteur H2b,
79 items orientes,perimetre commun aux 4 conditions,journaliste,q4base,q4nogab,"F4, poids seuls, format fixe",79,0.5661002089418946,0.727104001617492,-0.16100379267559736,-0.3208889384613273,0.004674447609833162,0.06884655767211639,facteur H2b,
79 items orientes,perimetre commun aux 4 conditions,journaliste,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",79,0.2617334829373304,0.24461877977591442,0.017114703161415973,-0.1557551577959544,0.17649021623254682,0.8409079546022699,facteur H2b,
79 items orientes,perimetre commun aux 4 conditions,journaliste,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",79,0.2617334829373304,0.727104001617492,-0.46537051868016155,-0.6554261364932629,-0.28476585248260183,4.999750012499375e-05,facteur H2b,
79 items orientes,perimetre commun aux 4 conditions,journaliste,q4base,q4,"hors famille, socle contre instruit sous gabarit",79,0.5661002089418946,0.24461877977591442,0.32148142916598016,0.1318429163822563,0.5232905152661755,0.0019499025048747563,facteur H2b,
79 items orientes,perimetre commun aux 4 conditions,adversaire,q4nogab,q4,"F3, format seul, poids fixes",77,0.8853821419543134,0.23047178218256895,0.6549103597717445,0.4030999786661017,0.9286801991075692,4.999750012499375e-05,facteur H2b,
79 items orientes,perimetre commun aux 4 conditions,adversaire,q4base,q4nogab,"F4, poids seuls, format fixe",77,0.48173869364796235,0.8853821419543134,-0.403643448306351,-0.6774354207073605,-0.14333601642755395,0.003949802509874506,facteur H2b,
79 items orientes,perimetre commun aux 4 conditions,adversaire,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",77,0.20245738312688633,0.23047178218256895,-0.028014399055682607,-0.1759100368598263,0.13114631603922752,0.728363581820909,facteur H2b,
79 items orientes,perimetre commun aux 4 conditions,adversaire,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",77,0.20245738312688633,0.8853821419543134,-0.6829247588274271,-0.9831817238996012,-0.4241215137222667,4.999750012499375e-05,facteur H2b,
79 items orientes,perimetre commun aux 4 conditions,adversaire,q4base,q4,"hors famille, socle contre instruit sous gabarit",77,0.48173869364796235,0.23047178218256895,0.2512669114653934,0.03183930228939826,0.5008191955252788,0.035048247587620616,facteur H2b,
items retenus stricts,perimetre commun aux 4 conditions,journaliste,q4nogab,q4,"F3, format seul, poids fixes",65,0.8100920067907396,0.3043113573896535,0.505780649401086,0.2907441006626985,0.7248085675423419,4.999750012499375e-05,facteur H2b,
items retenus stricts,perimetre commun aux 4 conditions,journaliste,q4base,q4nogab,"F4, poids seuls, format fixe",65,0.5735651736884668,0.8100920067907396,-0.23652683310227268,-0.4276533256783266,-0.054834895567898154,0.011249437528123594,facteur H2b,
items retenus stricts,perimetre commun aux 4 conditions,journaliste,q4hyb,q4,"hors famille, hybride contre instruit sous gabarit",65,0.2754686505733013,0.3043113573896535,-0.028842706816352176,-0.20560760239580392,0.14953142853986898,0.7513624318784061,facteur H2b,
items retenus stricts,perimetre commun aux 4 conditions,journaliste,q4hyb,q4nogab,"hors famille, hybride contre instruit 2507, format fixe",65,0.2754686505733013,0.8100920067907396,-0.5346233562174382,-0.7509428240733936,-0.33791651814045787,4.999750012499375e-05,facteur H2b,
items retenus stricts,perimetre commun aux 4 conditions,journaliste,q4base,q4,"hors famille, socle contre instruit sous gabarit",65,0.5735651736884668,0.3043113573896535,0.2692538162988134,0.061622120035520755,0.4857775446990569,0.01454927253637318,facteur H2b,
