test,quantite,perimetre,identite,condition_a,condition_b,n_items,facteur_a,facteur_b,difference_de_facteurs,ic_bas,ic_haut,p,hors_bande_0_15,position_lambda,lambda_ic_bas,lambda_ic_haut,p_holm,famille_de_holm
"T1, q4gab3 contre q4","facteur H2b, ecart signe entre camps",79 items orientes,journaliste,q4gab3,q4,79,0.6265204775440117,0.24461877977591442,0.38190169776809735,0.20049651913319125,0.5782948311884551,0.00014999250037498125,True,,,,0.00044997750112494374,True
"T2, q4gab3 contre q4nogab","facteur H2b, ecart signe entre camps",79 items orientes,journaliste,q4gab3,q4nogab,79,0.6265204775440117,0.727104001617492,-0.1005835240734802,-0.1832007637378168,-0.01741474004091992,0.026048697565121744,False,,,,0.026048697565121744,True
"hors famille, q4gab3 contre q4base","facteur H2b, ecart signe entre camps",79 items orientes,journaliste,q4gab3,q4base,79,0.6265204775440117,0.5661002089418946,0.06042026860211717,-0.10591888740072297,0.22926985981389664,0.4902254887255637,False,,,,,False
"T3, q4gab3 contre le milieu de q4 et q4nogab","facteur H2b, ecart signe entre camps",79 items orientes,journaliste,q4gab3,"milieu(q4, q4nogab)",79,0.6265204775440117,0.4858613906967032,0.14065908684730857,0.0381826661764874,0.2531756694352367,0.009649517524123795,False,0.7915303525990554,0.6037705505384267,0.9713013777556984,0.01929903504824759,True
"T1, q4gab3 contre q4","facteur H2b, ecart signe entre camps",79 items orientes,adversaire,q4gab3,q4,79,0.7540695061097286,0.22059098065112476,0.5334785254586039,0.3376583688761845,0.75057993722933,4.999750012499375e-05,True,,,,,False
"T2, q4gab3 contre q4nogab","facteur H2b, ecart signe entre camps",79 items orientes,adversaire,q4gab3,q4nogab,79,0.7540695061097286,0.8585553552235492,-0.10448584911382058,-0.2128038087502129,-0.00046256122958932385,0.05909704514774261,False,,,,,False
"hors famille, q4gab3 contre q4base","facteur H2b, ecart signe entre camps",79 items orientes,adversaire,q4gab3,q4base,79,0.7540695061097286,0.4403488806756602,0.31372062543406837,0.0641052482255159,0.5613071513222979,0.01864906754662267,True,,,,,False
"T3, q4gab3 contre le milieu de q4 et q4nogab","facteur H2b, ecart signe entre camps",79 items orientes,adversaire,q4gab3,"milieu(q4, q4nogab)",79,0.7540695061097286,0.539573167937337,0.21449633817239183,0.11845327458654187,0.3215168931271627,9.99950002499875e-05,True,0.8362199312714775,0.6990548526822843,1.0109619650038835,,False
"T1, q4gab3 contre q4","facteur H2b, ecart signe entre camps",65 items retenus stricts,journaliste,q4gab3,q4,65,0.7076466321179312,0.3043113573896535,0.40333527472827774,0.21202016209539246,0.6168559526613183,0.00034998250087495624,True,,,,,False
"T2, q4gab3 contre q4nogab","facteur H2b, ecart signe entre camps",65 items retenus stricts,journaliste,q4gab3,q4nogab,65,0.7076466321179312,0.8100920067907396,-0.10244537467280834,-0.19718531014866464,-0.005420124402644946,0.042197890105494726,False,,,,,False
"hors famille, q4gab3 contre q4base","facteur H2b, ecart signe entre camps",65 items retenus stricts,journaliste,q4gab3,q4base,65,0.7076466321179312,0.5735651736884668,0.13408145842946434,-0.03880668161519782,0.3191677100395363,0.1488425578721064,False,,,,,False
"T3, q4gab3 contre le milieu de q4 et q4nogab","facteur H2b, ecart signe entre camps",65 items retenus stricts,journaliste,q4gab3,"milieu(q4, q4nogab)",65,0.7076466321179312,0.5572016820901965,0.15044495002773486,0.04345330526425524,0.26494718852948296,0.0095995200239988,True,0.7974509803921566,0.5980601706852732,0.9808973527393472,,False
"T1, q4gab3 contre q4","facteur H2b, ecart signe entre camps",65 items retenus stricts,adversaire,q4gab3,q4,65,0.8075631035437342,0.2702951294005216,0.5372679741432126,0.32183575959775185,0.7496847107731167,4.999750012499375e-05,True,,,,,False
"T2, q4gab3 contre q4nogab","facteur H2b, ecart signe entre camps",65 items retenus stricts,adversaire,q4gab3,q4nogab,65,0.8075631035437342,0.9816607368816963,-0.17409763333796222,-0.2980978268421274,-0.07221510829864258,0.0015499225038748063,True,,,,,False
"hors famille, q4gab3 contre q4base","facteur H2b, ecart signe entre camps",65 items retenus stricts,adversaire,q4gab3,q4base,65,0.8075631035437342,0.4759792601569633,0.3315838433867709,0.07897897991622435,0.6269288212682066,0.02104894755262237,True,,,,,False
"T3, q4gab3 contre le milieu de q4 et q4nogab","facteur H2b, ecart signe entre camps",65 items retenus stricts,adversaire,q4gab3,"milieu(q4, q4nogab)",65,0.8075631035437342,0.6259779331411089,0.18158517040262528,0.08126392918815883,0.2880008460737079,0.0015999200039998,True,0.7552627910218876,0.6329337271702415,0.8746217087362018,,False
"descriptif, ratio H1 camp gauche, q4gab3 contre q4","ratio H1, dispersion interne",camp gauche,journaliste,q4gab3,q4,145,1.1084725556227528,1.1642234191457053,-0.05575086352295235,-0.09186621740243478,-0.01983004467342659,0.0025498725063746812,False,,,,,False
"descriptif, ratio H1 camp gauche, q4gab3 contre q4nogab","ratio H1, dispersion interne",camp gauche,journaliste,q4gab3,q4nogab,145,1.1084725556227528,1.089074788540394,0.019397767082358932,-0.0065827560594935546,0.04243613631516496,0.12589370531473426,False,,,,,False
"descriptif, ratio H1 camp gauche, q4gab3 contre q4base","ratio H1, dispersion interne",camp gauche,journaliste,q4gab3,q4base,143,1.1064341826858728,1.1648221599879396,-0.058387977302066685,-0.10618776065295753,-0.009541451690044953,0.012449377531123443,False,,,,,False
"descriptif, ratio H1 camp gauche, q4gab3 contre q4","ratio H1, dispersion interne",camp gauche,adversaire,q4gab3,q4,146,1.109413248330456,1.181958026299858,-0.07254477796940181,-0.11557348931779214,-0.03362792337096556,0.00039998000099995,False,,,,,False
"descriptif, ratio H1 camp gauche, q4gab3 contre q4nogab","ratio H1, dispersion interne",camp gauche,adversaire,q4gab3,q4nogab,145,1.1049204769335594,1.0708464166447307,0.03407406028882882,0.007876976869193293,0.06411419105677539,0.0167991600419979,False,,,,,False
"descriptif, ratio H1 camp gauche, q4gab3 contre q4base","ratio H1, dispersion interne",camp gauche,adversaire,q4gab3,q4base,143,1.105519064338598,1.108873937212487,-0.0033548728738889808,-0.05326255583212543,0.04814772803654776,0.896255187240638,False,,,,,False
"descriptif, ratio H1 camp centre, q4gab3 contre q4","ratio H1, dispersion interne",camp centre,journaliste,q4gab3,q4,141,1.1623681768827823,1.1187718260046846,0.043596350878097795,0.020771151873330215,0.06858291786487335,0.0002999850007499625,False,,,,,False
"descriptif, ratio H1 camp centre, q4gab3 contre q4nogab","ratio H1, dispersion interne",camp centre,journaliste,q4gab3,q4nogab,143,1.1576465583433766,1.1233039306373471,0.0343426277060296,0.01722744379310343,0.053406842925288675,0.00024998750062496874,False,,,,,False
"descriptif, ratio H1 camp centre, q4gab3 contre q4base","ratio H1, dispersion interne",camp centre,journaliste,q4gab3,q4base,143,1.1650855596770289,1.1493374694065992,0.015748090270429727,-0.007685496039163156,0.042206619543735995,0.2166891655417229,False,,,,,False
"descriptif, ratio H1 camp centre, q4gab3 contre q4","ratio H1, dispersion interne",camp centre,adversaire,q4gab3,q4,145,1.1736052341464969,1.1470643797107913,0.026540854435705682,0.007820136664996846,0.046084702326146365,0.00679966001699915,False,,,,,False
"descriptif, ratio H1 camp centre, q4gab3 contre q4nogab","ratio H1, dispersion interne",camp centre,adversaire,q4gab3,q4nogab,143,1.1712040442706786,1.1735666335172446,-0.002362589246565914,-0.01140515244812807,0.00777597470450836,0.6425678716064197,False,,,,,False
"descriptif, ratio H1 camp centre, q4gab3 contre q4base","ratio H1, dispersion interne",camp centre,adversaire,q4gab3,q4base,141,1.1708032925292633,1.1739480514950345,-0.0031447589657710765,-0.028374682070001014,0.026256358854628112,0.8330083495825209,False,,,,,False
"descriptif, ratio H1 camp droite, q4gab3 contre q4","ratio H1, dispersion interne",camp droite,journaliste,q4gab3,q4,147,1.089069334642924,1.0594328820297794,0.029636452613144737,-0.0070830566444749525,0.06375510663640183,0.09129543522823859,False,,,,,False
"descriptif, ratio H1 camp droite, q4gab3 contre q4nogab","ratio H1, dispersion interne",camp droite,journaliste,q4gab3,q4nogab,148,1.0886340282549622,1.0900995336681338,-0.0014655054131716009,-0.016701472727823723,0.014103127026870086,0.856007199640018,False,,,,,False
"descriptif, ratio H1 camp droite, q4gab3 contre q4base","ratio H1, dispersion interne",camp droite,journaliste,q4gab3,q4base,145,1.0898643143707722,1.0884536227658423,0.0014106916049298078,-0.028062887219632588,0.03200359892598879,0.9256037198140094,False,,,,,False
"descriptif, ratio H1 camp droite, q4gab3 contre q4","ratio H1, dispersion interne",camp droite,adversaire,q4gab3,q4,144,1.0515809935830422,1.0611599958608477,-0.009579002277805415,-0.04782061391910882,0.03002201568686288,0.6431678416079196,False,,,,,False
"descriptif, ratio H1 camp droite, q4gab3 contre q4nogab","ratio H1, dispersion interne",camp droite,adversaire,q4gab3,q4nogab,144,1.0519290688053824,1.0280969141990404,0.02383215460634193,0.002401847437597971,0.045411143375980775,0.023548822558872057,False,,,,,False
"descriptif, ratio H1 camp droite, q4gab3 contre q4base","ratio H1, dispersion interne",camp droite,adversaire,q4gab3,q4base,144,1.049901774262458,1.0494850534985944,0.0004167207638635343,-0.03537093965093403,0.03808081735850088,0.9813509324533773,False,,,,,False
