condition,libelle,quantite,perimetre,identite,n_items,valeur
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","facteur H2b, ecart signe entre camps",79 items orientes,journaliste,79,0.24461877977591442
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","facteur H2b, ecart signe entre camps",79 items orientes,journaliste,79,0.7271040016174922
q4base,"Qwen3-4B-Base, completion a trois exemples","facteur H2b, ecart signe entre camps",79 items orientes,journaliste,79,0.5661002089418947
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","facteur H2b, ecart signe entre camps",79 items orientes,journaliste,79,0.6265204775440116
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","facteur H2b, ecart signe entre camps",79 items orientes,adversaire,79,0.2205909806511248
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","facteur H2b, ecart signe entre camps",79 items orientes,adversaire,79,0.858555355223549
q4base,"Qwen3-4B-Base, completion a trois exemples","facteur H2b, ecart signe entre camps",79 items orientes,adversaire,79,0.44034888067566014
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","facteur H2b, ecart signe entre camps",79 items orientes,adversaire,79,0.7540695061097284
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","facteur H2b, ecart signe entre camps",65 items retenus stricts,journaliste,65,0.3043113573896534
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","facteur H2b, ecart signe entre camps",65 items retenus stricts,journaliste,65,0.8100920067907397
q4base,"Qwen3-4B-Base, completion a trois exemples","facteur H2b, ecart signe entre camps",65 items retenus stricts,journaliste,65,0.5735651736884668
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","facteur H2b, ecart signe entre camps",65 items retenus stricts,journaliste,65,0.7076466321179313
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","facteur H2b, ecart signe entre camps",65 items retenus stricts,adversaire,65,0.2702951294005216
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","facteur H2b, ecart signe entre camps",65 items retenus stricts,adversaire,65,0.9816607368816963
q4base,"Qwen3-4B-Base, completion a trois exemples","facteur H2b, ecart signe entre camps",65 items retenus stricts,adversaire,65,0.47597926015696335
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","facteur H2b, ecart signe entre camps",65 items retenus stricts,adversaire,65,0.8075631035437341
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","ratio H1, dispersion interne",camp gauche,journaliste,147,1.17410748204039
q4,"Qwen3-4B-Instruct-2507, gabarit ChatML, sans exemple","erreur TV(decrit, reel) en part du plancher humain",camp gauche,journaliste,147,11.098066749238122
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","ratio H1, dispersion interne",camp gauche,journaliste,147,1.1010217742911144
q4nogab,"Qwen3-4B-Instruct-2507, completion a trois exemples, sans gabarit","erreur TV(decrit, reel) en part du plancher humain",camp gauche,journaliste,147,11.639243261389568
q4base,"Qwen3-4B-Base, completion a trois exemples","ratio H1, dispersion interne",camp gauche,journaliste,145,1.1636906423584563
q4base,"Qwen3-4B-Base, completion a trois exemples","erreur TV(decrit, reel) en part du plancher humain",camp gauche,journaliste,145,13.385107863604757
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","ratio H1, dispersion interne",camp gauche,journaliste,146,1.1101576135331892
q4gab3,"Qwen3-4B-Instruct-2507, gabarit ChatML ET trois exemples","erreur TV(decrit, reel) en part du plancher humain",camp gauche,journaliste,146,11.50112295807518
