identite,item,gap_olmo3base,gap_olmo3sft,gap_olmo3dpo,gap_olmo3rlvr,gap_signe_reel_w1,famille,n_modalites,sens_codeur_A,retenu_strict,gs_gauche,gs_droite,consensus_reel_gs,consensus,polarite,k_modalites,n_rejets_olmo3base,n_rejets_olmo3dpo,n_rejets_olmo3rlvr,n_rejets_olmo3sft,taux_rejet_olmo3base,taux_rejet_olmo3dpo,taux_rejet_olmo3rlvr,taux_rejet_olmo3sft,complet_4_checkpoints,rejet_au_moins_un,delta_olmo3base_olmo3sft,delta_olmo3sft_olmo3dpo,delta_olmo3dpo_olmo3rlvr
adversaire,abany,0.57,0.91,0.75,0.9,0.5747666926699605,avortement (ab*),2,1,True,0.240062,0.409766,0.32491400000000004,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.3400000000000001,-0.16000000000000003,0.15000000000000002
adversaire,abdefect,0.57,0.9,0.73,0.78,0.2743853110282858,avortement (ab*),2,1,True,0.112987,0.446456,0.2797215,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.33000000000000007,-0.17000000000000004,0.050000000000000044
adversaire,abhlth,0.57,0.9,0.79,0.77,0.0814986564964894,avortement (ab*),2,1,True,0.069521,0.207968,0.1387445,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.33000000000000007,-0.10999999999999999,-0.020000000000000018
adversaire,abnomore,0.57,0.91,0.81,0.9,0.5385643292594839,avortement (ab*),2,1,True,0.222422,0.446456,0.33443900000000004,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.3400000000000001,-0.09999999999999998,0.08999999999999997
adversaire,abpoor,0.58,0.9,0.76,0.1,0.5480988703013493,avortement (ab*),2,1,True,0.189218,0.454173,0.3216955,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.32000000000000006,-0.14,-0.66
adversaire,abrape,0.57,0.95,0.78,0.78,0.2073907139348761,avortement (ab*),2,1,True,0.065048,0.366906,0.215977,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.38,-0.16999999999999993,0.0
adversaire,absingle,0.57,0.91,0.8,0.9,0.5506125220305684,avortement (ab*),2,1,True,0.222422,0.438157,0.3302895,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.3400000000000001,-0.10999999999999999,0.09999999999999998
adversaire,cappun,0.01,0.71,0.26,0.16,0.3953728583398341,residu : social,2,-1,True,0.486672,0.30843,0.397551,intermediaire,negative,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.7,-0.44999999999999996,-0.1
adversaire,colath,0.0,0.0,0.0,0.0,0.159277397359221,libertes civiles (spk/col/lib),2,1,True,0.289522,0.446456,0.367989,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0
adversaire,colcom/y,0.99,0.0,0.0,0.0099999999999999,0.1390959521539395,libertes civiles (spk/col/lib),2,-1,True,0.362963,0.470917,0.41694,intermediaire,negative,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.99,0.0,0.0099999999999999
adversaire,colhomo,0.0,0.92,0.81,0.81,0.0736326601369506,libertes civiles (spk/col/lib),2,1,True,0.056032,0.184399,0.1202155,fort,positive,2,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.92,-0.10999999999999999,0.0
adversaire,conarmy,0.0,-0.045,-0.0949999999999999,-0.04,0.1003113172112912,confiance dans les institutions (con*),3,-1,True,0.614266,0.552379,0.5833225,faible,negative,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.045,-0.049999999999999906,0.0549999999999999
adversaire,conbus,0.0,-0.21,-0.0349999999999999,-0.0349999999999999,0.1173326399121666,confiance dans les institutions (con*),3,-1,True,0.583379,0.525898,0.5546385,faible,negative,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.21,0.1750000000000001,0.0
adversaire,conclerg,0.0,-0.105,-0.0949999999999999,-0.04,0.220392360810147,confiance dans les institutions (con*),3,-1,True,0.521433,0.63344,0.5774365,faible,negative,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,-0.105,0.010000000000000092,0.0549999999999999
adversaire,coneduc,0.0,0.21,0.14,0.04,0.1894303834041201,confiance dans les institutions (con*),3,1,False,0.519669,0.6017,0.5606845,faible,positive,3,0,0,0,0,0.0,0.0,0.0,0.0,True,False,0.21,-0.06999999999999998,-0.1
