bloc,ancrage,plancher_moyen,ecart_humain_moyen,resolution,configuration,n_lignes,taux_non_parse,chute_critere_1,camp,soutien_simule_moyen,soutien_reel_moyen,soutien_reel_du_camp,n_personnes,moyenne,ic_bas,ic_haut,reel_moyen_4ou5,reel_moyen_3a5,plancher_groupe,erreur_type_moyenne_camp,plancher_individuel,ecart_humain_entre_camps
critere de chute 5,ideologie,15.2672516457995,7.522349695286991,non,,,,,,,,,,,,,,,,,,
critere de chute 5,parti,15.525647710874983,6.684824216187853,non,,,,,,,,,,,,,,,,,,
parse,,,,,demographics_only__gpt41_mini,2058.0,0.0,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,demographics_only__gpt41_mini,,,,gauche,79.94499449944995,65.8600583090379,76.76567656765677,,,,,,,,,,
H5 premier ordre,ideologie,,,,demographics_only__gpt41_mini,,,,droite,57.74250440917107,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,demographics_only__gpt41_mini,,,,gauche,79.92916174734356,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,demographics_only__gpt41_mini,,,,droite,57.03703703703703,65.8600583090379,51.629629629629626,,,,,,,,,,
parse,,,,,json_persona__gpt41,2058.0,0.0,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,json_persona__gpt41,,,,gauche,79.72497249724972,65.8600583090379,76.76567656765677,,,,,,,,,,
H5 premier ordre,ideologie,,,,json_persona__gpt41,,,,droite,17.266313932980598,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,json_persona__gpt41,,,,gauche,79.35064935064936,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,json_persona__gpt41,,,,droite,16.24074074074074,65.8600583090379,51.629629629629626,,,,,,,,,,
parse,,,,,json_persona__gpt41_mini,1000.0,0.003,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,json_persona__gpt41_mini,,,,gauche,79.78048780487805,65.8600583090379,76.76567656765677,,,,,,,,,,
H5 premier ordre,ideologie,,,,json_persona__gpt41_mini,,,,droite,26.936026936026934,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,json_persona__gpt41_mini,,,,gauche,79.80295566502464,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,json_persona__gpt41_mini,,,,droite,25.774647887323944,65.8600583090379,51.629629629629626,,,,,,,,,,
parse,,,,,json_persona_predicted_output__gpt41,2050.0,0.0,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,json_persona_predicted_output__gpt41,,,,gauche,79.74557522123894,65.8600583090379,76.76567656765677,,,,,,,,,,
H5 premier ordre,ideologie,,,,json_persona_predicted_output__gpt41,,,,droite,24.4070796460177,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,json_persona_predicted_output__gpt41,,,,gauche,79.56109134045077,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,json_persona_predicted_output__gpt41,,,,droite,23.568773234200744,65.8600583090379,51.629629629629626,,,,,,,,,,
parse,,,,,json_persona_predicted_output__gpt41_mini,2058.0,0.3100097181729835,oui,,,,,,,,,,,,,,
parse,,,,,llm_finetuning_500_training_samples__gpt41_mini,1558.0,0.0,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,llm_finetuning_500_training_samples__gpt41_mini,,,,gauche,95.34530386740332,65.8600583090379,76.76567656765677,,,,,,,,,,
H5 premier ordre,ideologie,,,,llm_finetuning_500_training_samples__gpt41_mini,,,,droite,65.4381443298969,65.8600583090379,50.0352733686067,,,,,,,,,,
H5 premier ordre,parti,,,,llm_finetuning_500_training_samples__gpt41_mini,,,,gauche,95.02276176024279,65.8600583090379,76.54073199527744,,,,,,,,,,
H5 premier ordre,parti,,,,llm_finetuning_500_training_samples__gpt41_mini,,,,droite,65.77956989247312,65.8600583090379,51.629629629629626,,,,,,,,,,
parse,,,,,persona_summary__gpt41_mini,2058.0,0.0,non,,,,,,,,,,,,,,
H5 premier ordre,ideologie,,,,persona_summary__gpt41_mini,,,,gauche,75.96259625962597,65.8600583090379,76.76567656765677,,,,,,,,,,
