condition,etiquette,n,segmentation,n_cellules,exactitude_vraie,exactitude_ic_bas,exactitude_ic_haut,exactitude_permutee,permutee_bas,permutee_haut,chute,chute_ic_bas,chute_ic_haut,chute_ecart_type,chute_relative,exactitude_reassignation_optimale,gain_hongrois_absolu,part_recuperee_par_reassignation,permutations,masque_douteux,plancher_humain_chute_relative,plancher_humain_chute_absolue,part_du_plancher_humain
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_ideo,5,0.7118506756444075,0.7080323447406174,0.7156774593340738,0.3865391344462955,0.38349732027164607,0.3890860868156787,0.325311541198112,0.321982767211193,0.32844597457463726,0.0016740322441755541,0.45699407520210833,0.712119371558147,0.32558023711185147,1.0008259648973714,200,False,0.45688222645957377,0.3252319215951688,1.0002448086969837
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_fin,24,0.7118506756444075,0.7080323447406174,0.7156774593340738,0.39024858710491,0.3873415012263409,0.39313588232912217,0.3216020885394975,0.3190453690206242,0.32473925332037584,0.001662126513421672,0.45178307690494934,0.7119062080614559,0.3216576209565459,1.0001726743047614,200,False,0.45163055866269086,0.3214935183256977,1.0003377057626706
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_gra,40,0.7118506756444075,0.7080323447406174,0.7156774593340738,0.3870035098222963,0.3836917705007173,0.3902299099912074,0.3248471658221112,0.32160309477532517,0.32798426456183394,0.0017493517300665874,0.4563417257812408,0.7120115401532514,0.3250080303309551,1.0004952005920593,200,False,0.45626244879998673,0.32479073244944245,1.0001737530262738
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_parti,4,0.7118506756444075,0.7080323447406174,0.7156774593340738,0.38309418818547825,0.380512395009024,0.3857531584062196,0.32875648745892927,0.32550704422925636,0.33209056411680327,0.001741370763452378,0.4618334978207618,0.7124363691054653,0.329342180919987,1.0017815419114153,200,False,0.4618658359543651,0.3287795073811839,0.9999299837072025
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_ideo,5,0.49958755611087974,0.49619321665741123,0.5030226193368504,0.37369948863899294,0.3709652083622565,0.37593776030820486,0.1258880674718868,0.12333293988230226,0.1280953522452067,0.0011781687428830076,0.2519839934602912,0.5328572585496784,0.15915776991068542,1.2642800315147293,200,False,0.45688222645957377,0.3252319215951688,0.5515294289579624
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_fin,24,0.49958755611087974,0.49619321665741123,0.5030226193368504,0.37618619701281875,0.37386539607339536,0.37856317101670595,0.12340135909806099,0.12088041759220705,0.1254853324039365,0.0011354631402064061,0.24700647081504365,0.5182808667684761,0.14209466975565732,1.1514838312497164,200,False,0.45163055866269086,0.3214935183256977,0.5469215182126886
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_gra,40,0.49958755611087974,0.49619321665741123,0.5030226193368504,0.3728408475635152,0.37055810079133694,0.3752718774584664,0.12674670854736453,0.12393656366174598,0.12914869315640087,0.001283954446220609,0.25370269334577666,0.5183809060814408,0.14554005851792562,1.1482748560964653,200,False,0.45626244879998673,0.32479073244944245,0.5560455260191556
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_parti,4,0.49958755611087974,0.49619321665741123,0.5030226193368504,0.3723467594520801,0.36975101520199916,0.3749954373756305,0.12724079665879962,0.12508186027812473,0.12928702315393292,0.001173062902698518,0.25469168537608544,0.5362872529964368,0.16394049354435664,1.2884271228194875,200,False,0.4618658359543651,0.3287795073811839,0.5514408417972928
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_ideo,5,0.5646367595818815,0.5612020905923345,0.5681254573170732,0.3913680589430895,0.38870323751451796,0.3938509509291521,0.17326870063879202,0.17046505013550137,0.17618508255903984,0.0014225859742321067,0.30686755280881645,0.578215737514518,0.18684767857142853,1.0783694797881829,200,True,0.45699308929146065,0.32534179297328686,0.6714927643317221
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_fin,24,0.5646367595818815,0.5612020905923345,0.5681254573170732,0.3905313051684088,0.3875452380952381,0.3935755807200929,0.17410545441347275,0.171517793263647,0.17708635307781648,0.0014421360413813926,0.30834948568066906,0.5700900116144019,0.1795587064459931,1.0313215461910212,200,True,0.452191317402758,0.3219233231707317,0.6819005005485945
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_gra,40,0.5646367595818815,0.5612020905923345,0.5681254573170732,0.38247266840882704,0.3796323025551684,0.38517667682926826,0.1821640911730545,0.17959699051490505,0.18500785578784354,0.001460904153075784,0.32262173526914645,0.5699281298659044,0.1874554614570773,1.0290472740810155,200,True,0.4565191384291108,0.3250043786295006,0.706699255543355
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_parti,4,0.5646367595818815,0.5612020905923345,0.5681254573170732,0.38638810975609755,0.3835453034262485,0.3888076872822299,0.17824864982578398,0.17526099622531954,0.18098393466898957,0.001389313458785501,0.31568729240685406,0.5796440185830429,0.19325590882694538,1.084192834087827,200,True,0.46182078653358066,0.32877871951219517,0.6835709903324139
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_ideo,5,0.4624762830302189,0.4572771400226758,0.46772729244759126,0.334451818397427,0.33194354059651066,0.33694343213475864,0.12802446463279193,0.12572750859981183,0.1304170534653771,0.0011869774019281642,0.2768238487689684,0.48824274607802304,0.15379092768059605,1.201262025361396,200,True,0.45688222645957377,0.3252319215951688,0.6058976093557067
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_fin,24,0.4624762830302189,0.4572771400226758,0.46772729244759126,0.3354350863644778,0.33314386511407285,0.33772045935721223,0.12704119666574115,0.12497351161553057,0.12914527791275243,0.0011755635014016731,0.2746977549493929,0.4761173006617613,0.1406822142972835,1.1073747570831949,200,True,0.45163055866269086,0.3214935183256977,0.6082355360602522
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_gra,40,0.4624762830302189,0.4572771400226758,0.46772729244759126,0.32893026198574665,0.3267414474293119,0.33196727202785875,0.13354602104447227,0.13097606475696869,0.13608220301726132,0.0013726656077962865,0.2887629613554608,0.4763571544320207,0.14742689244627405,1.1039407336380265,200,True,0.45626244879998673,0.32479073244944245,0.6328878524080486
