segmentation,etendue,n_conditions,pearson,spearman,variance_partagee
S_ideo,les seize conditions de la famille primaire,16,0.5119097068185822,0.8029411764705883,0.2620515479350867
S_ideo,famille primaire plus le plancher humain,17,0.7745986774304577,0.8357843137254902,0.6000031110770143
S_ideo,"toutes conditions, temoins compris",19,0.7632060093595258,0.8245614035087718,0.5824834127224925
S_fin,les seize conditions de la famille primaire,16,0.5130617913918714,0.8029411764705883,0.26323240178623614
S_fin,famille primaire plus le plancher humain,17,0.7708937682304012,0.8357843137254902,0.5942772018964676
S_fin,"toutes conditions, temoins compris",19,0.7607368712388478,0.8245614035087718,0.5787205872622713
S_gra,les seize conditions de la famille primaire,16,0.5291093384857465,0.7911764705882354,0.27995669207282425
S_gra,famille primaire plus le plancher humain,17,0.7693980659217969,0.8259803921568629,0.5919733838442018
S_gra,"toutes conditions, temoins compris",19,0.7572394772490536,0.8157894736842105,0.57341162590442
S_parti,les seize conditions de la famille primaire,16,0.5263823571987716,0.7911764705882354,0.2770783859701352
S_parti,famille primaire plus le plancher humain,17,0.7801877271309283,0.8259803921568629,0.6086928895657239
S_parti,"toutes conditions, temoins compris",19,0.7659353419531669,0.8017543859649122,0.5866569480529148
