condition,etiquette,n,axes,nul_conditionne_sur,terme,ratio_mesure,ratio_nul_moyen,nul_bas,nul_haut,part_reproduite_borne_inferieure,replicats
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,six axes de a6,ideologie seule,inter,1.0073798872787973,0.7740357743826991,0.7339011360771953,0.811308486294202,0.7683653248960299,50
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,six axes de a6,ideologie seule,intra,1.0090314132777625,1.0101679177380674,1.0077685293687633,1.0123635669437898,1.0011263320897146,50
Demographics Only - GPT4.1-mini,Demographics Only,2058,six axes de a6,ideologie seule,inter,1.5801714404673002,1.3642393326126487,1.3115954182854235,1.4093224053369318,0.8633489364984381,50
Demographics Only - GPT4.1-mini,Demographics Only,2058,six axes de a6,ideologie seule,intra,0.5016088674936957,0.5031313193136632,0.5006303773247741,0.5050409788224105,1.0030351373722208,50
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,six axes de a6,ideologie seule,inter,3.8216855510977337,3.583917537453951,3.51743043153158,3.6433327935566915,0.9377845166838787,50
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,six axes de a6,ideologie seule,intra,0.5745006231659422,0.5760608410353601,0.5745527151469502,0.5774907023393401,1.0027157809870073,50
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,six axes de a6,ideologie seule,inter,2.448368387710994,2.30459486061586,2.26049643154951,2.3556063561125704,0.9412778208472341,50
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,six axes de a6,ideologie seule,intra,0.45445574320239135,0.4549579002454878,0.4529109134051783,0.4572473778224416,1.0011049635758984,50
JSON Persona - GPT4.1,JSON Persona 4.1,2058,six axes de a6,ideologie seule,inter,3.7634855507054352,3.539118912361245,3.4614607209087986,3.6056346590325257,0.9403832868968676,50
JSON Persona - GPT4.1,JSON Persona 4.1,2058,six axes de a6,ideologie seule,intra,0.6323184271491799,0.6336044150190403,0.6307826270034869,0.6367489825771679,1.002033766239675,50
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,six axes de a6,ideologie seule,inter,2.656875901387029,2.6414285491907106,2.580784813004569,2.713449600580507,0.994185896229382,50
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,six axes de a6,ideologie seule,intra,0.6053866190367183,0.6040799890324803,0.6007738154027984,0.6066515693099718,0.9978416602495821,50
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,six axes de a6,ideologie seule,inter,1.0717469728404396,0.9181075644839393,0.8625680267683724,0.9723375679627673,0.8566458200956598,50
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,six axes de a6,ideologie seule,intra,0.5520297671000812,0.5524089917158712,0.5491224370408275,0.5550726169840743,1.0006869640704017,50
