condition,etiquette,n,segmentation,axe,terme,ratio_mesure,ratio_nul_moyen,nul_bas,nul_haut,part_reproduite,d,z,d_ic_bas,d_ic_haut,d_ecart_type_sous_ech,p_replicats,replicats,taux_repli_nul,masque_douteux
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_ideo,ideologie politique,inter,0.9499995193084841,1.2076426460238188,1.1496103614955335,1.260495004475262,1.2712034285058125,-0.2576431267153346,-8.63380492172171,-0.33422557147556775,-0.19625561131915864,0.0368492543371875,0.005,200,0.0,False
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_ideo,ideologie politique,intra,1.0101473594282713,1.0038997665399296,1.0010937985765542,1.0066073733109386,0.9938151668367695,0.0062475928883416465,4.438411385570892,0.005460618140586864,0.0072298747554820665,0.00047507985484551566,0.005,200,0.0,False
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_ideo,ideologie politique,inter,1.8672338240979425,1.9805284456678378,1.9099416638968958,2.0491305102185926,1.0606751120870617,-0.11329462156989534,-3.1671113780974807,-0.1479374242907887,-0.0789068329909062,0.017500326313427628,0.005,200,0.0,False
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_ideo,ideologie politique,intra,0.4852066950384401,0.48245222291687695,0.4799654616193671,0.48520723165474944,0.9943230953947473,0.0027544721215631562,2.2258610711716167,0.0018830472833368276,0.0035722076405499334,0.0004772087765502629,0.05,200,0.0,False
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_ideo,ideologie politique,inter,5.3334897688991605,5.460855005014349,5.378262882487576,5.558969601102122,1.0238802813231003,-0.1273652361151889,-2.6430267572029487,-0.16701899410565935,-0.09414665535040406,0.019977180514983633,0.01,200,0.0,True
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_ideo,ideologie politique,intra,0.5132039418791516,0.5102497078477672,0.5079345365949473,0.5123477692819299,0.994243547661448,0.002954234031384395,2.455716413417103,0.002133295484239568,0.003696452155113398,0.0004250539215628091,0.005,200,0.0,True
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_ideo,ideologie politique,inter,3.292532952987522,3.4063736560954982,3.3370252274678824,3.483398306700237,1.034575417993822,-0.11384070310797645,-3.0420809143419048,-0.151409013701071,-0.08372724294769232,0.018693152323254122,0.005,200,0.0,True
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_ideo,ideologie politique,intra,0.41840244382441727,0.41532883707700136,0.4131789168459196,0.4177856797039019,0.9926539464747827,0.0030736067474159134,2.4084331762966453,0.00219921149739023,0.003938243699827955,0.0004705643253463295,0.01,200,0.0,True
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_ideo,ideologie politique,inter,5.1524896372413025,5.3086536268050795,5.210232078984364,5.402386290848476,1.030308452914694,-0.15616398956377697,-2.9112472141365195,-0.19968066753492458,-0.11525770778067704,0.022837159552122618,0.005,200,0.0,False
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_ideo,ideologie politique,intra,0.5746693838757868,0.5707283317214681,0.5680939130373017,0.5731331248680184,0.9931420530397169,0.003941052154318725,2.768025810861609,0.0029484117609611194,0.004792009895285632,0.000489988130088847,0.005,200,0.0,False
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_ideo,ideologie politique,inter,3.7811106555962084,4.075087854875468,3.949479601197354,4.217589617242451,1.0777489013298673,-0.2939771992792597,-4.449187629288036,-0.38259020160858176,-0.1875380628312957,0.05152996015589334,0.005,200,0.0,False
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_ideo,ideologie politique,intra,0.5660971713620088,0.5598469048629799,0.5567216980671792,0.5630796603864303,0.9889590218513353,0.006250266499028823,3.608373508688997,0.004844782858842765,0.007460498535979828,0.0006466142654218614,0.005,200,0.0,False
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_ideo,ideologie politique,inter,1.360238447378765,1.5406188075015723,1.4559852857018944,1.6313187660193644,1.132609367475539,-0.18038036012280734,-4.047084752371273,-0.24830936469723908,-0.11944686444815616,0.03344003968774467,0.005,200,0.0,False
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_ideo,ideologie politique,intra,0.541323494107107,0.5366890604715299,0.53310139446349,0.5401082617919885,0.991438698512021,0.00463443363557714,2.5840722557444655,0.003486358717374175,0.0057207239114908486,0.0006532235266720472,0.005,200,0.0,False
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_ideo,ideologie politique,inter,2.891306396693182,3.0267365756057716,2.9530898179213123,3.107877240822059,1.0468404798147586,-0.13543017891258957,-3.3880140609590197,-0.17562492509219588,-0.1013319941620626,0.018735939639625238,0.005,200,0.0,False
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_ideo,ideologie politique,intra,0.556421357524297,0.5530997805849792,0.550719027278749,0.5555605955423979,0.9940304646929863,0.003321576939317783,2.6812639016212985,0.002339774793510333,0.004042272599399719,0.0004126384331054879,0.005,200,0.0,False
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,S_ideo,ideologie politique,inter,2.4506379584865483,2.6204932073302563,2.5354418812260833,2.6922286118164527,1.0693106251192674,-0.16985524884370795,-4.328285706919281,-0.21166532363151586,-0.12500813673370198,0.024231336103278264,0.005,200,0.0,False
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,2058,S_ideo,ideologie politique,intra,0.5573424207680586,0.5527430993580505,0.5496221150547024,0.5559388386880205,0.9917477636034417,0.004599321410008073,2.841489159254236,0.003687613166505342,0.005688604361648181,0.0005461547681213163,0.01,200,0.0,False
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,S_ideo,ideologie politique,inter,4.425043836769558,4.574539791041145,4.491373862262821,4.668280276231122,1.0337840617598772,-0.14949595427158702,-3.166615480878204,-0.1880287521081997,-0.11198324899318751,0.023132285553540043,0.005,200,0.0,False
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,2058,S_ideo,ideologie politique,intra,0.5738441140816899,0.5699391248393144,0.5672754289231203,0.5729395540227918,0.9931950347724232,0.0039049892423754784,2.659808385383749,0.0027811439628515405,0.004920615786894572,0.0005527509879361361,0.005,200,0.0,False
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,S_ideo,ideologie politique,inter,4.17336611971617,4.322315714061316,4.2254932805008885,4.406485350522315,1.0356905169765638,-0.14894959434514643,-3.260518873474795,-0.18560870903889776,-0.11215877462889376,0.020703977260238007,0.005,200,0.0,False
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,2058,S_ideo,ideologie politique,intra,0.6121782958694015,0.6084468664991136,0.60617734785865,0.6111927241473477,0.9939046689576136,0.0037314293702879198,2.8260353164018683,0.002981110336298314,0.004489189964975551,0.00041411481429164164,0.005,200,0.0,False
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,S_ideo,ideologie politique,inter,4.715674052924411,4.871316561911094,4.785786340257994,4.9594978856800465,1.0330053577155447,-0.15564250898668242,-3.3069613664989657,-0.20307394326654893,-0.11280340231315308,0.02508349632465122,0.005,200,0.0,False
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,2058,S_ideo,ideologie politique,intra,0.5808864026758168,0.5769820011352899,0.5740800459507011,0.580102412845499,0.9932785454737078,0.0039044015405269583,2.5620567685346565,0.0028542211942351797,0.0049697238922085775,0.0005182891115079909,0.02,200,0.0,False
Text Persona - GPT4.1-mini,Text Persona mini,2058,S_ideo,ideologie politique,inter,4.980996569265955,5.099772937977344,5.009361778763334,5.1961496998437235,1.0238459045413264,-0.11877636871138986,-2.444213372682182,-0.15763299958105859,-0.0776516947686976,0.022186844718951125,0.02,200,0.0,False
Text Persona - GPT4.1-mini,Text Persona mini,2058,S_ideo,ideologie politique,intra,0.5017472154644861,0.49859891448615073,0.4956379935402152,0.5013835602201635,0.993725324463593,0.00314830097833535,2.2991362033629805,0.0020593817720407047,0.0041030929881750436,0.0005170163504446912,0.02,200,0.0,False
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_ideo,ideologie politique,inter,4.157452652290229,4.36701284218389,4.290350526553909,4.436047694812291,1.0504059113645514,-0.20956018989366054,-5.551000730419306,-0.26134726023923954,-0.15858617712663647,0.02766947269186334,0.005,200,0.0,False
Text Persona - Gemini-Flash2.5,Text Persona Gemini,2058,S_ideo,ideologie politique,intra,0.7061934595174556,0.700986916523007,0.6979777789020364,0.7037504681563056,0.9926273134871482,0.00520654299444856,3.5576673483653436,0.004096983096947124,0.0063899112044396265,0.0005576206655430419,0.005,200,0.0,False
B0 mode,B0 mode,2058,S_ideo,ideologie politique,inter,0.0002969414655478129,0.0015089360585037307,-0.00017192749594533905,0.004083423096476634,5.081594299132213,-0.0012119945929559177,-1.1087326839072247,-0.002603050671939002,5.187114586572574e-05,0.0006784047197315737,0.26,200,0.0,False
B0 mode,B0 mode,2058,S_ideo,ideologie politique,intra,0.016270403932698786,0.0162463133073972,0.015908044254232884,0.016567653269773712,0.9985193591135638,2.4090625301585733e-05,0.13728330499447913,-8.213370954198083e-05,0.00013126315710286154,5.7481303104685415e-05,0.91,200,0.0,False
B0 tirage,B0 tirage,2058,S_ideo,ideologie politique,inter,0.001675315824782082,0.14535286442905349,0.12653244587688098,0.1668327929045729,86.76147045167461,-0.1436775486042714,-13.905216686516274,-0.1732114752461928,-0.11369263085318321,0.016432585817924696,0.005,200,0.0,False
B0 tirage,B0 tirage,2058,S_ideo,ideologie politique,intra,1.0182149722838703,1.014774992259111,1.0128366722653515,1.0166910187220262,0.9966215581990084,0.003439980024759315,3.519925234697119,0.0027518027600106597,0.004022631041529547,0.00032313118179662413,0.005,200,0.0,False
B1 argmax,B1 argmax,2058,S_ideo,ideologie politique,inter,3.885293342557897,4.014987961960198,3.949351226889654,4.096766140216699,1.0333809079437273,-0.1296946194023012,-3.6525253450779274,-0.16896548357017932,-0.10227536407363697,0.018833625034766748,0.005,200,0.0,False
B1 argmax,B1 argmax,2058,S_ideo,ideologie politique,intra,0.703025479894892,0.6998860980081606,0.6974961220124625,0.702689467375598,0.9955344692667459,0.0031393818867313517,2.330323626110025,0.002432100021324434,0.003978115283570956,0.00041164094733041107,0.04,200,0.0,False
B2 argmax,B2 argmax,2058,S_ideo,ideologie politique,inter,0.3167710189473235,0.4101528602614134,0.3787714093262577,0.4388182823958088,1.2947928810672498,-0.09338184131408989,-5.584609033114675,-0.11611819766671078,-0.07258027197365469,0.011758923036912061,0.005,200,0.0,False
B2 argmax,B2 argmax,2058,S_ideo,ideologie politique,intra,0.5383302743285705,0.5360009029009905,0.5335127794707335,0.5383495242670057,0.9956729696644214,0.0023293714275800514,1.784100149176086,0.0016412605027828144,0.0029654283807132656,0.00039982003457625327,0.06,200,0.0,False
PMM k=10,PMM k=10,2058,S_ideo,ideologie politique,inter,0.9157750414738001,1.0456299899972286,1.0037421074888222,1.0905908059759946,1.1417978680817145,-0.1298549485234285,-5.8804712657967455,-0.16116442771155748,-0.09936356888762984,0.01753298661257546,0.005,200,0.0,False
PMM k=10,PMM k=10,2058,S_ideo,ideologie politique,intra,0.9000597448727888,0.896899608226197,0.8950568694497969,0.8990556295561177,0.9964889701327121,0.003160136646591871,3.1054342539600914,0.0024694058951464067,0.0037944445670683646,0.00031721458968967243,0.005,200,0.0,False
