condition,etiquette,segmentation,difference_moyenne,difference_bas,difference_haut,part_des_sous_echantillons_positifs,p,sous_echantillons,p_holm,verdict_holm_5pc
Demographics Only - GPT4.1-mini,Demographics Only,S_gra,0.12483366197726256,0.12142185258457129,0.12846338572276986,1.0,0.0005,2000,0.008,True
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,S_gra,0.17910061220480059,0.17544951267905518,0.1827875914634145,1.0,0.0005,2000,0.008,True
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,S_gra,0.13130920121052958,0.12780822178644693,0.13479333745970049,1.0,0.0005,2000,0.008,True
JSON Persona - GPT4.1,JSON Persona 4.1,S_gra,0.1821470180345381,0.178410355156802,0.18584328867601463,1.0,0.0005,2000,0.008,True
JSON Persona - GPT4.1-mini,JSON Persona mini,S_gra,0.15855432188492063,0.1533018779761905,0.16407190674603173,1.0,0.0005,2000,0.008,True
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,S_gra,0.08605506722853883,0.08109682870794864,0.0911328779265237,1.0,0.0005,2000,0.008,True
Persona Summary - GPT4.1-mini,Persona Summary,S_gra,0.1447895232696253,0.14100947859302432,0.14836567710984624,1.0,0.0005,2000,0.008,True
Persona Summary - JSON Persona - GPT4.1-mini,Summary + JSON,S_gra,0.11350546429342712,0.10969455772671884,0.11708082666173045,1.0,0.0005,2000,0.008,True
Text Persona (Default Temperature) - GPT4.1-mini,Text temp. defaut,S_gra,0.15075915480818175,0.14731204735295464,0.1542698147569685,1.0,0.0005,2000,0.008,True
Text Persona (Reasoning) - GPT4.1-mini,Text raisonnement,S_gra,0.15981916074706523,0.15621910768275563,0.16346125408780296,1.0,0.0005,2000,0.008,True
Text Persona (Repeating Questions) - GPT4.1-mini,Text repetition,S_gra,0.1566861809122742,0.1532551854358522,0.1599866881276321,1.0,0.0005,2000,0.008,True
Text Persona - GPT4.1-mini,Text Persona mini,S_gra,0.15473849391457264,0.1513453615006094,0.15817307651518656,1.0,0.0005,2000,0.008,True
Text Persona - Gemini-Flash2.5,Text Persona Gemini,S_gra,0.1721681311124223,0.16849827377095966,0.17576217037268413,1.0,0.0005,2000,0.008,True
B1 argmax,B1 argmax,S_gra,0.023773210400373296,0.020219517427152306,0.027065721555062067,1.0,0.0005,2000,0.008,True
B2 argmax,B2 argmax,S_gra,0.027773871351828724,0.02455854620759862,0.03124631904916162,1.0,0.0005,2000,0.008,True
PMM k=10,PMM k=10,S_gra,0.03016665308243479,0.02686461804109388,0.03357055461073322,1.0,0.0005,2000,0.008,True
