condition,etiquette,n,segmentation,gain_hongrois_absolu,plancher_B0_tirage,au_dessus_du_plancher,chute,rapport_publie
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_ideo,0.32558023711185147,0.14228405699014296,True,0.325311541198112,1.0008259648973714
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_fin,0.3216576209565459,0.11532061872367988,True,0.3216020885394975,1.0001726743047614
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_gra,0.3250080303309551,0.11463130551174755,True,0.3248471658221112,1.0004952005920593
humains vagues 1-3 (retest),humains v1-3 (plancher),2058,S_parti,0.329342180919987,0.14780919987042418,True,0.32875648745892927,1.0017815419114153
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_ideo,0.15915776991068542,0.14228405699014296,True,0.1258880674718868,1.2642800315147293
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_fin,0.14209466975565732,0.11532061872367988,True,0.12340135909806099,1.1514838312497164
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_gra,0.14554005851792562,0.11463130551174755,True,0.12674670854736453,1.1482748560964653
Demographics Only - GPT4.1-mini,Demographics Only,2058,S_parti,0.16394049354435664,0.14780919987042418,True,0.12724079665879962,1.2884271228194875
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_ideo,0.18684767857142853,0.14228405699014296,True,0.17326870063879202,1.0783694797881829
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_fin,0.1795587064459931,0.11532061872367988,True,0.17410545441347275,1.0313215461910212
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_gra,0.1874554614570773,0.11463130551174755,True,0.1821640911730545,1.0290472740810155
JSON Persona (Predicted Output) - GPT4.1,JSON PredOut 4.1,2050,S_parti,0.19325590882694538,0.14780919987042418,True,0.17824864982578398,1.084192834087827
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_ideo,0.15379092768059605,0.14228405699014296,True,0.12802446463279193,1.201262025361396
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_fin,0.1406822142972835,0.11532061872367988,True,0.12704119666574115,1.1073747570831949
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_gra,0.14742689244627405,0.11463130551174755,True,0.13354602104447227,1.1039407336380265
JSON Persona (Predicted Output) - GPT4.1-mini,JSON PredOut mini,2058,S_parti,0.15811789937063253,0.14780919987042418,True,0.1305778697533435,1.210908859742551
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_ideo,0.19137205562497106,0.14228405699014296,True,0.17738916655097414,1.078826059932915
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_fin,0.1840556654634642,0.11532061872367988,True,0.17774550534499511,1.0355010952666364
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_gra,0.19144508881516864,0.11463130551174755,True,0.18528117190753857,1.0332679076031863
JSON Persona - GPT4.1,JSON Persona 4.1,2058,S_parti,0.19759087648664903,0.14780919987042418,True,0.18197672266185388,1.0858030279719297
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_ideo,0.17565504464285703,0.14228405699014296,True,0.1602425446428572,1.0961823218318871
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_fin,0.16408061904761906,0.11532061872367988,True,0.15750026190476185,1.0417799758760797
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_gra,0.17129240151732034,0.11463130551174755,True,0.1638797380952381,1.0452323362743867
JSON Persona - GPT4.1-mini,JSON Persona mini,1000,S_parti,0.1814989642857141,0.14780919987042418,True,0.16379301190476192,1.1080995591634115
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_ideo,0.15483455208142305,0.14228405699014296,True,0.08814801867473554,1.7565290111937684
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_fin,0.14101794883550334,0.11532061872367988,True,0.08831301577113504,1.5967968889314594
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_gra,0.14058842477474803,0.11463130551174755,True,0.08805212917965638,1.5966499173222681
LLM Finetuning (500 training samples) - GPT4.1-mini,Finetuning 500,1558,S_parti,0.15907538663732507,0.14780919987042418,True,0.08966252521547774,1.774156887228346
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_ideo,0.17477406983201432,0.14228405699014296,True,0.1437898734323661,1.215482465211447
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_fin,0.1593596071081494,0.11532061872367988,True,0.14221021333703548,1.120591857424967
Persona Summary - GPT4.1-mini,Persona Summary,2058,S_gra,0.1648835231399582,0.11463130551174755,True,0.14725581933453652,1.11970802841669
