reel,nul,rapport,ic_bas,ic_haut,n_personnes,perimetre,delai,famille,n_items
0.3765324514754733,0.5638771953344952,0.6677561259630515,0.6607807194408999,0.6749449640776742,4680,4ans,quatre ans,depenses publiques (nat*),16
0.41881301786962166,0.5700269541778963,0.734724936777142,0.7239207862078559,0.7455218174804775,3166,4ans,quatre ans,confiance dans les institutions (con*),13
0.15811098460472253,0.40646304638384295,0.3889922737414377,0.3705940428756202,0.40804779865480245,3049,4ans,quatre ans,avortement (ab*),7
0.2221376833647818,0.3757501978209263,0.5911844748266704,0.5742867300564707,0.6078899999094997,3089,4ans,quatre ans,libertes civiles (spk/col/lib),11
0.15373197625106022,0.3107972858354537,0.4946374478072212,0.4723451249859433,0.5180493150897079,3079,4ans,quatre ans,fin de vie (suicide/letdie),5
0.4160282852091927,0.5854581614614018,0.7106029304821992,0.6958103150340362,0.726197027758863,3097,4ans,quatre ans,roles de genre (fe*),5
0.3542855730981148,0.5591920539619012,0.6335668945722411,0.6269159884504724,0.6413488688517527,5674,2ans,deux ans,depenses publiques (nat*),16
0.39552269974522825,0.5729432401954632,0.6903348743765494,0.6816567740606605,0.6996220314677365,3806,2ans,deux ans,confiance dans les institutions (con*),13
0.15831379839948267,0.407433513863067,0.3885635153044623,0.37347431474111026,0.4046999390900916,3725,2ans,deux ans,avortement (ab*),7
0.22699525209134072,0.38935513854347203,0.5830030982524105,0.568415981302943,0.5967651024105789,3765,2ans,deux ans,libertes civiles (spk/col/lib),11
0.14469267276305128,0.3122583632364859,0.4633748517200471,0.4434380343336028,0.48362565535298496,3763,2ans,deux ans,fin de vie (suicide/letdie),5
0.4128023276959447,0.5871152330726784,0.7031027376611165,0.6901010121900532,0.7155086019921865,3781,2ans,deux ans,roles de genre (fe*),5
