perimetre,delai,ancrage,camp,n_personnes,taux_de_changement,ic_bas,ic_haut,distance_ordinale,distance_ic_bas,distance_ic_haut,rapport_reel_sur_nul,rapport_ic_bas,rapport_ic_haut
4ans,quatre ans,ideologie declaree (polviews),centre,1718,0.3299962385347646,0.32660839568916733,0.33400526156067395,0.510077731825203,0.5034708001678929,0.5171956877460923,0.6396348725230974,0.63359256776244,0.6464959912655095
4ans,quatre ans,ideologie declaree (polviews),droite,1494,0.3238173726718312,0.31992371608088566,0.32761771786468746,0.5007947320617621,0.49368849596059466,0.5078523334427496,0.6188480593509497,0.6116717822741315,0.6257822799209942
4ans,quatre ans,ideologie declaree (polviews),gauche,1334,0.31465068019368225,0.3094917559180553,0.3196397502056895,0.49918573212958717,0.4908848893151345,0.5082012054039221,0.6086803860613689,0.5998304376780459,0.6185032509250792
4ans,quatre ans,parti (partyid),centre,767,0.3413948721339659,0.33584256522685374,0.3472096254515343,0.5374476927894333,0.5265529088779918,0.5486765316935207,0.6526326833341022,0.6421914027565959,0.6631714536349034
4ans,quatre ans,parti (partyid),droite,1519,0.3196868334302889,0.31624000577063827,0.32369031972633355,0.4925556237104779,0.48528815289452215,0.5001142618314752,0.6154820163580986,0.6091188109494454,0.6227150216929371
4ans,quatre ans,parti (partyid),gauche,2261,0.32295108874056244,0.31917713338503345,0.32628879433731933,0.5037072448281357,0.49744514819195124,0.5100099101161188,0.6236644026444749,0.6176449465019633,0.6295747275283587
2ans,deux ans,ideologie declaree (polviews),centre,2072,0.3176598218673955,0.31425488670600943,0.32121204242609686,0.487373396353815,0.48129255585589686,0.494382906058102,0.6147803881819811,0.6083567635769949,0.6216301969514924
2ans,deux ans,ideologie declaree (polviews),droite,1828,0.30981532978752124,0.3062109165304879,0.3130174441818412,0.4727675707203266,0.4664813632750502,0.4789967137820343,0.589435895170532,0.5828657836633018,0.5958969978667243
2ans,deux ans,ideologie declaree (polviews),gauche,1590,0.29682661044306974,0.29250754498118287,0.30129721893238265,0.46576712310502527,0.4583159756250822,0.4739148190721098,0.5738123931771953,0.5661066591888256,0.5816509549459905
2ans,deux ans,parti (partyid),centre,977,0.33181333956920517,0.32653595130919044,0.3372102912299199,0.5188358860175877,0.5094037405466328,0.5286352707113219,0.6331919408779554,0.6237901005203352,0.6429964813646343
2ans,deux ans,parti (partyid),droite,1867,0.30393156098555335,0.30038919169758604,0.30761211694761814,0.4625785086216741,0.45590250471881366,0.4698442531248627,0.5827919949161261,0.5764854241211155,0.5893461463873848
2ans,deux ans,parti (partyid),gauche,2654,0.3075431687367464,0.30433066302001077,0.3109747480161354,0.4756456410708702,0.46972958146158067,0.4814999348907783,0.593286337709286,0.5878228599573837,0.599017216894879
