cible,modele,libelle,gain_sur_le_nul_points,ic_percentile_bas,ic_percentile_haut,ic_pivotal_bas,ic_pivotal_haut,ecart_type_bootstrap,p_bootstrap,p_holm
tau,M1,segment (groupe seul),-8.26547261685612,-7.882506289874687,-7.665298958226965,-8.865646275485275,-8.648438943837554,0.05690923574899975,0.0024937655860349127,0.012468827930174564
tau,M2,additif item + groupe,0.3973948326546668,0.2929731325664683,0.37140986823429917,0.4233797970750344,0.5018165327428653,0.01929516006322074,0.0024937655860349127,0.012468827930174564
tau,M3,"P agrege (vague 1, transitions)",0.6435878276824951,0.5639151453971862,0.6227968156337738,0.664378821849823,0.7232605218887329,0.014612318947911263,0.0024937655860349127,0.012468827930174564
tau,M4,P agrege + decalage de groupe,0.9615156670262315,0.8027834238928244,0.8992885570159653,1.0237427770364977,1.1202479101596385,0.023317172178356663,0.0024937655860349127,0.012468827930174564
tau,M5,oracle empirique de cellule,0.4028184308709215,0.3003146515398518,0.41577031583503976,0.38986654590680325,0.5053222102019912,0.03035615289206584,0.0024937655860349127,0.012468827930174564
pi,M1,segment (groupe seul),-0.5704091129242883,-0.49703029160923623,-0.39827681283742633,-0.7425414130111503,-0.6437879342393404,0.024121828901927957,0.0024937655860349127,0.012468827930174564
pi,M2,additif item + groupe,0.0024891903918224934,-0.0061739378857923015,0.009470995529407373,-0.0044926147457623865,0.011152318669437288,0.0040015852558545955,0.57,0.57
pi,M3,"P agrege (vague 1, transitions)",-1.025987148284912,-0.6470381855964661,-0.4630459070205689,-1.588928461074829,-1.4049360752105713,0.04550793766975403,0.0024937655860349127,0.012468827930174564
pi,M4,P agrege + decalage de groupe,-0.9864550402252643,-0.6118649464527445,-0.42589556127255934,-1.5470145191779694,-1.3610451339977843,0.04493331479181906,0.0024937655860349127,0.012468827930174564
pi,M5,oracle empirique de cellule,-0.8890843883368351,-0.7378520140096163,-0.6489386512822469,-1.1292301253914232,-1.040316762664054,0.023070555472254894,0.0024937655860349127,0.012468827930174564
mu,M1,segment (groupe seul),-0.01615295394355834,-0.0146911019026833,-0.012095536100297937,-0.020210371786818743,-0.01761480598443338,0.0006687067803391368,0.0024937655860349127,0.012468827930174564
mu,M2,additif item + groupe,-0.00019317120756424944,-0.00034318679555530934,6.167000015740329e-05,-0.00044801241528590215,-4.3155619573189536e-05,9.97737811198255e-05,0.18,0.18
mu,M3,"P agrege (vague 1, transitions)",-0.020375587046146393,-0.014953158795833588,-0.011701137758791447,-0.029050037264823914,-0.025798015296459198,0.0008194561232812703,0.0024937655860349127,0.012468827930174564
mu,M4,P agrege + decalage de groupe,-0.019861116979075874,-0.01442860641595206,-0.011290713439119615,-0.02843152051903213,-0.025293627542199687,0.0008185747990225118,0.0024937655860349127,0.012468827930174564
mu,M5,oracle empirique de cellule,-0.010259527993654184,-0.009248841590657317,-0.007172099236964855,-0.013346956750343513,-0.011270214396651051,0.0005254594635440405,0.0024937655860349127,0.012468827930174564
